ip_address,domain
44.205.161.179,sanad.gov.jo
84.18.34.134,rhc-dns.kingabdullah.gov.jo
84.18.34.135,rhc-dns2.kingabdullah.gov.jo
84.18.34.154,kingabdullah.gov.jo
84.18.34.154,www.kingabdullah.gov.jo
84.18.64.41,nerc.nerc.gov.jo
2a05:d018:1abc:c00:3219:3001:9056:86a4,live.teachers.gov.jo
35.153.191.242,sanad.gov.jo
35.156.73.215,darsak.gov.jo
35.156.105.254,darsak.gov.jo
35.157.38.106,darsak.gov.jo
35.157.41.16,darsak.gov.jo
35.159.54.238,darsak.gov.jo
108.61.154.179,ajloun2013.culture.gov.jo
34.76.6.111,events.jic.gov.jo
34.76.6.111,www.events.jic.gov.jo
108.128.41.243,sanad.gov.jo
108.128.241.137,prometheus.tadreebak.gov.jo
108.138.51.19,privacy-policy.muwasalati.gov.jo
108.138.51.40,privacy-policy.muwasalati.gov.jo
108.138.51.58,privacy-policy.muwasalati.gov.jo
108.138.51.89,privacy-policy.muwasalati.gov.jo
108.139.134.37,www.tadreebak.gov.jo
108.139.134.81,www.tadreebak.gov.jo
108.139.134.86,www.tadreebak.gov.jo
108.139.134.88,www.tadreebak.gov.jo
84.32.84.204,albassilyah.gov.jo
135.148.169.28,dolail.gov.jo
135.148.169.28,www.dolail.gov.jo
135.148.169.28,dolail.gov.jo
135.148.169.28,dolail.gov.jo
135.148.169.28,www.dolail.gov.jo
108.156.22.8,www.tadreebak.gov.jo
108.156.22.8,tadreebak.gov.jo
108.156.22.9,www.tadreebak.gov.jo
108.156.22.9,tadreebak.gov.jo
108.156.22.17,www.tadreebak.gov.jo
108.156.22.17,tadreebak.gov.jo
108.156.22.111,www.tadreebak.gov.jo
108.156.22.111,tadreebak.gov.jo
151.101.2.133,darsak.gov.jo
135.181.141.45,dbe.gov.jo
135.181.141.45,www.dbe.gov.jo
135.181.141.45,jcscc.gov.jo
135.181.141.45,www.jcscc.gov.jo
151.101.66.133,darsak.gov.jo
108.157.229.59,privacy-policy.muwasalati.gov.jo
108.157.229.93,privacy-policy.muwasalati.gov.jo
108.157.229.103,privacy-policy.muwasalati.gov.jo
108.157.229.105,privacy-policy.muwasalati.gov.jo
151.101.130.133,darsak.gov.jo
184.168.109.78,sahab.gov.jo
184.168.109.78,sahab.gov.jo
151.101.194.133,darsak.gov.jo
34.111.179.208,siraj.moe.gov.jo
85.159.217.81,sslvpn.cbj.gov.jo
85.159.217.81,ebankingtest.cbj.gov.jo
85.159.217.82,mx03.cbj.gov.jo
85.159.217.82,ebanking.cbj.gov.jo
85.159.217.82,mx03.cbj.gov.jo
85.159.217.82,ns1.cbj.gov.jo
85.159.217.82,webmail.cbj.gov.jo
85.159.217.83,scholarship.cbj.gov.jo
85.159.217.83,iban.cbj.gov.jo
85.159.217.83,jobapp.cbj.gov.jo
85.159.217.83,scholarship.cbj.gov.jo
85.159.217.83,statisticaldb.cbj.gov.jo
85.159.217.85,ebanking.cbj.gov.jo
85.159.217.86,webmail.cbj.gov.jo
85.159.217.86,webmail.cbj.gov.jo
85.159.217.86,webmail.cbj.gov.jo
85.159.217.98,ns2.cbj.gov.jo
85.159.217.102,webmail.cbj.gov.jo
85.159.220.116,csuonline.customs.gov.jo
85.159.220.117,csuonlineapp.customs.gov.jo
85.159.220.117,customs.gov.jo
85.159.220.120,customs.gov.jo
85.159.220.121,carexam.customs.gov.jo
85.159.220.122,lic-hub.customs.gov.jo
85.159.220.123,zarqaparts.customs.gov.jo
85.159.220.123,customs.gov.jo
85.159.220.126,customs.gov.jo
85.159.220.126,chatbot.customs.gov.jo
34.111.179.208,siraj.moe.gov.jo
85.187.128.40,aljeeza.gov.jo
85.187.128.40,autodiscover.aljeeza.gov.jo
85.187.128.40,cpanel.aljeeza.gov.jo
85.187.128.40,cpcalendars.aljeeza.gov.jo
85.187.128.40,cpcontacts.aljeeza.gov.jo
85.187.128.40,webdisk.aljeeza.gov.jo
85.187.128.40,webmail.aljeeza.gov.jo
87.236.232.169,resn.hcst.gov.jo
87.236.233.131,emismohe.gov.jo
193.188.64.5,govportal.gov.jo
193.188.64.5,www.govportal.gov.jo
193.188.64.8,portalgov.gov.jo
193.188.64.8,www.portalgov.gov.jo
193.188.64.9,portalgov.gov.jo
193.188.64.9,www.portalgov.gov.jo
193.188.64.15,moictmeetings.gov.jo
193.188.64.15,www.moictmeetings.gov.jo
193.188.64.15,moictwebex.gov.jo
193.188.64.15,moictwebexadmin.gov.jo
193.188.64.15,moictmeetings.gov.jo
193.188.64.15,moictmeetings.gov.jo
193.188.64.15,www.moictmeetings.gov.jo
193.188.64.15,moictwebex.gov.jo
193.188.64.15,moictwebex.gov.jo
193.188.64.15,moictwebexadmin.gov.jo
193.188.64.15,www.moictwebexadmin.gov.jo
193.188.64.15,moictwebexadmin.gov.jo
193.188.64.15,www.moictwebexadmin.gov.jo
193.188.64.27,OPS.ServiceDesk.gov.jo
193.188.64.27,ServiceDesk.gov.jo
193.188.64.27,report.ServiceDesk.gov.jo
193.188.64.27,sso.ServiceDesk.gov.jo
193.188.64.27,sso.servicedesk.gov.jo
193.188.64.28,takaful.naf.gov.jo
193.188.64.33,grants.hcd.gov.jo
193.188.64.33,grants.hcd.gov.jo
193.188.64.34,web.ltrc.gov.jo
193.188.64.33,www.grants.hcd.gov.jo
193.188.64.34,www.web.ltrc.gov.jo
193.188.64.35,ereg.vtc.gov.jo
193.188.64.35,reg.vtc.gov.jo
193.188.64.35,vtc.gov.jo
193.188.64.35,www.reg.vtc.gov.jo
193.188.64.38,nwmis.gov.jo
193.188.64.38,www.nwmis.gov.jo
193.188.64.38,nwmis.gov.jo
193.188.64.41,jordan.gov.jo
193.188.64.41,portal.jordan.gov.jo
193.188.64.43,jordan.gov.jo
193.188.64.43,staging.jordan.gov.jo
193.188.64.38,www.nwmis.gov.jo
193.188.64.44,jordan.gov.jo
193.188.64.44,staging.secure.jordan.gov.jo
193.188.64.47,jordan.gov.jo
193.188.64.47,secure.jordan.gov.jo
193.188.64.48,sms.gov.jo
193.188.64.51,mail101.goj.gov.jo
193.188.64.48,www.sms.gov.jo
193.188.64.51,mx1.goj.gov.jo
193.188.64.51,mx1.jopay.gov.jo
193.188.64.52,mail102.goj.gov.jo
193.188.64.51,mail101.goj.gov.jo
193.188.64.52,info.nafaqa.gov.jo
193.188.64.52,mail.culture.gov.jo
193.188.64.52,mail102.goj.gov.jo
193.188.64.52,mx2.goj.gov.jo
193.188.64.52,mx2.jopay.gov.jo
193.188.64.52,mx2.ptrc.gov.jo
193.188.64.51,mx1.ptrc.gov.jo
193.188.64.57,cco.gov.jo
193.188.64.57,customs.gov.jo
