ip_address,domain
211.0.144.130,mail.naltec.go.jp
211.0.144.132,www.naltec.go.jp
211.1.202.54,city.tajimi.lg.jp
211.1.202.54,www.city.tajimi.lg.jp
211.1.202.57,school.city.tajimi.lg.jp
211.1.202.57,school.city.tajimi.lg.jp
211.1.210.218,twholog001.pref.gifu.lg.jp
211.1.210.219,twholog002.pref.gifu.lg.jp
211.1.221.178,ns1.city.nagakute.lg.jp
211.1.221.185,library.city.nagakute.lg.jp
211.1.226.78,nougyoujoshi.maff.go.jp
211.1.232.66,nagano-hosp.go.jp
211.1.233.214,ns.city.moriya.lg.jp
211.2.164.212,mail.vill.achi.lg.jp
211.2.164.212,mail.vill.achi.lg.jp
211.2.178.212,city.tsuyama.lg.jp
34.8.32.198,cms.plateauview.mlit.go.jp
211.5.121.224,epY1.dvl.ipat.jra.go.jp
211.5.121.224,epy1.dvl.ipat.jra.go.jp
211.5.121.224,appbk.nvinq.jra.go.jp
211.5.121.224,appev.nvinq.jra.go.jp
211.5.121.224,bk.clinq.jra.go.jp
211.5.121.224,bk.jd.jra.go.jp
211.5.121.224,bk.nvinq.jra.go.jp
211.5.121.224,bk.sp.jra.go.jp
211.5.121.224,dev-umacaseat.jra.go.jp
211.5.121.224,dev.nvinq.jra.go.jp
211.5.121.224,dvl.qrcode.jra.go.jp
211.5.121.224,ec3.direct.jra.go.jp
211.5.121.224,ecY1.dvl.direct.jra.go.jp
211.5.121.224,ekY1.g.dvl.ipat.jra.go.jp
211.5.121.224,epY1.dvl.ipat.jra.go.jp
211.5.121.224,epZ.dvl.ipat.jra.go.jp
211.5.121.224,epY2.dvl.ipat.jra.go.jp
211.5.121.224,ev.clinq.jra.go.jp
211.5.121.224,epy1.dvl.qrcode.jra.go.jp
211.5.121.224,ev.clubjranet.jra.go.jp
211.5.121.224,bk.clubjranet.jra.go.jp
211.5.121.224,ev.nvinq.jra.go.jp
211.5.121.224,g.dvl.ipat.jra.go.jp
211.5.121.224,gn.dvl.ipat.jra.go.jp
211.5.121.224,limit.dvl.ipat.jra.go.jp
211.5.121.224,epy2.dvl.qrcode.jra.go.jp
211.5.121.224,mbk.clubjranet.jra.go.jp
211.5.121.224,mev.clubjranet.jra.go.jp
211.5.121.224,nkY1.gn.dvl.ipat.jra.go.jp
211.5.121.224,npY1.dvl.ipat.jra.go.jp
211.5.121.224,npY2.dvl.ipat.jra.go.jp
211.5.121.224,npZ.dvl.ipat.jra.go.jp
211.5.121.224,tc.sp.jra.go.jp
211.5.121.224,tcbk.sp.jra.go.jp
211.5.121.224,test1.ipat.jra.go.jp
211.5.121.224,testY1.dvl.ipat.jra.go.jp
211.5.121.224,testY2.dvl.ipat.jra.go.jp
211.5.121.224,wun.sp.jra.go.jp
211.5.121.224,www.clinq.jra.go.jp
211.5.121.225,epy2.dvl.ipat.jra.go.jp
211.5.121.226,npy1.dvl.ipat.jra.go.jp
211.5.121.227,npy2.dvl.ipat.jra.go.jp
211.5.121.228,epy1.dvl.qrcode.jra.go.jp
211.5.121.229,epY2.dvl.qrcode.jra.go.jp
211.5.121.229,epy2.dvl.qrcode.jra.go.jp
211.5.121.229,appbk.nvinq.jra.go.jp
211.5.121.229,appev.nvinq.jra.go.jp
211.5.121.229,bk.clinq.jra.go.jp
211.5.121.229,bk.clubjranet.jra.go.jp
211.5.121.229,bk.nvinq.jra.go.jp
211.5.121.229,bk.sp.jra.go.jp
211.5.121.229,dev-umacaseat.jra.go.jp
211.5.121.229,bk.jd.jra.go.jp
211.5.121.229,dev.nvinq.jra.go.jp
211.5.121.229,dvl.qrcode.jra.go.jp
211.5.121.229,ec3.direct.jra.go.jp
211.5.121.229,ekY1.g.dvl.ipat.jra.go.jp
211.5.121.229,epY1.dvl.ipat.jra.go.jp
211.5.121.229,epY2.dvl.ipat.jra.go.jp
211.5.121.229,ecY1.dvl.direct.jra.go.jp
211.5.121.229,epZ.dvl.ipat.jra.go.jp
211.5.121.229,epy2.dvl.qrcode.jra.go.jp
211.5.121.229,epy1.dvl.qrcode.jra.go.jp
211.5.121.229,ev.clinq.jra.go.jp
211.5.121.229,ev.nvinq.jra.go.jp
211.5.121.229,g.dvl.ipat.jra.go.jp
211.5.121.229,gn.dvl.ipat.jra.go.jp
211.5.121.229,mbk.clubjranet.jra.go.jp
211.5.121.229,mev.clubjranet.jra.go.jp
211.5.121.229,nkY1.gn.dvl.ipat.jra.go.jp
211.5.121.229,limit.dvl.ipat.jra.go.jp
211.5.121.229,npY1.dvl.ipat.jra.go.jp
211.5.121.229,npY2.dvl.ipat.jra.go.jp
211.5.121.229,tc.sp.jra.go.jp
211.5.121.229,npZ.dvl.ipat.jra.go.jp
211.5.121.229,tcbk.sp.jra.go.jp
211.5.121.229,test1.ipat.jra.go.jp
211.5.121.229,testY2.dvl.ipat.jra.go.jp
211.5.121.229,testY1.dvl.ipat.jra.go.jp
211.5.121.229,www.clinq.jra.go.jp
211.5.121.229,ev.clubjranet.jra.go.jp
211.5.121.229,wun.sp.jra.go.jp
211.5.121.231,ecy1.dvl.direct.jra.go.jp
211.5.121.232,testy1.dvl.ipat.jra.go.jp
211.5.121.233,eky1.g.dvl.ipat.jra.go.jp
211.5.121.233,appbk.nvinq.jra.go.jp
211.5.121.233,appev.nvinq.jra.go.jp
211.5.121.233,bk.clinq.jra.go.jp
211.5.121.233,bk.clubjranet.jra.go.jp
211.5.121.233,bk.jd.jra.go.jp
211.5.121.233,bk.nvinq.jra.go.jp
211.5.121.233,bk.sp.jra.go.jp
211.5.121.233,dev-umacaseat.jra.go.jp
211.5.121.233,dev.nvinq.jra.go.jp
211.5.121.233,dvl.qrcode.jra.go.jp
211.5.121.233,ecY1.dvl.direct.jra.go.jp
211.5.121.233,ec3.direct.jra.go.jp
211.5.121.233,ekY1.g.dvl.ipat.jra.go.jp
211.5.121.233,epY2.dvl.ipat.jra.go.jp
211.5.121.233,epZ.dvl.ipat.jra.go.jp
211.5.121.233,epY1.dvl.ipat.jra.go.jp
211.5.121.233,epy2.dvl.qrcode.jra.go.jp
211.5.121.233,ev.clinq.jra.go.jp
211.5.121.233,ev.nvinq.jra.go.jp
211.5.121.233,ev.clubjranet.jra.go.jp
211.5.121.233,g.dvl.ipat.jra.go.jp
211.5.121.233,gn.dvl.ipat.jra.go.jp
211.5.121.233,epy1.dvl.qrcode.jra.go.jp
211.5.121.233,mbk.clubjranet.jra.go.jp
211.5.121.233,mev.clubjranet.jra.go.jp
211.5.121.233,nkY1.gn.dvl.ipat.jra.go.jp
211.5.121.233,limit.dvl.ipat.jra.go.jp
211.5.121.233,npY1.dvl.ipat.jra.go.jp
211.5.121.233,npY2.dvl.ipat.jra.go.jp
211.5.121.233,npZ.dvl.ipat.jra.go.jp
211.5.121.233,tc.sp.jra.go.jp
211.5.121.233,tcbk.sp.jra.go.jp
211.5.121.233,test1.ipat.jra.go.jp
211.5.121.233,testY1.dvl.ipat.jra.go.jp
211.5.121.233,testY2.dvl.ipat.jra.go.jp
211.5.121.233,wun.sp.jra.go.jp
211.5.121.233,www.clinq.jra.go.jp
211.5.121.236,testY2.dvl.ipat.jra.go.jp
211.5.121.236,testy2.dvl.ipat.jra.go.jp
