ip_address,domain
141.8.192.14,map.tourism.gov.kg
141.8.192.14,tourism.gov.kg
141.8.192.31,ok.edu.gov.kg
141.8.192.31,www.ok.edu.gov.kg
141.8.192.46,balykchy.gov.kg
141.8.192.46,balykchy.gov.kg
141.8.192.46,balykchy.gov.kg
141.8.192.93,kyzyl-kiya.gov.kg
141.8.195.33,map.tourism.gov.kg
141.8.195.33,tourism.gov.kg
141.8.195.33,map.tourism.gov.kg
141.8.195.33,tourism.gov.kg
141.8.195.33,map.tourism.gov.kg
141.8.195.33,mail.map.tourism.gov.kg
141.8.195.33,tourism.gov.kg
84.32.84.21,kenbulun-ao.gov.kg
84.32.84.31,zulpuev-ao.gov.kg
84.32.84.55,joldor.gov.kg
84.32.84.111,birimdik-ao.gov.kg
93.127.173.189,bazarkorgonmeriya.gov.kg
93.127.179.16,joldor.gov.kg
93.127.179.105,arashan-ao.gov.kg
93.127.179.204,janynookat.gov.kg
84.32.84.175,birimdik-ao.gov.kg
93.127.187.146,janynookat.gov.kg
84.32.84.193,birimdik-ao.gov.kg
84.32.84.218,zulpuev-ao.gov.kg
84.32.84.220,kenbulun-ao.gov.kg
93.127.201.20,bazarkorgonmeriya.gov.kg
93.127.201.248,zulpuev-ao.gov.kg
84.54.12.130,ma.oshcity.gov.kg
85.113.0.142,ord.gosstroy.gov.kg
85.113.0.142,gosstroy.gov.kg
85.113.1.20,disp-ticket.railway.gov.kg
85.113.1.20,disp.ticket.railway.gov.kg
85.113.1.20,railway.gov.kg
85.113.1.20,disp.ticket.railway.gov.kg
85.113.1.20,railway.gov.kg
85.113.1.35,rb.AGRO.GOV.KG
85.113.1.35,agro.gov.kg
85.113.1.35,digital.agro.gov.kg
85.113.1.35,expertise.agro.gov.kg
85.113.1.35,farm-lk.agro.gov.kg
85.113.1.35,gosplem.agro.gov.kg
85.113.1.35,map.agro.gov.kg
85.113.1.35,new.agro.gov.kg
85.113.1.35,old.agro.gov.kg
85.113.1.35,rb.agro.gov.kg
85.113.1.35,api.agrosmart.gov.kg
85.113.1.35,applications.agrosmart.gov.kg
85.113.1.35,auth.agrosmart.gov.kg
85.113.1.35,cloud.agrosmart.gov.kg
85.113.1.35,dictionaries.agrosmart.gov.kg
85.113.1.35,expertise.agrosmart.gov.kg
85.113.1.35,farm-lk.agrosmart.gov.kg
85.113.1.35,git.agrosmart.gov.kg
85.113.1.35,gosplem.agrosmart.gov.kg
85.113.1.35,jira.agrosmart.gov.kg
85.113.1.35,lider-goda.agrosmart.gov.kg
85.113.1.35,map-test.agrosmart.gov.kg
85.113.1.35,map.agrosmart.gov.kg
85.113.1.35,new-farm-lk.agrosmart.gov.kg
85.113.1.35,payment-test.agrosmart.gov.kg
85.113.1.35,payment.agrosmart.gov.kg
85.113.1.35,rb-test.agrosmart.gov.kg
85.113.1.35,quota.agrosmart.gov.kg
85.113.1.35,rb.agrosmart.gov.kg
85.113.1.35,registry.git.agrosmart.gov.kg
85.113.1.35,ruar.agrosmart.gov.kg
85.113.1.35,sso.agrosmart.gov.kg
85.113.1.35,vw.agrosmart.gov.kg
85.113.1.35,wiki.agrosmart.gov.kg
85.113.1.35,vetfarm.gov.kg
85.113.1.35,rb.agro.gov.kg
85.113.1.35,map.agro.gov.kg
85.113.1.35,vetpharm.agro.gov.kg
85.113.1.35,digital.agro.gov.kg
85.113.1.35,agro.gov.kg
85.113.1.35,new.agro.gov.kg
85.113.1.35,rb.agro.gov.kg
85.113.1.35,agrohim.agrosmart.gov.kg
85.113.1.35,api.agrosmart.gov.kg
85.113.1.35,auth.agrosmart.gov.kg
85.113.1.35,bi.agrosmart.gov.kg
85.113.1.35,cloud.agrosmart.gov.kg
85.113.1.35,dictionaries.agrosmart.gov.kg
