ip_address,domain
43.128.79.240,cpanel.eac.gov.kh
43.128.79.240,cpcalendars.eac.gov.kh
43.128.79.240,cpcontacts.eac.gov.kh
43.128.79.240,eac.gov.kh
43.128.79.240,local.eac.gov.kh
43.128.79.240,test.eac.gov.kh
43.128.79.240,webdisk.eac.gov.kh
43.128.79.240,webmail.eac.gov.kh
43.128.79.240,cpanel.eac.gov.kh
43.128.79.240,cpcontacts.eac.gov.kh
43.128.79.240,cpcalendars.eac.gov.kh
43.128.79.240,eac.gov.kh
43.128.79.240,test.eac.gov.kh
43.128.79.240,webmail.eac.gov.kh
43.128.79.240,webdisk.eac.gov.kh
35.71.142.77,mpsez.gov.kh
175.28.2.129,citybus.phnompenh.gov.kh
175.28.2.129,citybus.phnompenh.gov.kh
175.28.2.202,scholarship-admin.tvet.gov.kh
175.28.2.202,scholarship.tvet.gov.kh
175.28.2.202,tvet.gov.kh
175.28.2.202,scholarship.tvet.gov.kh
175.28.2.202,tvet.gov.kh
175.28.2.203,admin-api.kampongthom.gov.kh
175.28.2.203,admin.kampongthom.gov.kh
175.28.2.203,hr-api.kampongthom.gov.kh
175.28.2.203,hr.kampongthom.gov.kh
175.28.2.203,admin-api.oddarmeanchey.gov.kh
175.28.2.203,admin.oddarmeanchey.gov.kh
175.28.2.203,hr-api.oddarmeanchey.gov.kh
175.28.2.203,hr.oddarmeanchey.gov.kh
175.28.2.203,admin-api.kampongthom.gov.kh
175.28.2.203,admin.kampongthom.gov.kh
175.28.2.203,hr-api.kampongthom.gov.kh
175.28.2.203,hr.kampongthom.gov.kh
175.28.2.203,admin-api.kampongthom.gov.kh
175.28.2.203,admin.kampongthom.gov.kh
175.28.2.203,hr-api.kampongthom.gov.kh
175.28.2.203,hr.kampongthom.gov.kh
175.28.2.203,admin-api.oddarmeanchey.gov.kh
175.28.2.203,admin.oddarmeanchey.gov.kh
175.28.2.203,hr-api.oddarmeanchey.gov.kh
175.28.2.203,hr.oddarmeanchey.gov.kh
175.28.2.203,admin-api.oddarmeanchey.gov.kh
175.28.2.203,admin.oddarmeanchey.gov.kh
175.28.2.203,hr-api.oddarmeanchey.gov.kh
175.28.2.203,hr.oddarmeanchey.gov.kh
175.28.3.105,dmc.gov.kh
175.28.3.105,dmc-mail.dmc.gov.kh
175.28.3.105,mail.dmc.gov.kh
175.28.3.105,dmc-mail.dmc.gov.kh
175.28.3.105,dmc.gov.kh
175.28.3.105,dmc-mail.dmc.gov.kh
175.28.3.105,mail.dmc.gov.kh
175.28.3.105,dmc.gov.kh
43.134.77.133,api-v1.senate.gov.kh
43.134.77.133,fbapp.senate.gov.kh
43.134.77.133,kh.senate.gov.kh
43.134.77.133,mail.senate.gov.kh
43.134.77.133,senate.gov.kh
43.134.77.133,meeting.senate.gov.kh
43.134.77.133,vps-da.senate.gov.kh
43.134.77.133,weber.senate.gov.kh
43.134.77.133,www.api-v1.senate.gov.kh
43.134.77.133,www.kh.senate.gov.kh
43.134.77.133,fbapp.senate.gov.kh
43.134.77.133,kh.senate.gov.kh
43.134.77.133,meeting.senate.gov.kh
43.134.77.133,vps-da.senate.gov.kh
43.134.77.133,weber.senate.gov.kh
43.134.77.133,www.kh.senate.gov.kh
175.41.166.240,form.gov.kh
175.41.166.240,www.form.gov.kh
175.41.180.28,dis.cnm.gov.kh
175.41.180.28,mis.cnm.gov.kh
175.41.180.28,mis.cnm.gov.kh
175.41.180.28,dis.cnm.gov.kh
111.90.176.10,mail.cambodia11msp.gov.kh
111.90.176.10,cambodia11msp.gov.kh
111.90.177.146,mail.tuolsleng.gov.kh
111.90.177.146,tuolsleng.gov.kh
111.90.177.146,cp.tuolsleng.gov.kh
111.90.177.146,connect.tuolsleng.gov.kh
111.90.177.146,cs.tuolsleng.gov.kh
111.90.177.146,mail.tuolsleng.gov.kh
111.90.177.146,tuolsleng.gov.kh
111.90.177.146,www.tuolsleng.gov.kh
111.90.188.114,sala.moeys.gov.kh
175.100.19.23,nchp.gov.kh
175.100.19.23,library.nchp.gov.kh
175.100.19.23,nchp.gov.kh
175.100.19.23,www.library.nchp.gov.kh
175.100.19.23,www.nchp.gov.kh
175.100.24.146,customs.gov.kh
175.100.24.147,customs.gov.kh
175.100.24.147,esa.customs.gov.kh
175.100.24.147,esa.customs.gov.kh
175.100.24.147,mail.customs.gov.kh
175.100.24.147,mx03.customs.gov.kh
175.100.24.147,tools1.customs.gov.kh
175.100.24.148,customs.gov.kh
175.100.24.149,customs.gov.kh
175.100.24.150,customs.gov.kh
175.100.24.151,customs.gov.kh
175.100.24.153,customs.gov.kh
175.100.24.155,customs.gov.kh
175.100.24.154,customs.gov.kh
175.100.24.156,customs.gov.kh
175.100.24.158,customs.gov.kh
175.100.24.157,customs.gov.kh
175.100.24.158,nsw.gov.kh
175.100.28.195,covid19.mod.gov.kh
175.100.28.196,mod.gov.kh
175.100.28.210,mx01.mod.gov.kh
175.100.28.210,mx01.mod.gov.kh
175.100.28.211,mx02.mod.gov.kh
175.100.28.211,mx02.mod.gov.kh
175.100.28.212,web01.mod.gov.kh
175.100.28.213,web02.mod.gov.kh
175.100.28.213,web02.mod.gov.kh
175.100.28.217,tgb.mod.gov.kh
175.100.105.250,esystem.moeys.gov.kh
175.100.105.250,moeys.gov.kh
175.100.105.251,ksl.moeys.gov.kh
175.100.105.251,link.moeys.gov.kh
175.100.105.251,milbot.moeys.gov.kh
175.100.105.251,treyvisay-dashboard.moeys.gov.kh
175.100.105.251,treyvisay.moeys.gov.kh
175.100.105.251,yvcfile.moeys.gov.kh
175.100.105.252,moeys.gov.kh
175.100.105.253,beep.moeys.gov.kh
175.100.105.253,exam.moeys.gov.kh
175.100.105.253,exam2.moeys.gov.kh
175.100.105.253,moeys.gov.kh
175.100.105.254,moeys.gov.kh
175.100.107.210,customs.gov.kh
175.100.107.211,customs.gov.kh
175.100.107.212,awlive.customs.gov.kh
175.100.107.212,customs.gov.kh
175.100.107.212,nsw.gov.kh
175.100.107.213,customs.gov.kh
175.100.107.214,aw.customs.gov.kh
175.100.107.215,customs.gov.kh
175.100.107.217,customs.gov.kh
175.100.107.214,customs.gov.kh
175.100.107.219,customs.gov.kh
175.100.107.220,customs.gov.kh
175.100.107.222,customs.gov.kh
175.100.110.133,mail.phnompenh.gov.kh
175.100.110.185,mx3.moc.gov.kh
175.100.110.185,mx3.moc.gov.kh
43.163.122.216,gspd.gov.kh
43.163.122.216,nada.nis.gov.kh
43.163.122.216,mail.mop.gov.kh
43.163.122.216,nis.gov.kh
43.163.122.216,test.nis.gov.kh
111.118.138.151,adp.interior.gov.kh
111.118.138.151,www.adp.interior.gov.kh
111.118.138.151,adp.interior.gov.kh
111.118.138.151,www.adp.interior.gov.kh
111.118.138.151,adp.interior.gov.kh
111.118.138.151,www.adp.interior.gov.kh
111.118.138.204,media.interior.gov.kh
111.118.156.149,mail.cambodia11msp.gov.kh
44.217.161.11,isc.gov.kh
44.219.53.183,isc.gov.kh
34.36.224.172,bltms-file.immigration.gov.kh
34.36.224.172,bltms-file.immigration.gov.kh
34.36.224.172,bltms-file.immigration.gov.kh
110.74.192.124,technical.napv.gov.kh
110.74.192.124,dlucadm.napv.gov.kh
110.74.192.195,admin-db.production.moc.gov.kh
110.74.192.195,adminer.production.moc.gov.kh
110.74.192.195,api-gateway.production.moc.gov.kh
110.74.192.195,captain.production.moc.gov.kh
110.74.192.195,codimd.production.moc.gov.kh
110.74.192.195,digitaltradeinfo-graphql.production.moc.gov.kh
110.74.192.195,digitaltradeinfo.moc.gov.kh
110.74.192.195,digitaltradeinfo.production.moc.gov.kh
110.74.192.195,dtf-admin.production.moc.gov.kh
110.74.192.195,grafana.production.moc.gov.kh
110.74.192.195,lottery-admin.production.moc.gov.kh
110.74.192.195,lottery-app.production.moc.gov.kh
110.74.192.195,lottery-graphql.production.moc.gov.kh
110.74.192.195,lottery-search.production.moc.gov.kh
