ip_address,domain
143.95.253.117,police.gov.ki
143.95.253.117,police.gov.ki
143.95.253.117,police.gov.ki
84.53.133.251,www.moe.gov.ki
85.187.128.46,covid19.gov.ki
85.187.128.46,cpanel.eutantarawacouncil.gov.ki
85.187.128.46,autodiscover.eutantarawacouncil.gov.ki
85.187.128.46,cpcalendars.eutantarawacouncil.gov.ki
85.187.128.46,cpcontacts.eutantarawacouncil.gov.ki
85.187.128.46,mail.eutantarawacouncil.gov.ki
85.187.128.46,eutantarawacouncil.gov.ki
85.187.128.46,webdisk.eutantarawacouncil.gov.ki
85.187.128.46,webmail.eutantarawacouncil.gov.ki
85.187.128.46,internalaffairs.gov.ki
85.187.128.46,www.internalaffairs.gov.ki
85.187.128.46,kiribati.gov.ki
85.187.128.46,cmd.mcia.gov.ki
85.187.128.46,kiribatimaritime.gov.ki
85.187.128.46,ces.kiribatimaritime.gov.ki
85.187.128.46,election.mcia.gov.ki
85.187.128.46,www.mcia.gov.ki
85.187.128.46,autodiscover.mcic.gov.ki
85.187.128.46,cpanel.mcic.gov.ki
85.187.128.46,mcia.gov.ki
85.187.128.46,cpcalendars.mcic.gov.ki
85.187.128.46,cpcontacts.mcic.gov.ki
85.187.128.46,mcic.gov.ki
85.187.128.46,webdisk.mcic.gov.ki
85.187.128.46,mail.mcic.gov.ki
85.187.128.46,mcttd.gov.ki
85.187.128.46,webmail.mcic.gov.ki
85.187.128.46,mfed.gov.ki
85.187.128.46,mise.gov.ki
85.187.128.46,autodiscover.mtcic.gov.ki
85.187.128.46,cpanel.mtcic.gov.ki
85.187.128.46,cpcalendars.mtcic.gov.ki
85.187.128.46,cpcontacts.mtcic.gov.ki
85.187.128.46,mail.mtcic.gov.ki
85.187.128.46,mtcic.gov.ki
85.187.128.46,investinkiribati.mtcic.gov.ki
85.187.128.46,webdisk.mtcic.gov.ki
85.187.128.46,webmail.mtcic.gov.ki
85.187.128.46,www.investinkiribati.mtcic.gov.ki
85.187.128.46,mwyssa.gov.ki
85.187.128.46,parliament.gov.ki
85.187.128.46,www.parliament.gov.ki
85.187.128.46,procurement.gov.ki
85.187.128.46,cpanel.tax.gov.ki
85.187.128.46,tax.gov.ki
85.187.128.46,one.tax.gov.ki
