ip_address,domain
175.45.176.8,ns1.mirae.aca.kp
175.45.176.8,ns1.dprkportal.kp
175.45.176.8,ns1.kcna.kp
175.45.176.8,ns1.kut.edu.kp
175.45.176.8,ns1.ma.gov.kp
175.45.176.8,ns1.mfa.gov.kp
175.45.176.8,ns1.gnu.rep.kp
175.45.176.8,ns1.rodong.rep.kp
175.45.176.8,ns1.vok.rep.kp
175.45.176.8,ns1.ryongnamsan.edu.kp
175.45.176.8,ns1.youth.rep.kp
175.45.176.8,ns1.tourismdprk.gov.kp
175.45.176.9,ns2.mirae.aca.kp
175.45.176.9,ns2.dprkportal.kp
175.45.176.9,ns2.kcna.kp
175.45.176.9,ns2.kut.edu.kp
175.45.176.9,ns2.ma.gov.kp
175.45.176.9,ns2.mfa.gov.kp
175.45.176.9,ns2.gnu.rep.kp
175.45.176.9,ns2.rodong.rep.kp
175.45.176.9,ns2.youth.rep.kp
175.45.176.9,ns2.ryongnamsan.edu.kp
175.45.176.9,ns2.tourismdprk.gov.kp
175.45.176.15,ns1.gov.kp
175.45.176.15,ns1.rep.kp
175.45.176.16,ns2.gov.kp
175.45.176.16,ns2.rep.kp
175.45.176.68,rodong.rep.kp
175.45.176.68,www.rodong.rep.kp
175.45.176.71,www.kcna.kp
175.45.176.71,kcna.kp
175.45.176.73,gnu.rep.kp
175.45.176.73,www.gnu.rep.kp
175.45.176.75,vok.rep.kp
175.45.176.75,www.vok.rep.kp
175.45.176.76,ma.gov.kp
175.45.176.76,www.ma.gov.kp
175.45.176.79,ryongnamsan.edu.kp
175.45.176.79,www.ryongnamsan.edu.kp
175.45.176.80,dprkportal.kp
175.45.176.80,www.dprkportal.kp
175.45.176.80,fia.law.kp
175.45.176.80,www.fia.law.kp
175.45.176.80,kut.edu.kp
175.45.176.80,www.kut.edu.kp
175.45.176.80,ryongnamsan.edu.kp
175.45.176.81,gpsh.edu.kp
175.45.176.81,www.gpsh.edu.kp
175.45.176.81,mfa.gov.kp
175.45.176.81,www.mfa.gov.kp
175.45.176.81,ryomyong.edu.kp
175.45.176.81,www.ryomyong.edu.kp
175.45.176.91,koreanarchitecture.gov.kp
175.45.176.91,tourismdprk.gov.kp
175.45.176.91,mirae.aca.kp
175.45.176.91,www.mirae.aca.kp
175.45.176.91,moph.gov.kp
175.45.176.91,www.moph.gov.kp
175.45.176.91,minzu.rep.kp
175.45.176.91,www.minzu.rep.kp
175.45.176.91,www.youth.rep.kp
175.45.176.91,youth.rep.kp
175.45.176.91,tourismdprk.gov.kp
175.45.176.91,www.tourismdprk.gov.kp
175.45.177.1,kcna.kp
175.45.177.1,www.kcna.kp
175.45.177.9,ryongnamsan.edu.kp
175.45.177.9,www.ryongnamsan.edu.kp
175.45.177.10,dprkportal.kp
175.45.177.10,www.dprkportal.kp
175.45.177.10,fia.law.kp
175.45.177.10,www.fia.law.kp
175.45.177.10,kut.edu.kp
175.45.177.10,www.kut.edu.kp
175.45.177.11,gpsh.edu.kp
175.45.177.11,www.gpsh.edu.kp
175.45.177.11,ryomyong.edu.kp
175.45.177.11,www.ryomyong.edu.kp
175.45.178.56,smtp.ryongnamsan.edu.kp
175.45.178.57,smtp1.ryongnamsan.edu.kp
175.45.179.69,mail.star.edu.kp
175.45.179.69,mail.star.edu.kp
175.45.179.76,ns1.star.edu.kp
