ip_address,domain
111.0.30.205,gyeongbuk.cheongbaeke.go.kr
111.6.1.120,yhc.yeongju.go.kr
114.31.43.227,media.coti.go.kr
114.31.63.162,mfiles.coti.go.kr
110.9.209.158,rcms.go.kr
110.9.209.167,nabis.go.kr
110.9.209.167,eval.nabis.go.kr
110.9.209.167,www.nabis.go.kr
110.9.209.167,nabis.go.kr
110.10.147.106,sobaekmarathon.go.kr
110.10.147.106,www.sobaekmarathon.go.kr
110.11.133.101,seoul.go.kr
110.11.133.102,seoul.go.kr
110.11.133.104,retax.seoul.go.kr
110.11.133.104,seoul.go.kr
110.11.133.107,seoul.go.kr
110.11.133.105,etaxmail.seoul.go.kr
110.11.133.112,etaxmail2.seoul.go.kr
110.11.133.112,etaxmail2.seoul.go.kr
110.11.133.112,seoul.go.kr
110.11.133.113,etaxmail2.seoul.go.kr
110.11.133.113,etaxmail2.seoul.go.kr
110.11.133.114,etax.seoul.go.kr
110.11.133.114,etax.seoul.go.kr
110.11.133.114,seoul.go.kr
110.11.133.114,etax.seoul.go.kr
110.11.133.115,stax.seoul.go.kr
110.11.133.115,stax.seoul.go.kr
110.11.133.115,stax.seoul.go.kr
110.11.133.127,seoul.go.kr
110.11.133.116,seoul.go.kr
110.12.51.158,dormlib.kosaf.go.kr
110.12.252.253,kpia.go.kr
110.12.252.253,www.kpia.go.kr
110.15.176.130,nps.g.ktv.go.kr
110.15.176.130,nps.ktv.go.kr
110.15.176.130,www.nps.ktv.go.kr
175.45.195.152,splan.sen.go.kr
175.45.201.28,medichart.mohw.go.kr
175.45.208.36,dgyouth.samcheok.go.kr
175.45.208.36,wdyouth.samcheok.go.kr
175.45.208.36,youth.samcheok.go.kr
175.45.208.86,i-nuri.go.kr
175.45.208.166,note.use.go.kr
175.45.208.254,k-startup.go.kr
175.45.209.92,incheon.go.kr
175.45.210.87,blockchain.kisa.or.kr
175.45.211.43,k-startup.go.kr
175.45.211.44,mail.mmca.go.kr
175.45.211.52,gccouncil.go.kr
175.45.211.55,mmca.go.kr
175.45.211.64,virtualsmg.go.kr
175.45.211.79,mmca.go.kr
175.45.211.204,edu-ieumcenter.ice.go.kr
175.45.211.214,lifestudy.yangcheon.go.kr
175.45.211.214,yangcheon.go.kr
175.45.211.224,yangcheon.go.kr
175.45.212.11,sen.go.kr
175.45.212.23,daegu.go.kr
175.45.212.50,smpp.go.kr
175.45.212.50,smpp.go.kr
175.45.212.50,www.smpp.go.kr
175.45.212.50,smpp.go.kr
175.45.212.50,www.smpp.go.kr
175.45.212.61,clean.chuncheon.go.kr
175.45.212.61,ccgc.chuncheon.go.kr
175.45.212.61,clc.chuncheon.go.kr
175.45.212.61,clean.chuncheon.go.kr
175.45.212.61,job.chuncheon.go.kr
175.45.212.61,spring.chuncheon.go.kr
175.45.212.61,uris.chuncheon.go.kr
175.45.212.61,youthzone.chuncheon.go.kr
175.45.212.71,sen.go.kr
175.45.212.120,jne.go.kr
175.45.212.120,jnei.go.kr
175.45.212.121,kisa.or.kr
175.45.212.168,jne.go.kr
175.45.212.168,jnei.go.kr
175.45.212.184,jne.go.kr
175.45.212.184,jnei.go.kr
175.45.212.190,jnei.go.kr
175.45.212.190,jne.go.kr
175.45.212.205,admin.dream2m.ice.go.kr
175.45.212.205,api-admin.dream2m.ice.go.kr
175.45.212.205,base.dream2m.ice.go.kr
175.45.212.205,api.dream2m.ice.go.kr
175.45.212.205,dream2m.ice.go.kr
175.45.212.205,www.dream2m.ice.go.kr
175.45.212.205,api-admin.dream2m.ice.go.kr
175.45.212.205,api.dream2m.ice.go.kr
175.45.212.205,admin.dream2m.ice.go.kr
175.45.212.205,api-admin.dream2m.ice.go.kr
175.45.212.205,dream2m.ice.go.kr
175.45.212.205,api.dream2m.ice.go.kr
175.45.212.205,base.dream2m.ice.go.kr
175.45.212.205,dream2m.ice.go.kr
175.45.212.205,www.dream2m.ice.go.kr
175.45.212.205,admin.dream2m.ice.go.kr
175.45.212.248,kasem.safekorea.go.kr
175.45.212.251,eseoul.go.kr
175.45.212.251,slearn.eseoul.go.kr
175.45.212.251,slearn.seoul.go.kr
175.45.213.66,nih.go.kr
175.45.213.82,kisa.or.kr
175.45.213.93,scc.go.kr
175.45.213.102,dj119.go.kr
175.45.213.155,eseoul.go.kr
175.45.213.163,sejong.go.kr
175.45.213.167,mmca.go.kr
175.45.213.203,jne.go.kr
175.45.213.203,jnei.go.kr
175.45.213.204,jne.go.kr
175.45.213.204,jnei.go.kr
175.45.213.205,jne.go.kr
175.45.213.205,jnei.go.kr
175.45.213.220,eseoul.go.kr
175.45.213.233,hf.go.kr
175.45.213.246,paas.armycloud.mil.kr
175.45.213.253,mobile.neoemr.mohw.go.kr
175.45.213.253,www.mobile.neoemr.mohw.go.kr
175.45.214.103,incheon.go.kr
175.45.214.145,ncic.go.kr
175.45.214.145,www.ncic.go.kr
175.45.214.234,topik.go.kr
175.45.215.23,ipuppoop.incheon.go.kr
175.45.215.55,yeonsu.go.kr
175.45.215.59,bike.brcn.go.kr
175.45.215.59,bike.brcn.go.kr
175.45.215.117,exhibit-admin-api.mmca.go.kr
175.45.215.117,exhibit-admin.mmca.go.kr
175.45.215.117,exhibit.mmca.go.kr
175.45.215.117,exhibit-api.mmca.go.kr
175.45.215.117,exhibit-admin.mmca.go.kr
175.45.215.117,exhibit-admin-api.mmca.go.kr
175.45.215.117,exhibit-api.mmca.go.kr
175.45.215.117,exhibit.mmca.go.kr
175.45.215.139,gimpo.go.kr
175.45.215.216,eseoul.go.kr
175.45.215.219,eseoul.go.kr
175.45.215.221,eseoul.go.kr
175.45.219.50,armycloud.mil.kr
175.45.219.51,armycloud.mil.kr
175.45.219.114,eseoul.go.kr
175.45.219.115,eseoul.go.kr
175.45.219.254,museum.go.kr
175.45.220.19,k-startup.go.kr
175.45.220.20,k-startup.go.kr
175.45.220.80,scc.go.kr
175.45.220.80,scc.go.kr
175.45.220.80,scc.go.kr
175.45.220.109,k-startup.go.kr
175.45.220.191,nise.go.kr
175.45.220.208,stat.paju.go.kr
175.45.220.231,nih.go.kr
175.45.221.125,nise.go.kr
175.45.221.154,irs.go.kr
175.45.221.154,www.irs.go.kr
175.45.221.163,virtualsmg.go.kr
175.45.221.206,nise.go.kr
175.45.222.31,namhae.greendaero.go.kr
175.45.222.31,pyeongchang.greendaero.go.kr
175.45.222.31,yw.greendaero.go.kr
175.45.222.74,nise.go.kr
175.45.222.77,nise.go.kr
175.45.222.75,nise.go.kr
175.45.222.78,nise.go.kr
175.45.222.128,k-startup.go.kr
175.45.223.85,k-startup.go.kr
175.45.223.88,k-startup.go.kr
211.32.132.74,hi.hrfco.go.kr
211.32.132.74,hi.hrfco.go.kr
211.34.68.49,ebook.cbe.go.kr
211.34.68.50,cbe.go.kr
211.34.68.52,reading.cbe.go.kr
211.34.68.82,lms.cbe.go.kr
211.34.68.90,basics.cbe.go.kr
211.34.68.90,cbe.go.kr
211.34.68.101,cmec.cberi.go.kr
211.34.68.101,tv.cberi.go.kr
211.34.80.1,mail.cbpolice.go.kr
211.34.86.3,nsodns.nso.go.kr
211.34.86.8,mail.nso.go.kr
211.34.86.50,kostat.go.kr
211.34.86.50,mysgis.kostat.go.kr
211.34.86.50,sgis.kostat.go.kr
211.34.86.51,sgisapi.kostat.go.kr
211.34.86.76,lib.nso.go.kr
211.34.86.80,kostat.go.kr
211.34.86.80,mdis.kostat.go.kr
211.34.86.84,isaup.nso.go.kr
211.34.86.87,kmdss.nso.go.kr
211.34.86.98,kosis.nso.go.kr
211.34.86.92,pcrm.nso.go.kr
211.34.86.99,www.stat.go.kr
211.34.86.99,stat.go.kr
211.34.86.118,gis.nso.go.kr
211.34.86.120,e-diary.survey.go.kr
211.34.86.120,ea.survey.go.kr
211.34.86.120,m.survey.go.kr
211.34.86.121,nsportal.stat.go.kr
211.34.90.51,analysis.kostat.go.kr
211.34.90.60,2010.census.go.kr
211.34.90.51,dev.kostat.go.kr
211.34.90.62,mpedu.survey.go.kr
211.34.90.62,epedu.survey.go.kr
211.34.90.67,fss.kostat.go.kr
211.34.90.72,ices.ecensus.go.kr
211.34.90.73,imfs.ecensus.go.kr
211.34.90.74,iretail.ecensus.go.kr
211.34.90.76,icon.ecensus.go.kr
211.34.90.75,iservice.ecensus.go.kr
211.34.90.90,lib.kostat.go.kr
211.34.96.2,ns.gangbuk.go.kr
211.34.96.29,gangbuk.go.kr
211.34.96.38,gangbuk.go.kr
