ip_address,domain
34.18.3.101,csc.api.cait.gov.kw
34.18.3.101,iht.api.cait.gov.kw
34.18.3.101,moe.api.cait.gov.kw
34.18.3.101,kcb.api.cait.gov.kw
34.18.3.101,moi.api.cait.gov.kw
34.18.3.101,moj.api.cait.gov.kw
34.18.3.101,paci-public.api.cait.gov.kw
34.18.3.101,moh.api.cait.gov.kw
34.18.3.101,paci.api.cait.gov.kw
34.18.3.101,pamp.api.cait.gov.kw
34.18.3.101,pifss.api.cait.gov.kw
34.18.3.101,baladia.api.cait.gov.kw
34.18.3.101,baladiya.api.cait.gov.kw
34.18.3.101,csc.api.cait.gov.kw
34.18.3.101,carirs.api.cait.gov.kw
34.18.3.101,iht.api.cait.gov.kw
34.18.3.101,kcb.api.cait.gov.kw
34.18.3.101,moe.api.cait.gov.kw
34.18.3.101,moh.api.cait.gov.kw
34.18.3.101,moi.api.cait.gov.kw
34.18.3.101,moci.api.cait.gov.kw
34.18.3.101,moj.api.cait.gov.kw
34.18.3.101,paci-public.api.cait.gov.kw
34.18.3.101,paci.api.cait.gov.kw
34.18.3.101,pada.api.cait.gov.kw
34.18.3.101,pamp.api.cait.gov.kw
34.18.3.101,pifss.api.cait.gov.kw
34.18.34.2,developer.api.cait.gov.kw
34.18.34.2,developer.api.cait.gov.kw
34.18.103.212,developer.api-non-prod.cait.gov.kw
34.18.103.212,developer.api-non-prod.cait.gov.kw
34.18.105.61,csc-uat.api-non-prod.cait.gov.kw
34.18.105.61,iht-uat.api-non-prod.cait.gov.kw
34.18.105.61,kcb-uat.api-non-prod.cait.gov.kw
34.18.105.61,moe-uat.api-non-prod.cait.gov.kw
34.18.105.61,moh-uat.api-non-prod.cait.gov.kw
34.18.105.61,moi-uat.api-non-prod.cait.gov.kw
34.18.105.61,moj-uat.api-non-prod.cait.gov.kw
34.18.105.61,paci-uat-public.api-non-prod.cait.gov.kw
34.18.105.61,paci-uat.api-non-prod.cait.gov.kw
34.18.105.61,pamp-uat.api-non-prod.cait.gov.kw
34.18.105.61,pifss-uat.api-non-prod.cait.gov.kw
34.18.105.61,baladiya-uat.api-non-prod.cait.gov.kw
34.18.105.61,carirs-uat.api-non-prod.cait.gov.kw
34.18.105.61,baladia-uat.api-non-prod.cait.gov.kw
34.18.105.61,csc-uat.api-non-prod.cait.gov.kw
34.18.105.61,iht-uat.api-non-prod.cait.gov.kw
34.18.105.61,kcb-uat.api-non-prod.cait.gov.kw
34.18.105.61,moci-uat.api-non-prod.cait.gov.kw
34.18.105.61,moe-uat.api-non-prod.cait.gov.kw
34.18.105.61,moi-uat.api-non-prod.cait.gov.kw
34.18.105.61,moj-uat.api-non-prod.cait.gov.kw
34.18.105.61,paci-uat.api-non-prod.cait.gov.kw
34.18.105.61,pada-uat.api-non-prod.cait.gov.kw
34.18.105.61,pamp-uat.api-non-prod.cait.gov.kw
34.18.105.61,pifss-uat.api-non-prod.cait.gov.kw
34.18.121.168,rti.media.gov.kw
34.18.121.168,media.gov.kw
34.18.161.120,apc.ku.edu.kw
34.18.161.120,cls.ku.edu.kw
34.18.161.120,dsa.ku.edu.kw
34.18.161.120,la.ku.edu.kw
34.18.161.120,gis.ssuc.ku.edu.kw
34.18.161.120,med.ku.edu.kw
34.18.161.120,oovpp.ku.edu.kw
34.18.161.120,phar.ku.edu.kw
34.18.161.120,gis.ssuc.ku.edu.kw
34.18.161.120,sci.ku.edu.kw
2a02:26f0:60:28f::9629,payment.citra.gov.kw
2a02:26f0:60:28f::9629,citra.gov.kw
2a02:26f0:60:28f::9629,www.citra.gov.kw
2a02:26f0:60:28f::9629,eservices.citra.gov.kw
2a02:26f0:60:29e::9629,citra.gov.kw
2a02:26f0:60:29e::9629,eservices.citra.gov.kw
2a02:26f0:60:29e::9629,www.citra.gov.kw
2a02:26f0:60:29e::9629,payment.citra.gov.kw
2a02:26f0:6b:18a::9629,citra.gov.kw
2a02:26f0:6b:18a::9629,eservices.citra.gov.kw
2a02:26f0:6b:18a::9629,payment.citra.gov.kw
2a02:26f0:6b:18a::9629,www.citra.gov.kw
44.218.122.249,lms.abs.edu.kw
44.218.122.249,schoology.abs.edu.kw
44.218.122.249,schoology.abs.edu.kw
34.36.146.96,patent.moci.gov.kw
34.36.146.96,re.moci.gov.kw
34.36.146.96,eco.moci.gov.kw
43.204.106.253,pm.gov.kw
43.204.106.253,pm.gov.kw
43.204.106.253,pm.gov.kw
35.153.224.109,auk.edu.kw
35.153.224.109,staging.auk.edu.kw
35.153.224.109,www.auk.edu.kw
35.156.223.69,marketapp.moci.gov.kw
143.110.179.148,admission.aums.edu.kw
143.110.179.148,erp.aums.edu.kw
143.110.179.148,admission.aums.edu.kw
143.110.179.148,erp.aums.edu.kw
43.241.70.8,survey.aum.edu.kw
34.54.138.108,exd.gov.kw
34.54.138.108,exd.gov.kw
35.157.44.163,moci.gov.kw
35.157.90.64,mail.nced.edu.kw
35.158.30.124,kbc.gov.kw
143.204.23.7,kuwaitairport.gov.kw
143.204.23.49,kuwaitairport.gov.kw
143.204.23.57,kuwaitairport.gov.kw
143.204.23.63,kuwaitairport.gov.kw
141.147.135.138,au.edu.kw
143.204.215.7,exd.gov.kw
143.204.215.41,exd.gov.kw
143.204.215.55,exd.gov.kw
143.204.215.60,exd.gov.kw
141.193.179.163,citra.gov.kw
143.244.197.247,ottupay.auk.edu.kw
143.244.197.247,www.ottupay.auk.edu.kw
141.193.213.10,uas.edu.kw
35.172.94.1,careers.aca.edu.kw
35.172.94.1,Careers.aca.edu.kw
35.172.94.1,careers.aca.edu.kw
35.172.94.1,Careers.aca.edu.kw
35.172.94.1,careers.aca.edu.kw
23.20.229.94,lms.abs.edu.kw
141.193.213.11,uas.edu.kw
141.193.213.20,mba.aum.edu.kw
141.193.213.20,mba.aum.edu.kw
93.127.173.27,pos.gbs.edu.kw
84.32.84.87,beta.gbs.edu.kw
108.128.35.106,appnav-prod.ec.auk.edu.kw
34.83.138.251,registration.hioda.edu.kw
108.128.140.49,ec.auk.edu.kw
108.129.60.87,purple.bsk.edu.kw
108.138.26.17,media.gov.kw
108.138.26.17,media.gov.kw
108.138.26.23,media.gov.kw
108.138.26.23,media.gov.kw
108.138.26.70,media.gov.kw
108.138.26.70,media.gov.kw
98.71.187.47,elearning.cait.gov.kw
108.138.26.108,media.gov.kw
108.138.26.108,media.gov.kw
23.35.218.156,kdipa.gov.kw
23.35.218.157,kdipa.gov.kw
