ip_address,domain
93.115.14.8,ddst-shakat.gov.kz
93.115.14.8,ddst-shakat.gov.kz
93.115.14.13,revkom-akmo.gov.kz
93.115.14.13,rpbstin.gov.kz
93.115.14.13,revkom-akmo.gov.kz
85.29.132.91,edu.gov.kz
85.29.132.91,mailgateway.edu.gov.kz
184.84.165.253,pavlodar.invest.gov.kz
193.33.86.103,jitsi.bolashak.gov.kz
193.33.86.103,jitsi.bolashak.gov.kz
93.170.73.34,back.expertise.gov.kz
93.170.73.34,expertise.gov.kz
93.170.73.34,www.expertise.gov.kz
93.170.73.34,www.back.expertise.gov.kz
93.170.73.43,kostregion.gov.kz
93.170.73.234,back.e-expert.gov.kz
93.170.73.234,e-expert.gov.kz
93.170.73.234,back.e-expert.gov.kz
93.170.73.234,e-expert.gov.kz
93.170.73.235,back.esaraptama.gov.kz
93.170.73.235,esaraptama.gov.kz
93.170.73.235,minio.esaraptama.gov.kz
193.43.250.21,help.mvd.gov.kz
193.43.250.22,admin.tizilim.gov.kz
193.43.250.22,api.tizilim.gov.kz
193.43.250.22,public.tizilim.gov.kz
193.43.250.22,ss.tizilim.gov.kz
193.43.250.22,tizilim.gov.kz
193.43.250.22,admin.tizilim.gov.kz
193.43.250.22,www.tizilim.gov.kz
193.43.250.22,api.tizilim.gov.kz
193.43.250.22,ss.tizilim.gov.kz
193.43.250.22,tizilim.gov.kz
193.43.250.22,admin.tizilim.gov.kz
193.43.250.22,api.tizilim.gov.kz
193.43.250.22,public.tizilim.gov.kz
193.43.250.22,tizilim.gov.kz
193.43.250.22,public.tizilim.gov.kz
193.43.250.22,www.tizilim.gov.kz
193.43.250.83,upload.naiza.gov.kz
193.43.250.85,api.naiza.gov.kz
193.43.250.98,baiterek.gov.kz
193.43.250.117,proctor.baiterek.gov.kz
193.43.250.229,www.mnp.rfs.gov.kz
193.43.250.232,old.rfs.gov.kz
193.43.250.229,mnp.rfs.gov.kz
193.43.250.232,www.rfs.gov.kz
193.43.250.235,api.imei.rfs.gov.kz
193.43.250.235,imei.rfs.gov.kz
193.43.250.235,www.imei.rfs.gov.kz
93.185.73.215,ns.adilet.gov.kz
93.185.73.214,ns2.adilet.gov.kz
93.185.73.215,ns.law.gov.kz
93.185.73.215,ns.zan.gov.kz
93.185.73.232,sud.gov.kz
93.185.73.232,sud.gov.kz
93.185.74.120,mail.sanaq.gov.kz
93.185.75.1,sud.gov.kz
93.185.75.49,ie-edge-01.kyzmet.gov.kz
93.185.75.49,ie-edge-01.adilet.gov.kz
93.185.75.49,ie-edge-01.akimvko.gov.kz
93.185.75.49,ie-edge-01.almaty.gov.kz
93.185.75.49,ie-edge-01.egov.kz
93.185.75.49,ie-edge-01.ie.gov.kz
93.185.75.49,ie.gov.kz
93.185.75.49,ie-edge-01.kostanay.gov.kz
93.185.75.49,ie-edge-01.krgrevcom.gov.kz
93.185.75.49,ie-edge-01.kyzmet.gov.kz
93.185.75.49,ie-adge-01.msh.gov.kz
93.185.75.49,ie-edge-01.orda.gov.kz
93.185.75.49,ie-edge-01.minfin.gov.kz
93.185.75.49,ie-edge-01.sko.gov.kz
93.185.75.50,ie-edge-02.ads.gov.kz
93.185.75.50,ie-edge-02.akimvko.gov.kz
93.185.75.50,ie-edge-02.adilet.gov.kz
93.185.75.50,ie-edge-02.egov.kz
93.185.75.50,ie-edge-02.almaty.gov.kz
93.185.75.50,ie-edge-02.ie.gov.kz
93.185.75.50,ie-edge-02.krgrevcom.gov.kz
93.185.75.50,ie-edge-02.kostanay.gov.kz
93.185.75.50,ie-edge-02.minfin.gov.kz
93.185.75.50,ie-edge-02.kyzmet.gov.kz
93.185.75.50,ie-adge-02.msh.gov.kz
93.185.75.50,ie-edge-02.orda.gov.kz
93.185.75.50,ie-edge-02.sko.gov.kz
93.185.77.169,mail.minplan.gov.kz
93.185.79.131,mx2.baiterek.gov.kz
188.0.134.12,mail.madeniet.pavlodar.gov.kz
188.0.155.99,copy.inva.gov.kz
93.191.224.40,exwe01.meet.gov.kz
93.191.224.40,exwe01.meet.gov.kz
93.191.224.41,exwe02.meet.gov.kz
93.191.224.41,exwe02.meet.gov.kz
93.191.224.42,cmse01.meet.gov.kz
93.191.224.42,meet.gov.kz
93.191.224.42,cmse01.meet.gov.kz
93.191.224.42,meet.gov.kz
93.191.224.43,cmse02.meet.gov.kz
93.191.224.43,meet.gov.kz
93.191.224.43,cmse02.meet.gov.kz
93.191.224.43,meet.gov.kz
93.191.231.34,ns.government.kz
85.159.27.166,violations.cts.gov.kz
85.159.27.240,moodle.cts.gov.kz
85.159.27.240,moodle.cts.gov.kz
85.159.27.240,moodle.cts.gov.kz
193.111.175.28,aisana.gov.kz
193.148.60.86,digitalmap.gov.kz
193.148.60.86,digitalmap.gov.kz
