ip_address,domain
114.129.27.39,mail.dimex.gov.la
114.129.27.156,mail.kpl.gov.la
143.95.39.144,mail.nra.gov.la
143.95.39.144,www.nra.gov.la
143.95.39.144,nra.gov.la
141.164.110.79,evisa.gov.la
141.164.110.80,evisa.gov.la
141.164.110.81,evisa.gov.la
43.252.244.90,nreri.monre.gov.la
43.252.245.55,mtcspeedtest.gov.la
84.32.84.113,nhi-household.gov.la
93.127.179.15,nhi-household.gov.la
108.158.245.17,lmi.gov.la
108.158.245.70,lmi.gov.la
108.158.245.75,lmi.gov.la
108.158.245.89,lmi.gov.la
35.208.248.4,tdd.gov.la
35.208.248.4,tdd.gov.la
35.208.248.4,tdd.gov.la
151.106.100.4,autodiscover.bokeo.gov.la
151.106.100.4,bokeo.gov.la
151.106.100.4,cpanel.bokeo.gov.la
151.106.100.4,cpcontacts.bokeo.gov.la
151.106.100.4,cpcalendars.bokeo.gov.la
151.106.100.4,webmail.bokeo.gov.la
151.106.100.4,webdisk.bokeo.gov.la
35.213.140.165,m.laokyc.gov.la
35.213.140.165,www.m.laokyc.gov.la
35.213.146.96,laopass.gov.la
35.213.146.96,laopass.gov.la
35.213.146.96,laopass.gov.la
108.167.159.117,autodiscover.dcal.gov.la
108.167.159.117,cpcontacts.dcal.gov.la
108.167.159.117,dcal.gov.la
108.167.159.117,cpcalendars.dcal.gov.la
108.167.159.117,mail.dcal.gov.la
108.167.159.117,eaircraftcharter.dcal.gov.la
108.167.159.117,webdisk.dcal.gov.la
108.167.159.117,www.dcal.gov.la
108.167.159.117,www.eaircraftcharter.dcal.gov.la
35.213.177.166,laopass.gov.la
188.114.96.0,deb.gov.la
188.114.96.0,member.ldpa.gov.la
188.114.96.0,webdisk.laotradeportal.gov.la
34.143.197.176,api.tracking.gov.la
88.223.87.147,nhi-household.gov.la
157.119.181.49,eaimail.gov.la
157.119.181.110,training.lanic.gov.la
157.119.181.112,ns4.lanic.gov.la
157.119.181.113,ns5.lanic.gov.la
157.119.181.112,ns4.lanic.gov.la
157.119.181.113,ns5.lanic.gov.la
157.119.182.131,quarantine.cdc.gov.la
157.119.182.131,www.quarantine.cdc.gov.la
157.119.182.131,digitalweek.gov.la
157.119.182.131,www.digitalweek.gov.la
157.119.182.131,dtc-atp.gov.la
157.119.182.131,dtc-bko.gov.la
157.119.182.131,www.dtc-atp.gov.la
157.119.182.131,www.dtc-bko.gov.la
157.119.182.131,immigration.gov.la
157.119.182.131,www.immigration.gov.la
157.119.182.131,autodiscover.jed.gov.la
157.119.182.131,cpcalendars.jed.gov.la
157.119.182.131,jed.gov.la
157.119.182.131,webdisk.jed.gov.la
157.119.182.131,cpanel.jed.gov.la
157.119.182.131,dpi-xsb.mpi.gov.la
157.119.182.131,www.micat.gov.la
157.119.182.131,micat.gov.la
157.119.182.131,ipt.mpt.gov.la
157.119.182.131,www.ipt.mpt.gov.la
157.119.182.131,postal.gov.la
157.119.182.131,www.postal.gov.la
157.119.182.131,trafficpolicelao.gov.la
157.119.182.132,host.lanic.gov.la
157.119.182.132,www.host.lanic.gov.la
157.119.182.135,pccob.gov.la
157.119.182.135,www.pccob.gov.la
157.119.182.140,chat-office.gov.la
157.119.182.140,www.chat-office.gov.la
157.119.182.140,e-office.gov.la
157.119.182.140,www.e-office.gov.la
157.119.182.144,ictd.gov.la
157.119.182.144,laodigitalaward.gov.la
157.119.182.144,laoictaward.gov.la
157.119.182.144,www.laoictaward.gov.la
157.119.182.145,dictbolikhamxay.gov.la
157.119.182.145,www.bolikhamxay.gov.la
157.119.182.145,bolikhamxay.gov.la
157.119.182.145,dictbolikhamxay.gov.la
157.119.182.145,dictbolikhamxay.gov.la
157.119.182.147,sip01.laonic.gov.la
157.119.182.150,mx1.laonic.gov.la
157.119.182.150,mx1.mail.gov.la
157.119.182.151,data.gov.la
157.119.182.151,www.data.gov.la
157.119.182.157,mtc.gov.la
157.119.182.150,mx1.laonic.gov.la
157.119.182.157,mpt.gov.la
157.119.182.157,www.mpt.gov.la
157.119.182.157,mtc.gov.la
157.119.182.162,g-room.gov.la
157.119.182.162,meet.g-room.gov.la
157.119.182.162,g-room.gov.la
157.119.182.162,meet.g-room.gov.la
157.119.182.162,g-room.gov.la
157.119.182.162,meet.g-room.gov.la
157.119.182.162,sip01.mail.gov.la
157.119.182.165,mx2.laonic.gov.la
157.119.182.162,sip02.mail.gov.la
157.119.182.165,mail.gov.la
157.119.182.165,mx2.laonic.gov.la
157.119.182.173,e-license.ictd.gov.la
157.119.182.189,hongsa.gov.la
157.119.182.165,mx2.mail.gov.la
157.119.182.189,mail.egov.gov.la
157.119.182.189,www.hongsa.gov.la
157.119.182.189,www.hongsa.gov.la
157.119.182.189,hongsa.gov.la
157.119.182.202,ndc.lanic.gov.la
157.119.182.208,g-share.gov.la
157.119.182.215,e-officepmo.gov.la
157.119.182.215,www.e-officepmo.gov.la
157.119.182.216,www.covid19.gov.la
157.119.182.216,covid19.gov.la
157.119.182.218,law.moic.gov.la
157.119.182.218,law.moic.gov.la
157.119.182.218,law.moic.gov.la
157.119.182.218,lawdb.moic.gov.la
157.119.182.220,outlook.mail.gov.la
157.119.182.223,simreg.gov.la
157.119.182.223,simreg.gov.la
157.119.182.223,simreg.gov.la
157.119.182.228,myoffice.g-share.gov.la
157.119.182.234,www.g-chat.gov.la
157.119.182.241,elsiict.gov.la
157.119.183.2,mptspeed.gov.la
157.119.183.5,api.simreg.gov.la
157.119.183.5,kyc.simreg.gov.la
157.119.183.20,molsws.gov.la
157.119.183.20,molsws.gov.la
157.119.183.20,molsws.gov.la
157.119.183.22,s3.laokyc.gov.la
157.119.183.22,s3.laokyc.gov.la
157.119.183.22,storage.laokyc.gov.la
157.119.183.22,storage.laokyc.gov.la
157.119.183.22,storage.laokyc.gov.la
157.119.183.22,s3.laokyc.gov.la
157.119.183.36,speedtest.lanic.gov.la
157.119.183.40,laoaqi.gov.la
157.119.183.57,groom.gov.la
157.119.183.58,jms.g-room.gov.la
157.119.183.71,mpi.e-office.gov.la
157.119.183.71,www.mpi.e-office.gov.la
157.119.183.71,mpi.e-office.gov.la
157.119.183.71,www.mpi.e-office.gov.la
157.119.183.71,mpi.e-office.gov.la
157.119.183.91,statistic.mtc.gov.la
157.119.183.71,www.mpi.e-office.gov.la
157.119.183.101,ghg.monre.gov.la
157.119.183.113,greenpass.gov.la
157.119.183.113,laogreenpass.gov.la
157.119.183.113,xn--q7ceja1b6bb0kc.gov.la
157.119.183.113,greenpass.gov.la
157.119.183.113,www.greenpass.gov.la
157.119.183.113,laogreenpass.gov.la
157.119.183.113,www.laogreenpass.gov.la
157.119.183.113,gov-x.laokyc.gov.la
157.119.183.113,moh.laokyc.gov.la
157.119.183.113,test.laokyc.gov.la
157.119.183.113,www.laokyc.gov.la
157.119.183.113,laosusu.gov.la
157.119.183.147,molsw.gov.la
157.119.183.147,molsw.gov.la
157.119.183.155,inventory-ndc.lanic.gov.la
157.119.183.155,inventory-ndc.lanic.gov.la
157.119.183.155,inventory-ndc.lanic.gov.la
157.119.183.156,lsb.gov.la
157.119.183.156,ns2.lsb.gov.la
157.119.183.160,sapha.gov.la
157.119.183.156,webhost4.lsb.gov.la
157.119.183.162,champasak.gov.la
157.119.183.162,dept-bol.gov.la
157.119.183.162,www.champasak.gov.la
157.119.183.162,www.dept-bol.gov.la
157.119.183.162,dictsyb.gov.la
157.119.183.162,www.dictsyb.gov.la
157.119.183.162,digitalweek.gov.la
157.119.183.162,www.digitalweek.gov.la
157.119.183.162,dop.gov.la
157.119.183.162,dpia.gov.la
157.119.183.162,www.dpia.gov.la
157.119.183.162,dtc-atp.gov.la
157.119.183.162,www.dtc-atp.gov.la
157.119.183.162,www.dop.gov.la
157.119.183.162,db.dtc-odx.gov.la
157.119.183.162,www.db.dtc-odx.gov.la
157.119.183.162,dtc-psl.gov.la
157.119.183.162,www.dtc-psl.gov.la
157.119.183.162,kd.dtc-srv.gov.la
157.119.183.162,ln.dtc-srv.gov.la
157.119.183.162,sv.dtc-srv.gov.la
