ip_address,domain
44.218.99.101,stats.gov.lc
44.218.99.101,www.stats.gov.lc
44.220.97.250,digigov.govt.lc
44.220.97.250,engageadm-int.digigov.govt.lc
44.220.97.250,int-uat.digigov.govt.lc
44.220.97.250,engageadm-int-uat.digigov.govt.lc
44.220.97.250,sso-uat.digigov.govt.lc
44.220.97.250,sso.digigov.govt.lc
44.220.97.250,int.digigov.govt.lc
44.220.97.250,uat.digigov.govt.lc
44.220.97.250,www.digigov.govt.lc
35.170.190.50,digigov.govt.lc
35.170.190.50,engageadm-int-uat.digigov.govt.lc
35.170.190.50,engageadm-int.digigov.govt.lc
35.170.190.50,int-uat.digigov.govt.lc
35.170.190.50,int.digigov.govt.lc
35.170.190.50,sso.digigov.govt.lc
35.170.190.50,uat.digigov.govt.lc
35.170.190.50,sso-uat.digigov.govt.lc
35.170.190.50,www.digigov.govt.lc
35.170.206.19,digigov.govt.lc
35.170.206.19,engageadm-int-uat.digigov.govt.lc
35.170.206.19,engageadm-int.digigov.govt.lc
35.170.206.19,sso-uat.digigov.govt.lc
35.170.206.19,int.digigov.govt.lc
35.170.206.19,sso.digigov.govt.lc
35.170.206.19,int-uat.digigov.govt.lc
35.170.206.19,uat.digigov.govt.lc
35.170.206.19,www.digigov.govt.lc
35.172.94.1,equip.education.gov.lc
35.172.94.1,equip.education.gov.lc
35.172.94.1,equip.education.gov.lc
34.75.164.31,endpoint.slutourism.govt.lc
35.185.4.24,api.slutourism.govt.lc
35.185.4.24,carnival.slutourism.govt.lc
35.185.4.24,demo.slutourism.govt.lc
35.185.4.24,gimies.slutourism.govt.lc
35.185.4.24,slutourism.govt.lc
35.185.4.24,www.slutourism.govt.lc
35.185.4.24,api.slutourism.govt.lc
35.185.4.24,carnival.slutourism.govt.lc
35.185.4.24,demo.slutourism.govt.lc
35.185.4.24,gimies.slutourism.govt.lc
35.185.4.24,slutourism.govt.lc
35.185.4.24,www.slutourism.govt.lc
35.185.4.24,api.slutourism.govt.lc
35.185.4.24,demo.slutourism.govt.lc
35.185.4.24,carnival.slutourism.govt.lc
35.185.4.24,gimies.slutourism.govt.lc
35.185.4.24,slutourism.govt.lc
35.185.4.24,www.slutourism.govt.lc
108.179.220.0,server.msea.commerce.gov.lc
108.179.220.0,msea.commerce.gov.lc
205.196.221.180,www.ifarm.govt.lc
205.217.228.99,e.police.gov.lc
34.138.135.111,creativeculture.govt.lc
34.138.135.111,culture.slutourism.govt.lc
34.145.128.201,taxi.slutourism.govt.lc
34.145.128.201,v1.api.slutourism.govt.lc
34.145.128.201,taxi.slutourism.govt.lc
34.145.128.201,v1.api.slutourism.govt.lc
34.145.128.201,v1.api.slutourism.govt.lc
23.92.31.175,facebook.govt.lc
23.92.31.175,info.govt.lc
23.92.31.175,tunein.govt.lc
23.92.31.175,twitter.govt.lc
23.92.31.175,youtube.govt.lc
23.92.31.175,facebook.govt.lc
23.92.31.175,info.govt.lc
23.92.31.175,tunein.govt.lc
23.92.31.175,twitter.govt.lc
23.92.31.175,youtube.govt.lc
23.92.31.175,www.info.govt.lc
54.68.12.205,seu.education.gov.lc
54.68.12.205,seu.education.gov.lc
66.147.242.152,autodiscover.commerce.gov.lc
66.147.242.152,commerce.gov.lc
66.147.242.152,cpanel.commerce.gov.lc
66.147.242.152,cpcalendars.commerce.gov.lc
66.147.242.152,cpcontacts.commerce.gov.lc
66.147.242.152,db.commerce.gov.lc
66.147.242.152,mseadev.commerce.gov.lc
66.147.242.152,webdisk.commerce.gov.lc
66.147.242.152,webmail.commerce.gov.lc
66.147.242.152,www.db.commerce.gov.lc
66.147.242.152,www.msea.commerce.gov.lc
66.147.242.152,www.mseadev.commerce.gov.lc
66.147.242.152,autodiscover.commerce.gov.lc
66.147.242.152,cpanel.commerce.gov.lc
66.147.242.152,cpcalendars.commerce.gov.lc
66.147.242.152,cpcontacts.commerce.gov.lc
66.147.242.152,db.commerce.gov.lc
66.147.242.152,webdisk.commerce.gov.lc
66.147.242.152,webmail.commerce.gov.lc
66.147.242.152,www.db.commerce.gov.lc
66.147.242.152,www.msea.commerce.gov.lc
66.147.242.152,mseadev.commerce.gov.lc
66.147.242.152,www.mseadev.commerce.gov.lc
66.147.242.152,commerce.gov.lc
66.147.242.152,autodiscover.commerce.gov.lc
66.147.242.152,commerce.gov.lc
66.147.242.152,cpanel.commerce.gov.lc
66.147.242.152,cpcalendars.commerce.gov.lc
66.147.242.152,cpcontacts.commerce.gov.lc
66.147.242.152,db.commerce.gov.lc
66.147.242.152,mseadev.commerce.gov.lc
66.147.242.152,webdisk.commerce.gov.lc
66.147.242.152,webmail.commerce.gov.lc
66.147.242.152,www.db.commerce.gov.lc
66.147.242.152,www.msea.commerce.gov.lc
66.147.242.152,www.mseadev.commerce.gov.lc
34.174.21.228,ubecslu.govt.lc
34.174.21.228,www.ubecslu.govt.lc
54.88.170.244,engageadm-int.digigov.govt.lc
54.88.170.244,engageadm-int-uat.digigov.govt.lc
54.88.170.244,int-uat.digigov.govt.lc
54.88.170.244,int.digigov.govt.lc
54.88.170.244,sso-uat.digigov.govt.lc
54.88.170.244,sso.digigov.govt.lc
54.88.170.244,uat.digigov.govt.lc
54.88.170.244,digigov.govt.lc
54.88.170.244,www.digigov.govt.lc
192.64.118.144,ifarm.govt.lc
192.64.118.144,ifarm.govt.lc
192.64.118.144,mail.ifarm.govt.lc
192.64.118.144,ifarm.govt.lc
52.5.175.168,digigov.govt.lc
52.5.175.168,engageadm-int-uat.digigov.govt.lc
52.5.175.168,engageadm-int.digigov.govt.lc
52.5.175.168,sso-uat.digigov.govt.lc
52.5.175.168,sso.digigov.govt.lc
52.5.175.168,uat.digigov.govt.lc
52.5.175.168,int.digigov.govt.lc
52.5.175.168,www.digigov.govt.lc
52.5.175.168,int-uat.digigov.govt.lc
52.5.208.157,digigov.govt.lc
52.5.208.157,engageadm-int-uat.digigov.govt.lc
52.5.208.157,engageadm-int.digigov.govt.lc
52.5.208.157,int-uat.digigov.govt.lc
52.5.208.157,int.digigov.govt.lc
52.5.208.157,sso.digigov.govt.lc
52.5.208.157,sso-uat.digigov.govt.lc
52.5.208.157,www.digigov.govt.lc
52.5.208.157,uat.digigov.govt.lc
52.5.239.76,digigov.govt.lc
52.5.239.76,engageadm-int-uat.digigov.govt.lc
52.5.239.76,engageadm-int.digigov.govt.lc
52.5.239.76,int-uat.digigov.govt.lc
52.5.239.76,int.digigov.govt.lc
52.5.239.76,sso-uat.digigov.govt.lc
52.5.239.76,sso.digigov.govt.lc
52.5.239.76,uat.digigov.govt.lc
52.5.239.76,www.digigov.govt.lc
66.212.63.118,staging.dims.nemo.gov.lc
66.212.63.118,staging.dims.nemo.gov.lc
66.212.63.118,staging.dims.nemo.gov.lc
216.185.152.146,carcip.govt.lc
216.185.152.146,www.carcip.govt.lc
66.216.99.9,vpn.planning.gov.lc
54.198.84.4,stats.gov.lc
54.198.84.4,www.stats.gov.lc
54.198.84.4,stats.gov.lc
54.198.84.4,www.stats.gov.lc
54.198.84.4,stats.gov.lc
54.198.84.4,www.stats.gov.lc
181.224.140.238,elections.gov.lc
181.224.140.238,www.elections.gov.lc
192.168.8.1,efiling.rocip.gov.lc
54.226.183.108,statstesting.govt.lc
65.48.170.178,meet.externalaffairs.gov.lc
65.48.170.178,home.externalaffairs.gov.lc
65.48.171.14,rslpf.govt.lc
65.48.171.14,rslpfmail.govt.lc
65.48.171.28,saintluciaginet.govt.lc
192.185.41.248,cxcreg.education.gov.lc
192.185.41.248,test.scholarships.education.gov.lc
192.185.41.248,www.scholarships.education.gov.lc
192.185.41.248,scholarships.education.gov.lc
192.185.41.248,scholarships.education.gov.lc
192.185.41.248,cxcreg.education.gov.lc
192.185.41.248,test.scholarships.education.gov.lc
192.185.41.248,www.scholarships.education.gov.lc
192.185.41.248,cxcreg.education.gov.lc
192.185.41.248,test.scholarships.education.gov.lc
192.185.41.248,www.scholarships.education.gov.lc
192.185.41.248,scholarships.education.gov.lc
96.45.82.26,help.govt.lc
96.45.82.231,help.govt.lc
96.45.83.49,help.govt.lc
96.45.83.244,help.govt.lc
52.72.111.164,digigov.govt.lc
52.72.111.164,engageadm-int-uat.digigov.govt.lc
52.72.111.164,int-uat.digigov.govt.lc
52.72.111.164,engageadm-int.digigov.govt.lc
52.72.111.164,sso-uat.digigov.govt.lc
52.72.111.164,sso.digigov.govt.lc
52.72.111.164,uat.digigov.govt.lc
52.72.111.164,int.digigov.govt.lc
52.72.111.164,www.digigov.govt.lc
52.73.207.206,engageadm-int-uat.digigov.govt.lc
52.73.207.206,digigov.govt.lc
52.73.207.206,engageadm-int.digigov.govt.lc
52.73.207.206,int-uat.digigov.govt.lc
52.73.207.206,int.digigov.govt.lc
52.73.207.206,sso-uat.digigov.govt.lc
52.73.207.206,sso.digigov.govt.lc
52.73.207.206,uat.digigov.govt.lc
52.73.207.206,www.digigov.govt.lc
