ip_address,domain
193.222.114.179,autodiscover.regierung.li
193.222.114.179,autodiscover.regierung.li
193.222.114.179,autodiscover.regierung.li
193.222.116.6,sip.regierung.li
193.222.116.15,lyncdiscover.regierung.li
91.207.130.55,fototool.regierung.li
91.207.130.55,bua.regierung.li
91.207.130.55,fototool.regierung.li
91.207.130.55,medienportal.regierung.li
91.207.130.55,regierung.li
91.207.130.55,www.regierung.li
91.207.130.57,bua.regierung.li
91.207.130.57,fototool.regierung.li
91.207.130.57,medienportal.regierung.li
91.207.130.57,www.regierung.li
91.207.130.57,regierung.li
91.207.130.57,fototool.regierung.li
91.207.130.57,medienportal.regierung.li
91.207.130.57,regierung.li
91.207.130.57,bua.regierung.li
91.207.130.57,www.regierung.li
91.207.130.57,medienportal.regierung.li
91.207.130.57,regierung.li
91.207.130.57,www.regierung.li
