ip_address,domain
143.47.225.118,yez.liberiasp.gov.lr
143.47.233.184,mis.liberiasp.gov.lr
143.47.233.184,MIS.lssnp.gov.lr
41.86.3.43,ccrb.gov.lr
41.86.3.43,ldea.gov.lr
41.86.3.43,ccrb.gov.lr
41.86.3.43,www.ldea.gov.lr
41.86.3.43,ldea.gov.lr
41.86.3.43,ombudsman.gov.lr
41.86.3.43,ombudsman.gov.lr
41.86.7.27,dash.lra.gov.lr
41.86.7.27,e-learning.lra.gov.lr
41.86.7.27,e-learning.lra.gov.lr
41.86.7.27,e-learning.lra.gov.lr
41.86.7.27,eservices.lra.gov.lr
41.86.7.27,elitas.lra.gov.lr
41.86.8.146,dashboard-test.mfdp.gov.lr
41.86.8.146,ovts.mfdp.gov.lr
41.86.8.146,development.mfdp.gov.lr
41.86.8.146,ataps.mfdp.gov.lr
41.86.8.146,stg-eft.mfdp.gov.lr
41.86.8.146,mfdp.gov.lr
41.86.8.146,dashboard-test.mfdp.gov.lr
41.86.12.4,lta.gov.lr
41.86.12.4,mail.lta.gov.lr
41.86.12.4,panel.lta.gov.lr
41.86.12.10,email.payroll.gov.lr
41.86.20.198,dms.moa.gov.lr
190.92.174.103,cpanel.libuae-embassy.gov.lr
190.92.174.103,cpcalendars.libuae-embassy.gov.lr
190.92.174.103,libuae-embassy.gov.lr
190.92.174.103,webdisk.libuae-embassy.gov.lr
190.92.174.103,cpcontacts.libuae-embassy.gov.lr
190.92.174.103,webmail.libuae-embassy.gov.lr
143.198.248.108,api.sandbox-efd.lra.gov.lr
143.198.248.108,backend.sandbox-efd.lra.gov.lr
143.198.248.108,mdis.sandbox-efd.lra.gov.lr
143.198.248.108,qrver.sandbox-efd.lra.gov.lr
143.198.248.108,taxpayer.sandbox-efd.lra.gov.lr
143.198.248.108,api.sandbox-efd.lra.gov.lr
143.198.248.108,backend.sandbox-efd.lra.gov.lr
143.198.248.108,qrver.sandbox-efd.lra.gov.lr
143.198.248.108,taxpayer.sandbox-efd.lra.gov.lr
143.198.248.108,mdis.sandbox-efd.lra.gov.lr
143.198.248.108,api.sandbox-efd.lra.gov.lr
143.198.248.108,backend.sandbox-efd.lra.gov.lr
143.198.248.108,mdis.sandbox-efd.lra.gov.lr
143.198.248.108,qrver.sandbox-efd.lra.gov.lr
143.198.248.108,taxpayer.sandbox-efd.lra.gov.lr
143.198.248.176,bi.efd.lra.gov.lr
143.198.248.176,bi-pg.efd.lra.gov.lr
143.198.248.176,api.efd.lra.gov.lr
143.198.248.176,hello.efd.lra.gov.lr
143.198.248.176,manufacturer.efd.lra.gov.lr
143.198.248.176,portal.efd.lra.gov.lr
143.198.248.176,qrver.efd.lra.gov.lr
143.198.248.176,rabbitui.efd.lra.gov.lr
143.198.248.176,redisinsight.efd.lra.gov.lr
143.198.248.176,static-console.efd.lra.gov.lr
143.198.248.176,static.efd.lra.gov.lr
143.198.248.176,supplier.efd.lra.gov.lr
143.198.248.176,taxpayer.efd.lra.gov.lr
141.147.116.111,sris.liberiasp.gov.lr
41.191.107.227,mail.congotown.gov.lr
41.191.107.227,www.congotown.gov.lr
35.172.94.1,lrrrc.gov.lr
35.172.94.1,lrrrc.gov.lr
98.70.25.30,cportal.lbnm.gov.lr
98.70.25.30,exam.lbnm.gov.lr
98.70.25.30,examapi.lbnm.gov.lr
98.70.25.30,gateway.lbnm.gov.lr
98.70.25.30,home.lbnm.gov.lr
98.70.25.30,services.lbnm.gov.lr
98.70.25.30,superadmin.lbnm.gov.lr
98.70.25.30,www.cportal.lbnm.gov.lr
98.70.25.30,www.examapi.lbnm.gov.lr
98.70.25.30,www.gateway.lbnm.gov.lr
98.70.25.30,www.exam.lbnm.gov.lr
98.70.25.30,www.home.lbnm.gov.lr
98.70.25.30,www.services.lbnm.gov.lr
98.70.25.30,www.superadmin.lbnm.gov.lr
98.70.25.30,cportal.lbnm.gov.lr
98.70.25.30,exam.lbnm.gov.lr
98.70.25.30,examapi.lbnm.gov.lr
98.70.25.30,gateway.lbnm.gov.lr
98.70.25.30,home.lbnm.gov.lr
98.70.25.30,services.lbnm.gov.lr
98.70.25.30,superadmin.lbnm.gov.lr
98.70.25.30,www.cportal.lbnm.gov.lr
98.70.25.30,www.exam.lbnm.gov.lr
98.70.25.30,www.gateway.lbnm.gov.lr
98.70.25.30,www.examapi.lbnm.gov.lr
98.70.25.30,www.home.lbnm.gov.lr
98.70.25.30,www.services.lbnm.gov.lr
98.70.25.30,www.superadmin.lbnm.gov.lr
93.127.201.232,elearning.gac.gov.lr
135.181.10.193,bota.gov.lr
135.181.10.193,eliberia.gov.lr
135.181.10.193,aaib.gov.lr
135.181.10.193,liberianmissiongeneva.gov.lr
135.181.10.193,apply.visaonarrival.lis.gov.lr
135.181.10.193,lis.gov.lr
135.181.10.193,rp1.lis.gov.lr
135.181.10.193,visa.lis.gov.lr
