ip_address,domain
41.203.191.1,www.finance.gov.ls
41.203.191.2,ibf.csis.gov.ls
41.203.191.2,collab.csis.gov.ls
41.203.191.2,metapp.csis.gov.ls
41.203.191.2,share.csis.gov.ls
41.203.191.2,collab.csis.gov.ls
41.203.191.2,ibf.csis.gov.ls
41.203.191.2,auth.csis.gov.ls
41.203.191.2,metapp.csis.gov.ls
41.203.191.3,tourism.gov.ls
41.203.191.2,share.csis.gov.ls
41.203.191.3,www.gov.ls
41.203.191.3,govmail.gov.ls
41.203.191.3,ifmis.gov.ls
41.203.191.3,tourism.gov.ls
41.203.191.3,www.lesotho.gov.ls
41.203.191.3,www.gov.ls
41.203.191.4,lgdnssmg.gov.ls
41.203.191.4,missa-mobi-qa.gov.ls
41.203.191.4,missa-qa.gov.ls
41.203.191.4,nissa-api-qa.gov.ls
41.203.191.4,staging-api-qa.gov.ls
41.203.191.4,linux.lesotho.gov.ls
41.203.191.4,lgdnsmg.gov.ls
41.203.191.4,mail.gov.ls
41.203.191.4,missa-mobi-qa.gov.ls
41.203.191.4,missa-qa.gov.ls
41.203.191.4,lgdnssmg.gov.ls
41.203.191.4,mx1.gov.ls
41.203.191.4,nissa-api-qa.gov.ls
41.203.191.4,staging-api-qa.gov.ls
41.203.191.5,www.climatechangelesotho.gov.ls
41.203.191.5,climatechangelesotho.gov.ls
41.203.191.5,climatechangelesotho.gov.ls
41.203.191.5,www.climatechangelesotho.gov.ls
41.203.191.5,climatechangelesotho.gov.ls
41.203.191.5,www.climatechangelesotho.gov.ls
41.203.191.6,hhris.gov.ls
41.203.191.6,mail.bos.gov.ls
41.203.191.6,hhris.gov.ls
41.203.191.7,foreignaffairs.gov.ls
41.203.191.7,www.foreignaffairs.gov.ls
41.203.191.7,foreignaffairs.gov.ls
41.203.191.7,www.foreignaffairs.gov.ls
41.203.191.8,moetpayslips.gov.ls
41.203.191.8,moetpayslips.gov.ls
41.203.191.9,defence.gov.ls
41.203.191.9,www.defence.gov.ls
41.203.191.9,ldf-salary.gov.ls
41.203.191.9,leavedefence.gov.ls
41.203.191.9,www.leavedefence.gov.ls
41.203.191.9,mod.gov.ls
41.203.191.9,www.mod.gov.ls
41.203.191.9,defence.gov.ls
41.203.191.9,www.defence.gov.ls
41.203.191.9,ldf-salary.gov.ls
41.203.191.9,leavedefence.gov.ls
41.203.191.9,www.leavedefence.gov.ls
41.203.191.9,www.mod.gov.ls
41.203.191.9,mod.gov.ls
41.203.191.10,comms.dedicated.gov.ls
41.203.191.10,comms.dedicated.gov.ls
41.203.191.13,www.education.gov.ls
41.203.191.14,dwarehouse.gov.ls
41.203.191.13,education.gov.ls
41.203.191.14,dwarehouse.gov.ls
41.203.191.14,www.dwarehouse.gov.ls
41.203.191.14,dwarehouse.gov.ls
41.203.191.14,www.dwarehouse.gov.ls
41.203.191.16,tourism.ecitizen.gov.ls
41.203.191.16,www.tourism.ecitizen.gov.ls
41.203.191.14,www.dwarehouse.gov.ls
41.203.191.16,tourism.ecitizen.gov.ls
41.203.191.16,tourism.ecitizen.gov.ls
41.203.191.18,ifmis.gov.ls
41.203.191.18,www.gov.ls
41.203.191.16,www.tourism.ecitizen.gov.ls
41.203.191.20,budgetportal.gov.ls
41.203.191.20,www.budgetportal.gov.ls
41.203.191.20,finance.gov.ls
41.203.191.20,www.finance.gov.ls
41.203.191.20,budgetportal.gov.ls
41.203.191.20,www.budgetportal.gov.ls
41.203.191.20,budgetportal.gov.ls
41.203.191.20,finance.gov.ls
41.203.191.20,www.budgetportal.gov.ls
41.203.191.20,finance.gov.ls
41.203.191.20,www.finance.gov.ls
41.203.191.20,financeapi.gov.ls
41.203.191.20,www.myfinance.gov.ls
41.203.191.22,afdp23ns01.gov.ls
41.203.191.21,acst23ns01.gov.ls
41.203.191.22,renokagisdata.gov.ls
41.203.191.22,renokagisdata.gov.ls
41.203.191.22,www.renokagisdata.gov.ls
41.203.191.26,nissa-missa-test-api2.gov.ls
41.203.191.22,www.renokagisdata.gov.ls
41.203.191.22,afdp23ns01.gov.ls
41.203.191.26,nissa-missa-test2.gov.ls
41.203.191.26,nissa-missa-test-api2.gov.ls
41.203.191.26,nissa-missa-test2.gov.ls
41.203.191.31,acst23ns02.gov.ls
41.203.191.32,publicworksandtransport.gov.ls
41.203.191.33,hiels.gov.ls
41.203.191.33,www.hiels.gov.ls
41.203.191.36,agricresearch.gov.ls
41.203.191.36,www.agricresearch.gov.ls
41.203.191.36,mtec.gov.ls
41.203.191.37,doe.gov.ls
41.203.191.37,www.doe.gov.ls
41.203.191.37,electrifylesotho.gov.ls
41.203.191.37,doe.gov.ls
41.203.191.37,www.doe.gov.ls
41.203.191.37,doe.gov.ls
41.203.191.37,www.doe.gov.ls
41.203.191.37,electrifylesotho.gov.ls
41.203.191.39,api-collect-n-go.gov.ls
41.203.191.39,api.bonolohealth.gov.ls
41.203.191.39,bonolohealth.gov.ls
41.203.191.39,seq.bonolohealth.gov.ls
41.203.191.39,seq-collect-n-go.gov.ls
