ip_address,domain
10.246.3.202,ppvis.lrv.lt
192.168.3.1,lpt.lrv.lt
8.6.112.0,archyvai.lrv.lt
8.6.112.0,essc.lrv.lt
8.6.112.4,policija.lrv.lt
8.47.69.0,archyvai.lrv.lt
8.47.69.0,essc.lrv.lt
8.47.69.4,policija.lrv.lt
104.18.10.169,archyvai.lrv.lt
104.18.10.169,essc.lrv.lt
104.18.10.169,jotainiuglobosnamai.lrv.lt
104.18.10.169,jra.lrv.lt
104.18.10.169,klaipeda.archyvai.lrv.lt
104.18.10.169,ktc.policija.lrv.lt
104.18.10.169,lrv.lt
104.18.10.169,mc.lrv.lt
104.18.10.169,nauja-rsc.lrv.lt
104.18.10.169,lpm.policija.lrv.lt
104.18.10.169,nauja-socmin.lrv.lt
104.18.10.169,nemokumovedlys.lrv.lt
104.18.10.169,pagramanciorp.lrv.lt
104.18.10.169,padvariaisgn.lrv.lt
104.18.10.169,piia.lrv.lt
104.18.10.169,policija.lrv.lt
104.18.10.169,pva.lrv.lt
104.18.10.169,salanturp.lrv.lt
104.18.10.169,sena-smsm.lrv.lt
104.18.10.169,siauliai.archyvai.lrv.lt
104.18.10.169,tvud.lrv.lt
104.18.10.169,veisiejuparkas.lrv.lt
104.18.10.169,vdtat.lrv.lt
104.18.10.169,vpb.lrv.lt
104.18.10.169,zua.lrv.lt
104.18.10.169,archyvai.lrv.lt
104.18.10.169,lrv.lt
104.18.10.169,policija.lrv.lt
104.18.10.169,essc.lrv.lt
104.18.10.169,vpb.lrv.lt
104.18.10.169,aaa.lrv.lt
104.18.10.169,aad.lrv.lt
104.18.10.169,abandzosspn.lrv.lt
104.18.10.169,adakavosgn.lrv.lt
104.18.10.169,adic.lrv.lt
104.18.10.169,aknystossgn.lrv.lt
104.18.10.169,alytus.policija.lrv.lt
104.18.10.169,am.lrv.lt
104.18.10.169,amvmt.lrv.lt
104.18.10.169,anp.lrv.lt
104.18.10.169,anyksciurp.lrv.lt
104.18.10.169,anta.lrv.lt
104.18.10.169,apva.lrv.lt
104.18.10.169,aras.policija.lrv.lt
104.18.10.169,astd.lrv.lt
104.18.10.169,archyvai.lrv.lt
104.18.10.169,bioetika.lrv.lt
104.18.10.169,bpc.lrv.lt
104.18.10.169,dnp.lrv.lt
104.18.10.169,dsgn.lrv.lt
104.18.10.169,dubysosrp.lrv.lt
104.18.10.169,dzukijossuvalkijosstd.lrv.lt
104.18.10.169,enmin.lrv.lt
104.18.10.169,avnt.lrv.lt
104.18.10.169,epilietis.lrv.lt
104.18.10.169,eimin.lrv.lt
104.18.10.169,finmin.lrv.lt
104.18.10.169,essc.lrv.lt
104.18.10.169,gra.lrv.lt
104.18.10.169,gtc.lrv.lt
104.18.10.169,fntt.lrv.lt
104.18.10.169,ia.lrv.lt
104.18.10.169,ird.lrv.lt
104.18.10.169,isgn.lrv.lt
104.18.10.169,ivpk.lrv.lt
104.18.10.169,jasiuliskiusgn.lrv.lt
104.18.10.169,jotainiuglobosnamai.lrv.lt
104.18.10.169,jra.lrv.lt
104.18.10.169,jurdaiciai.lrv.lt
104.18.10.169,hibridineataka.lrv.lt
104.18.10.169,kalejimai.lrv.lt
104.18.10.169,kalvarijosgn.lrv.lt
104.18.10.169,kaunas.archyvai.lrv.lt
104.18.10.169,kaunas.policija.lrv.lt
104.18.10.169,kernave.lrv.lt
104.18.10.169,kksd.lrv.lt
104.18.10.169,klaipeda.archyvai.lrv.lt
104.18.10.169,klaipeda.policija.lrv.lt
104.18.10.169,koronastop.lrv.lt
104.18.10.169,kpmpc.lrv.lt
104.18.10.169,kpd.lrv.lt
104.18.10.169,krekenavosrp.lrv.lt
104.18.10.169,ksgn.lrv.lt
104.18.10.169,ktc.policija.lrv.lt
104.18.10.169,ktv.policija.lrv.lt
104.18.10.169,kulturosic.lrv.lt
104.18.10.169,kupsgn.lrv.lt
104.18.10.169,kvtc.lrv.lt
104.18.10.169,lagk.lrv.lt
104.18.10.169,lcva.archyvai.lrv.lt
104.18.10.169,lavenusgn.lrv.lt
104.18.10.169,lgt.lrv.lt
104.18.10.169,lgkvc.lrv.lt
104.18.10.169,ligoniukasa.lrv.lt
104.18.10.169,linkuvossgn.lrv.lt
104.18.10.169,lkpt.policija.lrv.lt
104.18.10.169,lmt.lrv.lt
104.18.10.169,lpm.policija.lrv.lt
104.18.10.169,lpr.lrv.lt
