ip_address,domain
141.136.33.236,nmv.gov.lv
141.136.33.236,www.nmv.gov.lv
141.136.33.236,nmv.gov.lv
141.136.33.236,www.nmv.gov.lv
87.54.7.177,biodiv.daba.gov.lv
35.172.94.1,latvianorway100.mfa.gov.lv
35.172.94.1,latvianorway100.mfa.gov.lv
35.172.94.1,latvianorway100.mfa.gov.lv
87.99.92.147,mail.iub.gov.lv
87.99.92.148,iub.gov.lv
87.110.181.68,mailgw.vmnvd.gov.lv
87.110.181.68,mailgw.eveseliba.gov.lv
87.110.181.69,bildes.vmnvd.gov.lv
87.110.181.68,mailgw.vmnvd.gov.lv
87.110.181.69,bildes.eveseliba.gov.lv
87.110.181.69,bildes.vmnvd.gov.lv
87.110.183.130,www.ivis.eps.gov.lv
87.110.220.97,eksameni.gov.lv
87.110.220.98,eksameni.gov.lv
87.110.225.12,bior.gov.lv
85.31.96.36,deeptechatelier.liaa.gov.lv
85.31.96.36,deeptechatelier.liaa.gov.lv
93.127.192.208,nmv.gov.lv
93.127.192.208,www.nmv.gov.lv
93.127.192.208,nmv.gov.lv
93.127.192.208,www.nmv.gov.lv
85.31.98.140,latviaspace.gov.lv
85.31.98.140,www.latviaspace.gov.lv
85.31.98.140,latviaspace.gov.lv
85.31.98.140,www.latviaspace.gov.lv
85.31.99.141,esf-pedagogiem.gov.lv
85.31.99.141,www.esf-pedagogiem.gov.lv
135.181.199.118,latvianature.daba.gov.lv
135.181.199.118,latvianature.daba.gov.lv
135.181.199.118,latvianature.daba.gov.lv
193.41.33.120,rail.vdzti.gov.lv
193.41.45.62,anjpa.pmlp.gov.lv
193.68.81.68,mail.kis.gov.lv
193.68.81.79,vpn.kis.gov.lv
193.68.81.76,local-rds.kis.gov.lv
193.108.185.178,pedagogiem.gov.lv
193.108.185.178,www.pedagogiem.gov.lv
193.108.185.254,mail.rpr.gov.lv
87.246.161.40,cloud.jpd.gov.lv
87.246.161.40,jpd.gov.lv
87.246.161.41,jpd.gov.lv
87.246.161.44,ns.jpd.gov.lv
87.246.161.41,mx.jpd.gov.lv
87.246.161.45,hosting.jpd.gov.lv
87.246.161.47,jpd.gov.lv
87.246.161.47,epasts.jpd.gov.lv
87.246.172.12,izm.gov.lv
87.246.172.12,login.izm.gov.lv
87.246.172.12,pasts.izm.gov.lv
87.246.172.13,izm.gov.lv
87.246.172.19,izm.gov.lv
87.246.172.19,vpn.izm.gov.lv
87.246.172.20,izm.gov.lv
87.246.172.24,dml.visc.gov.lv
87.246.172.25,dmltest.visc.gov.lv
87.246.172.26,izm.gov.lv
87.246.172.30,mike.izm.gov.lv
87.246.172.27,izm.gov.lv
87.246.172.30,mike.izm.gov.lv
87.246.172.24,visc.gov.lv
87.246.173.168,old.datupanelis.eveseliba.gov.lv
87.246.184.2,ns.vzd.gov.lv
87.246.184.3,fw.vzd.gov.lv
87.246.184.12,pasts.vzd.gov.lv
87.246.184.12,pieteikumi.vzd.gov.lv
87.246.184.20,mail.vzd.gov.lv
87.246.184.20,pasts.vzd.gov.lv
87.246.184.20,mail.vzd.gov.lv
87.246.184.115,kac.vzd.gov.lv
87.246.184.134,pasts2.court.gov.lv
87.246.184.134,pasts2.court.gov.lv
87.246.184.136,ur.gov.lv
87.246.184.145,www.tna.gov.lv
87.246.184.145,valodasdraugs.vvc.gov.lv
87.246.184.161,ws.ur.gov.lv
87.246.184.162,exchange.tm.gov.lv
87.246.184.162,exchange.tm.gov.lv
87.246.184.162,ts.gov.lv
87.246.184.162,mail.vvc.gov.lv
87.246.184.163,pasts2.tm.gov.lv
87.246.184.163,ur.gov.lv
87.246.184.163,ur.gov.lv
87.246.184.163,ur.gov.lv
87.246.184.163,pasts2.tm.gov.lv
87.246.184.164,boris.ur.gov.lv
87.246.184.163,www.ur.gov.lv
87.246.184.164,boris.ur.gov.lv
87.246.184.164,ur.gov.lv
87.246.184.168,lrpv.gov.lv
87.246.184.169,ugfipr.ugf.gov.lv
87.246.184.136,dati.ur.gov.lv
87.246.184.170,ilr.ta.gov.lv
87.246.184.170,ta.gov.lv
87.246.184.175,ta.gov.lv
87.246.184.168,databases.lrpv.gov.lv
87.246.184.179,test.pais.lrpv.gov.lv
87.246.184.180,biblioteka.lrpv.gov.lv
87.246.184.180,lrpv.gov.lv
87.246.184.180,alise.patbib.gov.lv
87.246.184.181,ta.gov.lv
87.246.184.181,tis.ta.gov.lv
87.246.184.184,mail.tm.gov.lv
87.246.184.184,ts.gov.lv
87.246.184.184,ts.gov.lv
87.246.184.184,ts.gov.lv
87.246.184.188,newtistrain.ts.gov.lv
87.246.184.189,kalkulators.jpa.gov.lv
87.246.184.189,vis.jpa.gov.lv
87.246.184.189,vkckalkulators.ta.gov.lv
87.246.184.191,editorilr.ta.gov.lv
87.246.184.191,ta.gov.lv
87.246.184.198,mail.lrpv.gov.lv
87.246.184.205,ur.gov.lv
87.246.184.215,mx1.tm.gov.lv
87.246.184.215,mx1.tm.gov.lv
87.246.184.216,mx2.tm.gov.lv
87.246.184.217,in.tm.gov.lv
87.246.185.0,info-test.ur.gov.lv
87.246.184.216,mx2.tm.gov.lv
87.246.185.4,bristest.ur.gov.lv
87.246.185.4,ur.gov.lv
87.246.185.4,q-flow.ur.gov.lv
87.246.185.6,aptauja.ur.gov.lv
87.246.185.7,pasts.ur.gov.lv
87.246.185.7,git.ur.gov.lv
87.246.185.7,pasts.ur.gov.lv
87.246.185.7,ur.gov.lv
87.246.185.13,registrs.ur.gov.lv
87.246.185.13,registrs.ur.gov.lv
87.246.185.13,ur.gov.lv
87.246.185.16,auth.vpd.gov.lv
87.246.185.16,client-app-api.vpd.gov.lv
87.246.185.17,auth.vpd.gov.lv
87.246.185.16,resursi.vpd.gov.lv
87.246.185.17,client-app-t-api.vpd.gov.lv
87.246.185.17,auth-test.vpd.gov.lv
87.246.185.19,spore.vpd.gov.lv
87.246.185.22,dati.ta.gov.lv
87.246.185.17,client-app-t-api.vpd.gov.lv
87.246.185.22,ta.gov.lv
87.246.185.22,dati.ta.gov.lv
87.246.185.70,tavs.ta.gov.lv
87.246.185.58,mail.dvi.gov.lv
87.246.185.72,mail.jpa.gov.lv
87.246.185.82,mail.vvc.gov.lv
87.246.185.102,eksperti.ta.gov.lv
87.246.185.102,ta.gov.lv
87.246.185.106,mail.ta.gov.lv
87.246.185.109,pasts.ta.gov.lv
87.246.185.109,ta.gov.lv
87.246.185.20,ievp.gov.lv
87.246.185.109,www2.ta.gov.lv
87.246.185.110,portals.ta.gov.lv
87.246.185.146,fo-pais.lrpv.gov.lv
87.246.185.146,lrpv.gov.lv
87.246.185.147,eservices.lrpv.gov.lv
87.246.185.147,eservices.lrpv.gov.lv
87.246.185.147,lrpv.gov.lv
87.246.185.148,patbib.gov.lv
87.246.185.148,www.patbib.gov.lv
87.246.185.149,edge.video.ta.gov.lv
87.246.185.149,join.video.ta.gov.lv
87.246.185.149,edge.video.ta.gov.lv
87.246.185.149,join.video.ta.gov.lv
87.246.185.150,tm.gov.lv
87.246.185.150,estudijas.tm.gov.lv
87.246.185.154,pazinojums.dvi.gov.lv
87.246.185.154,test-pazinojums.dvi.gov.lv
87.246.185.154,pazinojums.dvi.gov.lv
87.246.185.154,test-pazinojums.dvi.gov.lv
87.246.185.154,pazinojums.dvi.gov.lv
87.246.185.154,test-pazinojums.dvi.gov.lv
87.246.185.155,vvc.gov.lv
87.246.185.162,ta.gov.lv
87.246.185.167,emus.ta.gov.lv
87.246.185.167,pakalpojumi.ta.gov.lv
87.246.185.167,ta.gov.lv
87.246.185.168,e-kurss.dvi.gov.lv
87.246.185.167,emuspublic.ta.gov.lv
87.246.185.168,e-kurss.dvi.gov.lv
87.246.185.168,e-kurss.dvi.gov.lv
87.246.185.170,ta.gov.lv
87.246.185.171,izsoles.ta.gov.lv
87.246.185.171,ta.gov.lv
87.246.185.172,estapiks.gov.lv
87.246.185.172,estapiks.gov.lv
87.246.185.173,b.ta.gov.lv
87.246.185.177,komerckila.ur.gov.lv
87.246.185.177,ur.gov.lv
87.246.185.179,maksatnespeja.ur.gov.lv
87.246.185.179,ur.gov.lv
87.246.185.175,kdb.tm.gov.lv
87.246.185.180,adm.mkd.gov.lv
87.246.185.180,old.mkd.gov.lv
87.246.185.180,mna.gov.lv
87.246.185.180,www.mna.gov.lv
87.246.185.182,info.ur.gov.lv
87.246.185.182,plg.ur.gov.lv
87.246.185.182,ur.gov.lv
87.246.185.182,info.ur.gov.lv
87.246.185.188,ta.gov.lv
87.246.185.180,adm.mna.gov.lv
87.246.186.9,kim.lm.gov.lv
193.200.201.5,ns.ventspils.gov.lv
193.200.201.40,mail.ventspils.gov.lv
193.200.201.101,ns.ventspils.gov.lv
87.254.11.190,smtp-b.iem.gov.lv
45.13.99.2,www.test.transportdata.gov.lv
45.13.99.77,business.gov.lv
85.254.50.50,knab.gov.lv
85.254.50.57,apmacibas.knab.gov.lv
85.254.50.57,apmacibas.knab.gov.lv
85.254.50.57,www.apmacibas.knab.gov.lv
85.254.147.138,mail.lvif.gov.lv
85.254.147.138,web.lvif.gov.lv
85.254.156.3,lzikis.zm.gov.lv
85.254.156.3,lzikispub.zm.gov.lv
85.254.156.4,ers.zm.gov.lv
85.254.156.6,pasts.zm.gov.lv
85.254.156.6,pasts.zm.gov.lv
85.254.156.33,apus-api-test.vvd.gov.lv
85.254.156.33,apus-test.vvd.gov.lv
85.254.156.34,apus-pieteikumi.vvd.gov.lv
85.254.157.5,fw1.ldc.gov.lv
85.254.157.6,fw2.ldc.gov.lv
85.254.157.6,fw2.ldc.gov.lv
85.254.157.9,dc.ldc.gov.lv
85.254.157.9,dc.ldc.gov.lv
85.254.157.12,ns1.ldc.gov.lv
85.254.157.12,ns1.ldc.gov.lv
85.254.157.16,mail.ldc.gov.lv
85.254.157.16,mail.ldc.gov.lv
85.254.157.17,ngx1.ldc.gov.lv
85.254.157.17,ngx1.ldc.gov.lv
85.254.157.17,ldc.gov.lv
85.254.157.17,ngx1.ldc.gov.lv
85.254.157.18,ngx2.ldc.gov.lv
85.254.157.18,ldc.gov.lv
85.254.157.19,sftp.ldc.gov.lv
85.254.157.19,sftp.ldc.gov.lv
85.254.157.20,sql.ldc.gov.lv
85.254.157.18,ngx2.ldc.gov.lv
85.254.157.21,rumak.ldc.gov.lv
85.254.157.21,rumak.ldc.gov.lv
85.254.157.32,visssmtp.ldc.gov.lv
85.254.157.32,visssmtp.ldc.gov.lv
85.254.157.33,dvs.zm.gov.lv
85.254.157.33,dvs.zm.gov.lv
85.254.157.20,sql.ldc.gov.lv
85.254.157.34,rvs.zm.gov.lv
85.254.157.36,eps.zm.gov.lv
85.254.157.37,sip.zm.gov.lv
85.254.157.37,sip.ldc.gov.lv
85.254.157.38,webcon.ldc.gov.lv
85.254.157.38,webcon.zm.gov.lv
85.254.157.39,av.ldc.gov.lv
85.254.157.39,av.zm.gov.lv
85.254.157.40,lync.zm.gov.lv
85.254.157.40,lyncdiscover.zm.gov.lv
85.254.157.41,mx1.zm.gov.lv
85.254.157.41,mx1.zm.gov.lv
85.254.157.42,mx2.zm.gov.lv
85.254.157.42,mx2.zm.gov.lv
85.254.157.43,epasts.zm.gov.lv
85.254.157.43,epakalpojumi.zm.gov.lv
85.254.157.43,epasts.zm.gov.lv
85.254.157.43,mail.zm.gov.lv
85.254.157.44,mx.pvd.gov.lv
85.254.157.66,pasts.vtua.gov.lv
85.254.157.67,komersants.vtua.gov.lv
85.254.157.67,www.komersants.vtua.gov.lv
85.254.157.72,vtua.gov.lv
85.254.157.75,csn.vtua.gov.lv
85.254.157.70,traktors.vtua.gov.lv
85.254.157.75,vtua.gov.lv
85.254.157.77,auth-tuvis-test.vtua.gov.lv
85.254.157.77,vtua.gov.lv
85.254.157.130,bbb4.vmd.gov.lv
85.254.157.132,bbb.vmd.gov.lv
85.254.157.132,bbb7.vmd.gov.lv
85.254.157.132,bbb.vmd.gov.lv
85.254.157.134,mail3.vmd.gov.lv
85.254.157.134,ns1.vmd.gov.lv
85.254.157.135,mdm.vmd.gov.lv
85.254.157.136,turn2.vmd.gov.lv
85.254.157.137,turn1.vmd.gov.lv
85.254.157.145,mail.vmd.gov.lv
85.254.157.145,epaktest.vmd.gov.lv
85.254.157.146,moodle.vmd.gov.lv
85.254.157.146,moodle.vmd.gov.lv
85.254.157.146,moodle.vmd.gov.lv
85.254.157.147,gis.vmd.gov.lv
85.254.157.147,www.gis.vmd.gov.lv
85.254.157.148,glpi.vmd.gov.lv
85.254.157.148,helpdesk.vmd.gov.lv
85.254.157.149,info.vmd.gov.lv
85.254.157.149,info.vmd.gov.lv
85.254.157.149,info.vmd.gov.lv
85.254.157.150,wiki.vmd.gov.lv
85.254.157.151,ls.vmd.gov.lv
85.254.157.151,ls.vmd.gov.lv
85.254.157.152,cloud.vmd.gov.lv
85.254.157.152,cloud.vmd.gov.lv
85.254.157.152,cloud.vmd.gov.lv
85.254.157.154,epak.vmd.gov.lv
85.254.157.154,epak.vmd.gov.lv
85.254.157.154,epak.vmd.gov.lv
85.254.157.157,bbb.vmd.gov.lv
85.254.157.155,vmd-karte7.vmd.gov.lv
85.254.157.157,bbb1.vmd.gov.lv
85.254.157.157,rm.vmd.gov.lv
85.254.157.166,pakalpojumi.pvd.gov.lv
85.254.157.168,notakey.pvd.gov.lv
85.254.157.169,dl.pvd.gov.lv
85.254.157.182,mdm.pvd.gov.lv
85.254.157.182,mdm.pvd.gov.lv
85.254.157.183,registri-test.pvd.gov.lv
85.254.157.187,pasts.pvd.gov.lv
85.254.157.188,registri.pvd.gov.lv
85.254.157.188,registri.pvd.gov.lv
85.254.157.188,registri.pvd.gov.lv
85.254.157.190,ipvd.pvd.gov.lv
85.254.157.195,mail.lad.gov.lv
85.254.157.195,mail.lad.gov.lv
85.254.157.187,pasts.pvd.gov.lv
85.254.157.196,lad.gov.lv
85.254.157.196,rdpgw.lad.gov.lv
85.254.157.197,lad.gov.lv
85.254.157.198,karte.lad.gov.lv
85.254.157.198,www.karte.lad.gov.lv
85.254.157.198,karte.lad.gov.lv
85.254.157.198,www.karte.lad.gov.lv
85.254.157.198,karte.lad.gov.lv
85.254.157.198,www.karte.lad.gov.lv
85.254.157.200,eps.lad.gov.lv
85.254.157.200,eps.lad.gov.lv
85.254.157.201,lad.gov.lv
85.254.157.203,faili.lad.gov.lv
85.254.157.204,adm01.lad.gov.lv
85.254.157.204,lad.gov.lv
85.254.157.231,vtua.gov.lv
85.254.157.232,vtua.gov.lv
85.254.157.204,adm01.lad.gov.lv
85.254.157.254,ns2.ldc.gov.lv
85.254.157.254,ns2.ldc.gov.lv
85.254.157.251,zmk-fw.zm.gov.lv
85.254.193.137,ns3.mod.gov.lv
85.254.211.234,giz.zpr.gov.lv
85.254.219.1,lvarhivs.gov.lv
85.254.219.1,www.lvarhivs.gov.lv
85.254.219.1,lvarhivs.gov.lv
85.254.219.1,www.lvarhivs.gov.lv
85.254.219.1,lvarhivs.gov.lv
85.254.219.1,www.lvarhivs.gov.lv
88.216.34.190,smtp-b.iem.gov.lv
84.237.216.44,beka.vide.vvd.gov.lv
84.237.216.44,beka.vide.vvd.gov.lv
84.237.216.234,mail.balvi.gov.lv
84.237.242.242,www.sam.gov.lv
84.237.242.242,www.sam.gov.lv
84.237.246.171,cfcu.gov.lv
188.114.96.1,pkc.gov.lv
157.230.115.86,turismaforums.liaa.gov.lv
157.230.115.86,turismaforums.liaa.gov.lv
216.55.101.133,spamwall.ventspils.gov.lv
116.202.176.28,mps.vas.gov.lv
116.202.176.28,www.mps.vas.gov.lv
188.114.96.3,pkc.gov.lv
188.114.96.3,cpcalendars.dzivnieki.gov.lv
188.114.96.3,pkc.gov.lv
10.0.1.124,vis.vmnvd.gov.lv
10.0.1.124,vis.eveseliba.gov.lv
10.0.1.125,aiviekste.eveseliba.gov.lv
188.114.96.4,www.pkc.gov.lv
10.0.32.226,sveiks.eveseliba.gov.lv
10.12.8.7,www.iric.gov.lv
10.20.30.5,test01.vbk.gov.lv
81.94.225.87,lvava.gov.lv
81.94.225.87,www.lvava.gov.lv
81.94.229.20,pasts.vide.gov.lv
81.94.229.21,pasts.vide.gov.lv
81.94.229.25,mail.vide.gov.lv
81.94.229.25,mail1.vide.gov.lv
81.94.235.5,www.ivis.eps.gov.lv
81.94.239.56,tpc.gov.lv
81.94.239.56,www.tpc.gov.lv
81.94.239.235,vsaa-portal.gov.lv
10.97.10.200,ener.gov.lv
10.97.10.200,info.knab.gov.lv
10.99.135.250,cloud2.gov.lv
192.142.7.101,filter.em.gov.lv
192.142.7.100,smtp-c.iem.gov.lv
54.194.41.141,darbiniekiem.vm.gov.lv
54.194.41.141,darbiniekiem.vm.gov.lv
