ip_address,domain
44.196.194.104,api.e-caa.caa.gov.ly
41.74.68.19,mail.gnc.gov.ly
41.74.68.20,www.gnc.gov.ly
41.74.68.21,so.gnc.gov.ly
35.157.169.126,test.ngoprojects.lgm.gov.ly
41.208.68.24,e.tve.gov.ly
41.208.68.24,tve.gov.ly
41.208.68.24,www.e.tve.gov.ly
41.208.68.51,aic.gov.ly
41.208.68.51,aic.gov.ly
41.208.68.51,aic.gov.ly
41.208.68.56,tms.fidc.gov.ly
41.208.68.56,training.fidc.gov.ly
41.208.68.57,ams.fidc.gov.ly
41.208.68.57,ams.fidc.gov.ly
41.208.68.56,tms.fidc.gov.ly
41.208.68.58,prtl.fidc.gov.ly
41.208.68.58,portal.fidc.gov.ly
41.208.68.58,prtl.fidc.gov.ly
41.208.68.59,jdf.fidc.gov.ly
41.208.68.59,jdf.fidc.gov.ly
41.208.68.87,mail.defense.gov.ly
41.208.68.108,mail.gia.gov.ly
41.208.68.123,mail.itcadel.gov.ly
41.208.68.137,mail.mhu.gov.ly
41.208.68.138,mail.planning.gov.ly
41.208.68.178,mail.awqaf.gov.ly
41.208.68.187,mail.edu.gov.ly
41.208.68.188,archives.moe.gov.ly
41.208.68.191,archives.moe.gov.ly
41.208.70.4,mail.pm.gov.ly
41.208.70.6,moe.gov.ly
41.208.70.8,mail.moi.gov.ly
41.208.70.8,mail.moi.gov.ly
41.208.70.59,cpanel.labour.gov.ly
41.208.70.59,labour.gov.ly
41.208.70.59,webmail.labour.gov.ly
41.208.70.59,cpanel.labour.gov.ly
41.208.70.59,labour.gov.ly
41.208.70.59,webmail.labour.gov.ly
41.208.70.136,db.planning.gov.ly
41.208.70.136,www.db.planning.gov.ly
41.208.70.151,archives.moe.gov.ly
41.208.70.151,archives.moe.gov.ly
41.208.70.162,passapp.nid.gov.ly
41.208.70.162,engnform.lpa.gov.ly
41.208.70.162,gia.gov.ly
41.208.70.162,cement.nid.gov.ly
41.208.70.162,info.nid.gov.ly
41.208.70.162,hajreg.nid.gov.ly
41.208.70.162,reservation.nid.gov.ly
41.208.70.162,passapp.nid.gov.ly
41.208.70.162,reserve.nid.gov.ly
41.208.70.162,sejal.nid.gov.ly
41.208.70.163,ehaj.gov.ly
41.208.70.232,tahseenv2.ncdc.gov.ly
41.208.70.232,www.tahseenv2.ncdc.gov.ly
41.208.70.252,treatment.dsdms.gov.ly
41.208.70.252,treatment.dsdms.gov.ly
41.208.70.252,www.treatment.dsdms.gov.ly
41.208.70.254,planning.gov.ly
41.208.71.17,defense.gov.ly
41.208.71.17,www.defense.gov.ly
41.208.71.17,mail.defense.gov.ly
41.208.71.34,esign.dsdms.gov.ly
41.208.71.45,autodiscover.mod.gov.ly
41.208.71.45,cpanel.mod.gov.ly
41.208.71.45,mail.mod.gov.ly
41.208.71.45,webmail.mod.gov.ly
41.208.71.90,lypm.gov.ly
41.208.71.110,fiu.cbl.gov.ly
41.208.71.110,mail.fiu.cbl.gov.ly
41.208.71.110,www.fiu.cbl.gov.ly
41.208.71.117,mail.supremecourt.gov.ly
41.208.71.117,system.supremecourt.gov.ly
41.208.71.117,webmail.supremecourt.gov.ly
41.208.72.41,lhems.mhesr.gov.ly
41.208.72.41,www.lhems.mhesr.gov.ly
41.208.72.43,sos.health.gov.ly
41.208.72.43,sos.health.gov.ly
41.208.72.45,sakan.nhrp.gov.ly
41.208.72.45,sakan.nhrp.gov.ly
41.208.72.191,mail.customs.gov.ly
41.208.72.204,cpanel.sac.gov.ly
41.208.72.204,sac.gov.ly
41.208.72.204,autodiscover.sac.gov.ly
41.208.72.204,webmail.sac.gov.ly
41.208.72.213,cpanel.aladel.gov.ly
41.208.72.213,ns2.aladel.gov.ly
41.208.72.213,ns1.aladel.gov.ly
41.208.72.213,pd-aladel.aladel.gov.ly
41.208.72.213,www.aladel.gov.ly
41.208.72.213,api.itcadel.gov.ly
41.208.72.213,courts.itcadel.gov.ly
41.208.72.213,cpanel.itcadel.gov.ly
41.208.72.213,cpanel.library.itcadel.gov.ly
41.208.72.213,cpanel.officiants.itcadel.gov.ly
41.208.72.213,www.pd-aladel.aladel.gov.ly
41.208.72.213,demo.itcadel.gov.ly
41.208.72.213,it.itcadel.gov.ly
41.208.72.213,itcadel.gov.ly
41.208.72.213,library.itcadel.gov.ly
41.208.72.213,mail.notary.itcadel.gov.ly
41.208.72.213,mail.officiants.itcadel.gov.ly
41.208.72.213,aladel.gov.ly
41.208.72.213,notary.itcadel.gov.ly
41.208.72.213,officiants.itcadel.gov.ly
41.208.72.213,sjc.itcadel.gov.ly
41.208.72.213,team.itcadel.gov.ly
41.208.72.213,webdisk.itcadel.gov.ly
41.208.72.213,test.itcadel.gov.ly
41.208.72.213,webmail.notary.itcadel.gov.ly
41.208.72.213,webmail.officiants.itcadel.gov.ly
41.208.72.213,www.api.itcadel.gov.ly
41.208.72.213,www.demo.itcadel.gov.ly
41.208.72.213,www.it.itcadel.gov.ly
41.208.72.213,www.itcadel.gov.ly
41.208.72.213,www.notary.itcadel.gov.ly
41.208.72.213,www.officiants.itcadel.gov.ly
41.208.72.213,www.sjc.itcadel.gov.ly
41.208.72.213,www.team.itcadel.gov.ly
41.208.72.213,www.test.itcadel.gov.ly
41.208.72.213,autodiscover.log.gov.ly
41.208.72.213,cpanel.log.gov.ly
41.208.72.213,cpcalendars.log.gov.ly
41.208.72.213,cpcontacts.log.gov.ly
41.208.72.213,log.gov.ly
41.208.72.213,webmail.log.gov.ly
41.208.72.213,webdisk.log.gov.ly
41.208.72.233,cpanel.caa.gov.ly
41.208.72.233,mail.caa.gov.ly
41.208.72.233,caa.gov.ly
41.208.72.233,webmail.caa.gov.ly
41.208.72.233,www.caa.gov.ly
41.208.72.237,cpanel.npdc.gov.ly
41.208.72.237,mail.npdc.gov.ly
41.208.72.237,npdc.gov.ly
41.208.72.237,www.npdc.gov.ly
41.208.72.237,webmail.npdc.gov.ly
41.208.73.16,rl.ncdc.gov.ly
41.208.73.16,www.rl.ncdc.gov.ly
41.208.73.16,www.rl.ncdc.gov.ly
41.208.73.16,rl.ncdc.gov.ly
41.208.73.16,www.rl.ncdc.gov.ly
41.208.73.25,me.eidc.gov.ly
41.208.73.25,td.eidc.gov.ly
41.208.73.25,www.me.eidc.gov.ly
41.208.73.25,me.eidc.gov.ly
41.208.73.25,td.eidc.gov.ly
41.208.73.25,www.me.eidc.gov.ly
41.208.73.25,me.eidc.gov.ly
41.208.73.25,td.eidc.gov.ly
41.208.73.25,www.me.eidc.gov.ly
41.208.73.26,betaodp.eidc.gov.ly
41.208.73.26,import.eidc.gov.ly
41.208.73.26,sme.eidc.gov.ly
41.208.73.26,smem.eidc.gov.ly
41.208.73.26,betaodp.eidc.gov.ly
41.208.73.26,import.eidc.gov.ly
41.208.73.26,sme.eidc.gov.ly
41.208.73.26,smem.eidc.gov.ly
41.208.73.26,betaodp.eidc.gov.ly
41.208.73.26,import.eidc.gov.ly
41.208.73.26,sme.eidc.gov.ly
41.208.73.26,smem.eidc.gov.ly
41.208.73.27,cr.eidc.gov.ly
41.208.73.27,www.cr.eidc.gov.ly
41.208.73.27,cr.eidc.gov.ly
41.208.73.27,www.cr.eidc.gov.ly
41.208.73.27,cr.eidc.gov.ly
41.208.73.27,www.cr.eidc.gov.ly
41.208.73.28,in.eidc.gov.ly
41.208.73.28,md.eidc.gov.ly
41.208.73.28,tm.eidc.gov.ly
41.208.73.28,in.eidc.gov.ly
41.208.73.28,md.eidc.gov.ly
41.208.73.28,tm.eidc.gov.ly
41.208.73.28,md.eidc.gov.ly
41.208.73.28,in.eidc.gov.ly
41.208.73.28,tm.eidc.gov.ly
41.208.73.29,cl.eidc.gov.ly
41.208.73.29,ncc.eidc.gov.ly
41.208.73.29,www.cl.eidc.gov.ly
41.208.73.29,cl.eidc.gov.ly
41.208.73.29,ncc.eidc.gov.ly
41.208.73.29,www.cl.eidc.gov.ly
41.208.73.29,www.cl.eidc.gov.ly
41.208.73.29,cl.eidc.gov.ly
41.208.73.30,www.fs.eidc.gov.ly
41.208.73.30,fs.eidc.gov.ly
41.208.73.33,es.eidc.gov.ly
41.208.73.33,www.agency.eidc.gov.ly
41.208.73.33,www.es.eidc.gov.ly
41.208.73.33,agency.eidc.gov.ly
41.208.73.33,es.eidc.gov.ly
41.208.73.33,lss.eidc.gov.ly
41.208.73.33,agency.eidc.gov.ly
41.208.73.33,www.es.eidc.gov.ly
41.208.73.33,www.agency.eidc.gov.ly
41.208.73.33,agency.eidc.gov.ly
41.208.73.34,bc.eidc.gov.ly
41.208.73.34,fs.eidc.gov.ly
41.208.73.33,www.agency.eidc.gov.ly
41.208.73.34,www.fs.eidc.gov.ly
41.208.73.34,www.pc.eidc.gov.ly
41.208.73.34,pc.eidc.gov.ly
41.208.73.34,fs.eidc.gov.ly
41.208.73.34,pc.eidc.gov.ly
41.208.73.34,www.pc.eidc.gov.ly
41.208.73.34,www.fs.eidc.gov.ly
41.208.73.34,bc.eidc.gov.ly
41.208.73.34,fs.eidc.gov.ly
41.208.73.34,pc.eidc.gov.ly
41.208.73.34,www.fs.eidc.gov.ly
41.208.73.34,www.pc.eidc.gov.ly
41.208.73.70,emrs.nchsr.gov.ly
41.208.73.70,emrs-admin.nchsr.gov.ly
41.208.73.70,nhn-admin-v2.nchsr.gov.ly
41.208.73.70,nhn-admin.nchsr.gov.ly
41.208.73.70,nhn.nchsr.gov.ly
41.208.73.70,test-ssl.nchsr.gov.ly
41.208.73.70,emrs.nchsr.gov.ly
41.208.73.70,nhn-admin-v2.nchsr.gov.ly
41.208.73.70,nhn-admin.nchsr.gov.ly
41.208.73.70,nhn.nchsr.gov.ly
41.208.73.70,test-ssl.nchsr.gov.ly
41.208.73.70,emrs-admin.nchsr.gov.ly
41.208.73.70,emrs.nchsr.gov.ly
41.208.73.70,nhn-admin-v2.nchsr.gov.ly
41.208.73.70,nhn-admin.nchsr.gov.ly
41.208.73.70,nhn.nchsr.gov.ly
41.208.73.70,test-ssl.nchsr.gov.ly
41.208.73.77,cr.economy.gov.ly
41.208.74.10,admtech.tve.gov.ly
41.208.74.10,ashour.tve.gov.ly
41.208.74.10,cpido.tve.gov.ly
41.208.74.10,ict.tve.gov.ly
41.208.74.10,icts.tve.gov.ly
41.208.74.10,icts2019.tve.gov.ly
