ip_address,domain
87.248.174.70,vpn.customs.gov.md
87.248.174.89,apitest.customs.gov.md
87.248.174.89,customs.gov.md
87.248.174.90,api.customs.gov.md
87.248.174.90,customs.gov.md
87.248.174.115,customs.gov.md
87.248.174.126,mail.customs.gov.md
72.62.60.65,ondimp.gov.md
54.194.41.141,controlezfactura.gov.md
54.194.41.141,controlezfactura.gov.md
54.194.41.141,controlezfactura.gov.md
192.168.111.1,ecmnd.gov.md
65.108.88.4,chat.brd.gov.md
65.108.88.4,chat.brd.gov.md
91.99.170.137,e.cnas.gov.md
83.149.50.66,bridge.invest.gov.md
208.91.112.55,doc.anta.gov.md
208.91.112.55,ejoi2024.gov.md
208.91.112.55,inovatii.gov.md
91.183.61.203,ari.gov.md
212.56.197.30,at.gov.md
212.56.197.30,mci.gov.md
188.237.77.23,mail.ctif.gov.md
188.237.172.106,asv.gov.md
188.237.172.106,fito.gov.md
77.89.198.75,avls.mai.gov.md
77.89.206.163,mx2.mca.gov.md
77.89.221.35,stiri.gov.md
77.89.221.35,moldpres.gov.md
77.89.221.35,news.gov.md
77.89.221.35,stiri.gov.md
77.89.249.206,mail.mca.gov.md
77.89.249.206,mail.mca.gov.md
77.89.249.206,mx1.mca.gov.md
109.185.173.72,elearning.ansa.gov.md
109.185.173.72,web1.elearning.ansa.gov.md
64.113.50.161,gov.md
194.33.40.154,dopomoga.gov.md
217.12.113.75,old.ms.gov.md
91.206.208.17,ns1.mtic.gov.md
91.206.209.20,mail.mtic.gov.md
217.26.144.122,army.gov.md
217.26.145.215,mail.sp.gov.md
217.26.145.215,sp.gov.md
217.26.147.25,demografie.cnpd.gov.md
217.26.147.55,e.inseco.gov.md
217.26.147.55,e.inseco.gov.md
217.26.150.22,caa.gov.md
217.26.150.22,caa.gov.md
217.26.150.23,ehgeom.gov.md
217.26.150.23,pcs.gov.md
217.26.150.23,ehgeom.gov.md
217.26.150.24,ehgeom.gov.md
217.26.150.24,pcs.gov.md
217.26.150.24,locuintesociale.gov.md
