ip_address,domain
93.188.2.53,prtrportal.gov.me
10.0.12.14,wsus.mfa.gov.me
10.97.10.200,esv.gov.me
140.82.56.237,eiprevod.gov.me
192.250.229.39,mia.gov.me
192.250.229.39,mia.gov.me
192.250.229.39,mia.gov.me
104.18.2.114,biznis-admin.gov.me
104.18.2.114,biznis.gov.me
104.18.2.114,cirt.gov.me
104.18.2.114,biznis-api.gov.me
104.18.2.114,go.gov.me
104.18.2.114,gov.me
104.18.2.114,wapi.gov.me
104.18.2.114,www.gov.me
104.18.3.114,biznis-admin.gov.me
104.18.3.114,biznis-api.gov.me
104.18.3.114,cirt.gov.me
104.18.3.114,go.gov.me
104.18.3.114,biznis.gov.me
104.18.3.114,gov.me
104.18.3.114,wapi.gov.me
104.18.3.114,www.gov.me
208.91.112.55,eakademija.gov.me
37.0.69.86,mgw.mfa.gov.me
37.0.69.86,mgw.mfa.gov.me
188.114.98.234,rss.gov.me
212.52.20.20,mmg1.gov.me
188.114.99.234,rss.gov.me
104.20.23.198,cirt.gov.me
104.20.23.198,adfs.gov.me
104.20.23.198,webmail.gov.me
207.154.243.214,donacije.gov.me
207.154.243.214,donacije.gov.me
213.133.30.114,foj.gov.me
213.133.30.115,cp.foj.gov.me
213.133.30.115,osint.foj.gov.me
213.133.30.115,portal.foj.gov.me
213.133.30.115,test.foj.gov.me
213.133.30.115,info.foj.gov.me
213.133.30.115,upitnik.foj.gov.me
213.133.30.115,info.foj.gov.me
213.133.30.115,osint.foj.gov.me
213.133.30.115,test.foj.gov.me
213.133.30.115,portal.foj.gov.me
213.133.30.115,upitnik.foj.gov.me
213.133.30.115,cp.foj.gov.me
213.133.30.115,foj.gov.me
213.133.30.115,info.foj.gov.me
213.133.30.115,mail.foj.gov.me
213.133.30.115,osint.foj.gov.me
213.133.30.115,portal.foj.gov.me
213.133.30.115,upitnik.foj.gov.me
213.133.30.115,test.foj.gov.me
213.133.30.115,www.foj.gov.me
213.149.97.147,tax.gov.me
213.149.97.148,efitest.tax.gov.me
213.149.97.149,irms.tax.gov.me
213.149.97.150,sep.tax.gov.me
213.149.97.150,sep.tax.gov.me
213.149.97.150,tax.gov.me
213.149.99.67,kamere.mup.gov.me
213.149.99.74,teste.servis.mup.gov.me
213.149.99.74,teste.servis.mup.gov.me
213.149.99.74,teste.servis.mup.gov.me
213.149.99.75,e.servis.mup.gov.me
213.149.99.75,e.servis.mup.gov.me
213.149.99.75,teste.servis.mup.gov.me
213.149.99.76,ca.elk.gov.me
213.149.105.131,tax.gov.me
213.149.105.132,tax.gov.me
213.149.105.133,tax.gov.me
109.228.64.241,mailgw01.gov.me
109.228.65.241,mailgw01.gov.me
213.227.130.171,mia.gov.me
194.152.214.134,www.luckekapetanije.msp.gov.me
94.102.227.210,nics.mup.gov.me
94.102.232.35,smtp.mod.gov.me
94.102.232.35,smtp.mod.gov.me
104.22.0.104,cirt.gov.me
104.22.1.104,cirt.gov.me
185.119.89.150,konkursimkm.gov.me
185.119.89.150,www.konkursimkm.gov.me
185.119.89.150,konkursimkm.gov.me
185.119.89.150,konkursimkm.gov.me
185.119.89.150,www.konkursimkm.gov.me
185.132.160.10,mailgw01.gov.me
185.132.160.10,mailgw01.gov.me
185.132.160.12,3r-api-epa.gov.me
