ip_address,domain
43.204.76.195,api.diary.gov.mg
43.204.76.195,diary.gov.mg
43.204.76.195,api.diary.gov.mg
43.204.76.195,diary.gov.mg
43.204.76.195,api.diary.gov.mg
43.204.76.195,diary.gov.mg
43.205.144.189,config.preprod.siecm.gov.mg
43.205.144.189,auth.preprod.siecm.gov.mg
43.205.144.189,countryconfig.preprod.siecm.gov.mg
43.205.144.189,gateway.preprod.siecm.gov.mg
43.205.144.189,kibana.preprod.siecm.gov.mg
43.205.144.189,login.preprod.siecm.gov.mg
43.205.144.189,minio.preprod.siecm.gov.mg
43.205.144.189,openhim-api.preprod.siecm.gov.mg
43.205.144.189,openhim.preprod.siecm.gov.mg
43.205.144.189,preprod.siecm.gov.mg
43.205.144.189,register.preprod.siecm.gov.mg
43.205.144.189,minio-console.preprod.siecm.gov.mg
43.205.144.189,webhooks.preprod.siecm.gov.mg
43.205.144.189,ui-kit.preprod.siecm.gov.mg
35.154.7.248,stg-api.diary.gov.mg
35.154.7.248,stg.diary.gov.mg
35.154.7.248,stg-api.diary.gov.mg
35.154.7.248,stg.diary.gov.mg
35.154.7.248,stg-api.diary.gov.mg
35.154.7.248,stg-bo.diary.gov.mg
35.154.7.248,stg.diary.gov.mg
35.154.241.137,iam.gov.mg
35.154.241.137,sso.gov.mg
41.188.13.123,mef.gov.mg
41.188.13.123,central.mfb.gov.mg
41.188.13.123,central.mfb.gov.mg
41.188.13.123,mef.gov.mg
41.188.13.123,mef.gov.mg
41.188.13.123,www.mef.gov.mg
41.188.13.123,central.mef.gov.mg
41.188.13.123,central.mefb.gov.mg
41.188.13.123,www.mefb.gov.mg
41.188.13.123,mefb.gov.mg
41.188.13.123,central.mfb.gov.mg
41.188.13.123,mfb.gov.mg
41.188.13.123,www.mfb.gov.mg
41.188.17.75,education.gov.mg
41.188.17.75,www.education.gov.mg
41.188.17.75,education.gov.mg
41.188.17.75,www.education.gov.mg
41.188.22.149,cloud.metfp.gov.mg
41.188.25.177,smail.mtpm.gov.mg
41.188.25.178,mail.primature.gov.mg
41.188.25.180,defenses.gov.mg
41.188.25.180,cco-covid19.gov.mg
