ip_address,domain
43.132.205.118,mail.sbd.sme.ub.gov.mn
43.228.128.197,mail.nema.gov.mn
43.228.129.91,estandard.gov.mn
43.228.129.91,old.estandard.gov.mn
43.228.129.151,app.mmhi.gov.mn
43.228.129.160,e-document.gov.mn
43.228.129.160,e-document.gov.mn
43.228.130.186,edc.energy.gov.mn
43.228.130.186,eoffice.edc.energy.gov.mn
43.228.131.90,urdun.cancer-center.gov.mn
43.228.131.90,urdun.cancer-center.gov.mn
43.231.112.25,stf.gov.mn
43.231.112.42,court.khs.gov.mn
43.231.112.42,dz.om.gov.mn
43.231.112.75,darkhan.vet.gov.mn
43.231.112.75,darkhan.vet.gov.mn
43.231.112.75,darkhan.vet.gov.mn
43.231.112.93,court.khs.gov.mn
43.231.112.120,admincourt.gov.mn
43.231.112.120,new.admincourt.gov.mn
43.231.112.120,chingeltei.gov.mn
43.231.112.120,new1.admincourt.gov.mn
43.231.112.120,new.admincourt.gov.mn
43.231.112.120,admincourt.gov.mn
43.231.112.120,new1.admincourt.gov.mn
43.231.112.120,admincourt.gov.mn
43.231.112.120,chingeltei.gov.mn
43.231.112.196,digital.mrtd.gov.mn
43.231.112.196,www.digital.mrtd.gov.mn
43.231.113.116,analytic.ub-engineering.gov.mn
43.231.113.116,mapserver.ub-engineering.gov.mn
43.231.113.116,ub-engineering.gov.mn
43.231.113.116,analytic.ub-engineering.gov.mn
43.231.113.116,mapserver.ub-engineering.gov.mn
43.231.113.116,analytic.ub-engineering.gov.mn
43.231.113.116,ub-engineering.gov.mn
43.231.113.134,110.mojha.gov.mn
43.231.113.156,gobigurvansaikhan.mpa.gov.mn
43.231.113.169,gateway.omnogovi.gov.mn
43.231.113.170,eoffice.sainshand.do.gov.mn
43.231.113.170,70523737.sainshand.do.gov.mn
43.231.113.170,70520003.dornogovi.gov.mn
43.231.113.170,eoffice.dornogovi.gov.mn
43.231.113.171,developer.omnogovi.gov.mn
43.231.113.174,erp.omnogovi.gov.mn
43.231.113.207,st.omnogovi.gov.mn
43.231.113.221,alerts.omnogovi.gov.mn
43.231.113.221,app.omnogovi.gov.mn
43.231.113.221,chat.omnogovi.gov.mn
43.231.113.221,dashboard.omnogovi.gov.mn
43.231.113.221,erp.omnogovi.gov.mn
43.231.113.221,moments.omnogovi.gov.mn
43.231.113.221,sock.omnogovi.gov.mn
43.231.113.221,section.omnogovi.gov.mn
43.231.113.221,st.omnogovi.gov.mn
43.231.114.108,ebook.mpa.gov.mn
43.231.114.108,etest.mpa.gov.mn
43.231.114.108,mett.mpa.gov.mn
43.231.114.108,www.ebook.mpa.gov.mn
43.231.114.108,www.etest.mpa.gov.mn
43.231.114.108,travel.gov.mn
43.231.114.108,www.travel.gov.mn
43.231.114.109,eoffice.mpa.gov.mn
43.231.114.240,roadestimator.rtdc.gov.mn
43.231.114.240,roadestimator.rtdc.gov.mn
43.231.114.240,roadestimator.rtdc.gov.mn
43.231.115.116,103.ub.gov.mn
190.92.157.110,mail.mongoliatradeportal.gov.mn
190.92.157.110,mongoliatradeportal.gov.mn
43.242.242.107,coop.mofa.gov.mn
190.92.174.49,ohs.gov.mn
143.198.94.5,court.khs.gov.mn
143.198.94.5,court.khs.gov.mn
143.198.94.5,court.khs.gov.mn
143.198.94.5,www.court.khs.gov.mn
23.32.38.139,mail.ndaatgal.za.gov.mn
184.84.165.253,mail.nextcloud.datacenter.gov.mn
23.48.172.124,www.hyanalt.pcsp.gov.mn
108.167.141.134,admin.ubbirj.ub.gov.mn
108.167.141.134,job.ubbirj.ub.gov.mn
108.167.141.134,www.job.ubbirj.ub.gov.mn
85.187.128.34,autodiscover.learning.rdc.gov.mn
85.187.128.34,learning.rdc.gov.mn
85.187.128.34,mail.learning.rdc.gov.mn
85.187.128.34,webmail.learning.rdc.gov.mn
127.215.0.2,jargaltkhaan.khe.gov.mn
160.22.211.147,api.road.ub.gov.mn
160.22.211.154,ubppp.gov.mn
160.22.211.147,new.road.ub.gov.mn
160.22.211.157,apimapping.transport.ub.gov.mn
160.22.211.157,mapping.transport.ub.gov.mn
160.22.211.172,bi.ub-engineering.gov.mn
160.22.211.172,etl.ub-engineering.gov.mn
160.22.211.173,ub-engineering.gov.mn
23.95.37.28,admin.en.sidia.ub.gov.mn
23.95.37.28,11horoo.chd.gov.mn
23.95.37.28,12horoo.chd.gov.mn
23.95.37.28,10horoo.chd.gov.mn
23.95.37.28,13horoo.chd.gov.mn
23.95.37.28,14horoo.chd.gov.mn
23.95.37.28,15horoo.chd.gov.mn
23.95.37.28,16horoo.chd.gov.mn
23.95.37.28,17horoo.chd.gov.mn
23.95.37.28,18horoo.chd.gov.mn
23.95.37.28,19horoo.chd.gov.mn
23.95.37.28,1horoo.chd.gov.mn
23.95.37.28,2horoo.chd.gov.mn
23.95.37.28,3horoo.chd.gov.mn
23.95.37.28,5horoo.chd.gov.mn
23.95.37.28,6horoo.chd.gov.mn
23.95.37.28,4horoo.chd.gov.mn
23.95.37.28,7horoo.chd.gov.mn
23.95.37.28,9horoo.chd.gov.mn
23.95.37.28,8horoo.chd.gov.mn
23.95.37.28,admin.en.sidia.ub.gov.mn
23.95.37.28,admin.en.sidia.ub.gov.mn
23.95.37.28,admin.new.sidia.ub.gov.mn
23.95.37.28,new.sidia.ub.gov.mn
23.95.37.28,www.new.sidia.ub.gov.mn
23.95.37.28,www.admin.new.sidia.ub.gov.mn
192.53.114.211,en.kharkhorum.gov.mn
192.53.114.211,kharkhorum.gov.mn
192.53.114.211,en.kharkhorum.gov.mn
192.53.114.211,en.kharkhorum.gov.mn
192.53.114.211,kharkhorum.gov.mn
188.114.96.3,ticket.ema.gov.mn
188.114.96.3,www.ema.gov.mn
66.181.165.201,check.burtgel.gov.mn
66.181.165.201,photo.mfa.gov.mn
66.181.165.212,app.burtgel.gov.mn
66.181.165.212,crl.burtgel.gov.mn
66.181.165.212,ocsp.burtgel.gov.mn
66.181.165.212,app.burtgel.gov.mn
66.181.165.212,crl.burtgel.gov.mn
66.181.165.212,ocsp.burtgel.gov.mn
66.181.165.212,update.burtgel.gov.mn
66.181.165.213,app.burtgel.gov.mn
66.181.165.214,opendata.burtgel.gov.mn
66.181.165.214,opendata.burtgel.gov.mn
66.181.165.213,lavlagaa.burtgel.gov.mn
66.181.168.69,vpn.gazar.gov.mn
66.181.168.73,training.egazar.gov.mn
66.181.168.75,egazar.gov.mn
66.181.168.75,egazar.gov.mn
66.181.168.75,egazar.gov.mn
66.181.168.84,geocalc.gazar.gov.mn
66.181.168.87,cors.gazar.gov.mn
66.181.168.87,gazar.gov.mn
66.181.168.87,monpos.gazar.gov.mn
66.181.168.94,license2.gazar.gov.mn
66.181.168.94,license2.gazar.gov.mn
66.181.168.95,khil.gazar.gov.mn
66.181.168.96,address.gazar.gov.mn
66.181.168.96,address.gazar.gov.mn
66.181.168.96,address.gazar.gov.mn
66.181.168.98,geo.nsdi.gov.mn
