ip_address,domain
47.76.52.232,smartedu-ali-bg.dsedj.gov.mo
47.76.52.232,smartedu-mhw.dsedj.gov.mo
47.76.52.232,smartedu-open.dsedj.gov.mo
47.76.52.232,smartedu-pass.dsedj.gov.mo
47.76.52.232,smartedu-pt-ali-bj.dsedj.gov.mo
47.76.52.232,smartedu-uat.dsedj.gov.mo
47.76.52.232,smartedu-ucenter.dsedj.gov.mo
47.76.52.232,smartedu-umanage.dsedj.gov.mo
47.76.52.232,smartedu-pt-ali-bj-re.dsedj.gov.mo
47.76.52.232,smartedu-ali-bg.dsedj.gov.mo
47.76.52.232,smartedu-cystorage.dsedj.gov.mo
47.76.52.232,smartedu-download.dsedj.gov.mo
47.76.52.232,smartedu-mediasvc.dsedj.gov.mo
47.76.52.232,smartedu-mhw.dsedj.gov.mo
47.76.52.232,smartedu-open.dsedj.gov.mo
47.76.52.232,smartedu-pass.dsedj.gov.mo
47.76.52.232,smartedu-pt-ali-bj-re.dsedj.gov.mo
47.76.52.232,smartedu-pt-ali-bj.dsedj.gov.mo
47.76.52.232,smartedu-uat.dsedj.gov.mo
47.76.52.232,smartedu-umanage.dsedj.gov.mo
47.76.52.232,smartedu-ucenter.dsedj.gov.mo
47.86.17.43,game.lum.macaotourism.gov.mo
47.86.17.43,game.lum.macaotourism.gov.mo
43.247.26.185,email3.macaotourism.gov.mo
43.247.26.183,macaotourism.gov.mo
43.247.27.4,app.gov.mo
43.247.27.4,www.info.gov.mo
43.247.27.4,www.macau.gov.mo
43.247.27.4,macau.gov.mo
43.247.27.4,portal.gov.mo
43.247.27.4,app.gov.mo
43.247.27.4,gov.mo
43.247.27.4,gov.mo
43.247.27.4,app.caspdo.gov.mo
43.247.27.4,www.info.gov.mo
43.247.27.4,m.gov.mo
43.247.27.4,gov.mo
43.247.27.4,macau.gov.mo
43.247.27.4,www.macau.gov.mo
43.247.27.4,obes-uat.gov.mo
43.247.27.4,obes.gov.mo
43.247.27.4,portal.gov.mo
43.247.27.4,vehicletax.gov.mo
43.247.27.15,www.anti-tip.gov.mo
43.247.27.15,www.dbpi.gov.mo
43.247.27.15,www.anti-tip.gov.mo
43.247.27.15,license.gov.mo
43.247.27.15,www.cfd.gov.mo
43.247.27.15,ocpes.cip.gov.mo
43.247.27.15,api02.consumer.gov.mo
43.247.27.15,www.consumer.gov.mo
43.247.27.15,www.dbpi.gov.mo
43.247.27.15,g2e.gov.mo
43.247.27.15,cs.elections.gov.mo
43.247.27.15,ga.gov.mo
43.247.27.15,license.gov.mo
43.247.27.15,mo.gov.mo
43.247.27.15,library.safp.gov.mo
43.247.27.15,cpf-application.safp.gov.mo
43.247.27.15,www.publicservice.gov.mo
43.247.27.16,recruit.dsaj.gov.mo
43.247.27.16,webapp.dsaj.gov.mo
43.247.27.16,epay.dsat.gov.mo
43.247.27.16,webform.dsat.gov.mo
43.247.27.16,iurm.fdct.gov.mo
43.247.27.16,www.dsat.gov.mo
43.247.27.16,hzmbparking.dsat.gov.mo
43.247.27.17,www.decm.gov.mo
43.247.27.16,entity-account.safp.gov.mo
43.247.27.17,www.draemp.gov.mo
43.247.27.17,openday.dsasg.gov.mo
43.247.27.17,www.gsasc.gov.mo
43.247.27.17,www.camc.gov.mo
43.247.27.17,www.gsef.gov.mo
43.247.27.17,www.gstop.gov.mo
43.247.27.17,camc.gov.mo
43.247.27.17,www.camc.gov.mo
43.247.27.17,www.decm.gov.mo
43.247.27.17,decm.gov.mo
43.247.27.17,www.decm.gov.mo
43.247.27.17,www.draemp.gov.mo
43.247.27.17,app.consumer.gov.mo
43.247.27.17,reg.fdc.gov.mo
43.247.27.17,www.dsasg.gov.mo
43.247.27.17,openday.dsasg.gov.mo
43.247.27.17,www.fdc.gov.mo
43.247.27.17,sub.fdc.gov.mo
43.247.27.17,www.gsef.gov.mo
43.247.27.17,www.gsasc.gov.mo
43.247.27.18,www.ccrc.gov.mo
