ip_address,domain
216.146.39.125,giu.gov.ms
216.146.39.125,ocm.gov.ms
208.90.112.3,mrditespa.gov.ms
208.90.112.3,mrditespa.gov.ms
208.90.112.10,gmexmb1.gov.ms
208.90.112.11,gmexs4.gov.ms
208.90.112.12,gmexs5.gov.ms
208.90.112.10,mail.gov.ms
208.90.112.13,cas.gov.ms
208.90.112.13,autodiscover.gov.ms
208.90.112.13,gmexmb0.gov.ms
208.90.112.13,gov.ms
208.90.112.13,autodiscover.gov.ms
208.90.112.13,gmexs3.gov.ms
208.90.112.13,cas.gov.ms
208.90.112.13,mail.gov.ms
208.90.112.13,gov.ms
208.90.112.18,landinfo.gov.ms
208.90.112.13,mail.gov.ms
208.90.112.22,pacs.gov.ms
208.90.112.64,mehcs.gov.ms
208.90.112.131,fatcaone.gov.ms
208.90.112.131,fatcaone.gov.ms
208.90.112.141,agc.gov.ms
208.90.112.141,mcrs.gov.ms
208.90.112.141,statistics.gov.ms
208.90.112.141,agc.gov.ms
208.90.112.141,audit.gov.ms
208.90.112.141,dmca.gov.ms
208.90.112.141,finance.gov.ms
208.90.112.141,gmweb1.gov.ms
208.90.112.141,ird.gov.ms
208.90.112.141,labour.gov.ms
208.90.112.141,mcrs.gov.ms
208.90.112.141,moh.gov.ms
208.90.112.141,odg.gov.ms
208.90.112.143,tenders.gov.ms
208.90.112.141,statistics.gov.ms
208.90.112.143,gmweb4.gov.ms
208.90.112.143,irdlevy.gov.ms
208.90.112.143,policies.gov.ms
208.90.112.143,tenders.gov.ms
208.90.112.143,www.gov.ms
208.90.112.143,vaccination.gov.ms
208.90.112.144,elections.gov.ms
208.90.112.144,irdlevy.gov.ms
208.90.112.144,odg.gov.ms
208.90.112.144,tenders.gov.ms
208.90.112.144,www.gov.ms
208.90.112.144,vaccination.gov.ms
208.90.112.144,gmweb4.gov.ms
208.90.112.144,irdlevy.gov.ms
208.90.112.144,tenders.gov.ms
208.90.112.144,policies.gov.ms
208.90.112.144,www.gov.ms
208.90.112.144,vaccination.gov.ms
208.90.112.150,elections.gov.ms
208.90.112.150,invest.gov.ms
208.90.112.150,irdlevy.gov.ms
208.90.112.150,elections.gov.ms
208.90.112.150,vaccination.gov.ms
208.90.112.150,gmweb4.gov.ms
208.90.112.150,invest.gov.ms
208.90.112.150,policies.gov.ms
208.90.112.150,irdlevy.gov.ms
208.90.112.150,tenders.gov.ms
208.90.112.151,elections.gov.ms
208.90.112.150,www.gov.ms
208.90.112.170,mysurvey.gov.ms
208.90.112.170,mysurvey.gov.ms
208.90.112.205,asycuda.gov.ms
208.90.112.242,fisheries-api.gov.ms
208.90.112.243,gisdataportal.gov.ms
208.90.113.104,customs.gov.ms
208.90.113.109,ls.gov.ms
208.90.112.244,webgis.gov.ms
208.90.113.116,zjb.gov.ms
208.90.113.116,admin.gov.ms
208.90.113.113,psru.gov.ms
208.90.113.120,jobs.gov.ms
208.90.113.118,devunit.gov.ms
208.90.112.150,vaccination.gov.ms
208.90.113.122,malhe.gov.ms
208.90.113.125,police.gov.ms
208.90.113.127,constitution.gov.ms
208.90.113.128,mcwl.gov.ms
208.90.113.141,ppu.gov.ms
208.90.113.205,gomlync01.gov.ms
208.90.113.138,ppd.gov.ms
208.90.113.222,gmweb4.gov.ms
208.90.113.222,irdlevy.gov.ms
208.90.113.222,policies.gov.ms
208.90.113.222,tenders.gov.ms
208.90.113.222,vaccination.gov.ms
208.90.114.41,oag.gov.ms
208.90.113.222,www.gov.ms
208.90.115.243,mrditespa.gov.ms
76.76.21.21,invest.gov.ms
76.76.21.21,travelmontserrat.gov.ms
76.76.21.21,www.travelmontserrat.gov.ms
76.76.21.21,invest.gov.ms
76.76.21.21,travelmontserrat.gov.ms
76.76.21.21,www.travelmontserrat.gov.ms
76.76.21.21,travelmontserrat.gov.ms
76.76.21.21,www.travelmontserrat.gov.ms
63.175.159.177,travelmsrbackend.gov.ms
63.175.159.177,travelmsrbackend.gov.ms
69.57.250.54,mail.gov.ms
74.220.215.119,prime.gov.ms
74.220.215.119,prime.gov.ms
74.220.215.119,prime.gov.ms
