ip_address,domain
2a02:4780:8:1197:0:2980:8f35:3,opengov.gov.mt
2a02:4780:8:1197:0:2980:8f35:3,www.opengov.gov.mt
143.42.23.69,cpcalendars.sustainabledevelopment.gov.mt
143.42.23.69,cpcontacts.sustainabledevelopment.gov.mt
143.42.23.69,cpanel.sustainabledevelopment.gov.mt
143.42.23.69,webdisk.sustainabledevelopment.gov.mt
143.42.23.69,sustainabledevelopment.gov.mt
143.42.23.69,webmail.sustainabledevelopment.gov.mt
143.42.23.69,whm.sustainabledevelopment.gov.mt
143.42.23.69,sustainabledevelopment.gov.mt
143.42.23.69,cpanel.sustainabledevelopment.gov.mt
143.42.23.69,cpcontacts.sustainabledevelopment.gov.mt
143.42.23.69,cpcalendars.sustainabledevelopment.gov.mt
143.42.23.69,sustainabledevelopment.gov.mt
143.42.23.69,webdisk.sustainabledevelopment.gov.mt
143.42.23.69,whm.sustainabledevelopment.gov.mt
143.42.23.69,webmail.sustainabledevelopment.gov.mt
141.193.213.10,www.adoptapet.gov.mt
141.193.213.10,adoptapet.gov.mt
141.193.213.10,www.adoptapet.gov.mt
141.193.213.10,adoptapet.gov.mt
141.193.213.10,www.adoptapet.gov.mt
34.76.71.57,kalendarjukulturali.gov.mt
141.193.213.11,adoptapet.gov.mt
141.193.213.11,www.adoptapet.gov.mt
141.193.213.11,www.adoptapet.gov.mt
141.193.213.11,adoptapet.gov.mt
141.193.213.11,www.adoptapet.gov.mt
108.142.6.145,de.eidasmw.gov.mt
108.142.6.145,livedemosp.gov.mt
108.142.6.145,livemsdemonode.gov.mt
108.142.6.145,mteidasnode.gov.mt
108.142.6.145,stgdemonode.gov.mt
108.142.6.145,stgmteidasnode.gov.mt
108.142.6.145,de.eidasmw.gov.mt
108.142.6.145,de.eidasmw.gov.mt
108.142.6.145,livedemosp.gov.mt
108.142.6.145,stgmteidasnode.gov.mt
108.142.174.71,mgozwirja.gov.mt
108.142.174.71,mgozwirja.gov.mt
108.142.174.71,www.mgozwirja.gov.mt
108.143.56.115,billing.cloud.gov.mt
108.157.229.6,credentials.education.gov.mt
108.157.229.33,credentials.education.gov.mt
108.157.229.48,credentials.education.gov.mt
108.157.229.118,credentials.education.gov.mt
108.157.238.51,certificates.education.gov.mt
108.157.238.58,certificates.education.gov.mt
108.157.238.69,certificates.education.gov.mt
108.157.238.115,certificates.education.gov.mt
85.119.120.20,schedules.mma.gov.mt
85.119.122.107,inventory.maltalibraries.gov.mt
85.119.122.124,santalucija.gov.mt
85.119.122.124,santalucija.gov.mt
85.119.122.124,santalucija.gov.mt
193.110.155.30,les.mail2.gov.mt
193.110.155.32,les.gov.mt
193.110.155.32,les.gov.mt
193.110.155.32,www.les.gov.mt
193.110.155.35,les.mail.gov.mt
193.110.155.65,www.les.gov.mt
193.110.155.66,eors.gov.mt
193.110.155.65,www.les.gov.mt
23.55.56.72,secondaryhealthcarebeta.gov.mt
35.214.155.49,euroguidance.gov.mt
35.214.155.49,euroguidance.gov.mt
35.214.155.49,euroguidance.gov.mt
35.214.167.248,komunita.gov.mt
35.214.167.248,komunita.gov.mt
35.214.186.243,staging3.nomad.residencymalta.gov.mt
35.214.210.3,www.ghajn.gov.mt
35.214.241.20,savingourblue.gov.mt
35.214.241.20,savingourblue.gov.mt
35.214.241.20,www.savingourblue.gov.mt
35.214.242.117,energywateragency.gov.mt
35.214.242.117,www.energywateragency.gov.mt
35.214.242.117,energywateragency.gov.mt
35.214.242.117,www.energywateragency.gov.mt
88.99.161.74,www.vca.gov.mt
88.99.161.74,vca.gov.mt
88.99.161.74,www.vca.gov.mt
88.99.161.74,vca.gov.mt
88.99.161.74,www.vca.gov.mt
88.99.161.118,staging4.nomad.residencymalta.gov.mt
88.99.161.118,startup.residencymalta.gov.mt
188.64.189.65,fontana.gov.mt
188.64.189.65,www.fontana.gov.mt
84.241.175.238,tmstudio.transport.gov.mt
84.241.175.238,transport.gov.mt
84.241.175.238,www.transport.gov.mt
84.241.175.238,tmstudio.transport.gov.mt
84.241.175.238,transport.gov.mt
84.241.175.238,www.transport.gov.mt
23.97.214.154,mellieha.gov.mt
23.97.214.154,www.mellieha.gov.mt
23.100.0.196,inline.gov.mt
23.100.0.196,certauth.inlinefs.gov.mt
23.100.0.196,enterpriseregistration.inlinefs.gov.mt
23.100.0.196,inlinefs.gov.mt
23.100.0.196,inlinereporting.gov.mt
23.100.12.209,billing.cloud.gov.mt
23.100.12.209,www.billing.cloud.gov.mt
34.149.52.243,certificates-maltashipregistry.gov.mt
34.149.52.243,certificates-maltashipregistry.gov.mt
160.153.137.170,pembroke.gov.mt
54.72.177.98,lifelonglearningcourses.gov.mt
54.77.151.107,lifelonglearningcourses.gov.mt
116.202.111.57,sapport.gov.mt
116.202.111.57,sapport.gov.mt
45.77.67.130,careandcure.gov.mt
45.77.67.130,www.careandcure.gov.mt
52.17.92.247,lifelonglearningcourses.gov.mt
52.17.224.194,lifelonglearningcourses.gov.mt
54.171.155.9,lifelonglearningcourses.gov.mt
54.171.155.9,mavc.gov.mt
10.58.100.36,rinamt01.eessi-acc.gov.mt
10.58.100.36,rinamt01.eessi-acc.gov.mt
10.60.8.45,metrics.stage.business.gov.mt
10.60.8.45,rabbitmq.stage.business.gov.mt
10.60.8.45,zeebe.stage.business.gov.mt
10.60.8.45,metrics.stage.business.gov.mt
10.60.8.45,rabbitmq.stage.business.gov.mt
10.60.8.45,zeebe.stage.business.gov.mt
10.60.8.45,metrics.stage.business.gov.mt
10.60.8.45,rabbitmq.stage.business.gov.mt
10.60.8.45,rabbitmq.stage.stage.business.gov.mt
10.60.8.45,zeebe.stage.business.gov.mt
10.60.252.9,internetauth.gov.mt
10.70.9.23,metrics.business.gov.mt
10.70.9.23,rabbitmq.business.gov.mt
10.70.9.23,zeebe.business.gov.mt
10.70.9.23,metrics.business.gov.mt
10.70.9.23,zeebe.business.gov.mt
10.70.9.23,metrics.business.gov.mt
10.70.9.23,rabbitmq.business.gov.mt
10.70.9.23,rabbitmq.prod.business.gov.mt
10.70.9.23,zeebe.business.gov.mt
10.76.47.101,test.ereg.gov.mt
10.90.0.6,visa.intra.gov.mt
10.97.10.200,london.foreign.gov.mt
10.97.10.200,rbfbeta.gov.mt
10.97.10.200,vpn1.secure.gov.mt
192.124.249.4,mrva.gov.mt
192.124.249.4,mrva.gov.mt
192.124.249.4,www.mrva.gov.mt
192.124.249.29,residencymalta.gov.mt
192.124.249.29,residencymalta.gov.mt
192.124.249.29,www.residencymalta.gov.mt
192.124.249.57,nomad.residencymalta.gov.mt
34.240.245.132,lifelonglearningcourses.gov.mt
34.242.20.255,lifelonglearningcourses.gov.mt
34.242.20.255,lifelonglearningcourses.gov.mt
34.246.89.23,mavc.gov.mt
34.246.89.23,lifelonglearningcourses.gov.mt
34.248.91.54,mavc.gov.mt
192.166.46.78,gemma.gov.mt
34.248.214.219,lifelonglearningcourses.gov.mt
34.250.8.109,lifelonglearningcourses.gov.mt
34.250.8.109,lifelonglearningcourses.gov.mt
34.250.87.200,lifelonglearningcourses.gov.mt
34.250.87.200,lifelonglearningcourses.gov.mt
34.250.237.170,lifelonglearningcourses.gov.mt
34.251.30.187,mavc.gov.mt
65.9.181.25,www.certificates.education.gov.mt
65.9.181.49,www.certificates.education.gov.mt
65.9.181.53,www.certificates.education.gov.mt
65.9.181.90,www.certificates.education.gov.mt
20.8.252.109,nadal2023maltabeta.gov.mt
20.8.252.109,primministrubeta.gov.mt
20.16.77.70,id-therefore.intra.gov.mt
20.16.79.187,hpdp.gov.mt
192.168.180.100,backup-con.cloud.gov.mt
192.168.180.100,backup-con.cloud.gov.mt
20.23.9.29,schoolsmtcmg.gov.mt
20.23.9.29,www.schoolsmtcmg.gov.mt
52.30.49.22,lifelonglearningcourses.gov.mt
52.30.49.22,mavc.gov.mt
52.30.107.126,ebuild.bicc.gov.mt
20.31.70.148,admin.consularplus-test.gov.mt
20.31.70.148,api.consularplus-test.gov.mt
20.31.70.148,consularplus-test.gov.mt
20.31.70.148,identity.consularplus-test.gov.mt
20.31.70.148,admin.consularplus-test.gov.mt
20.31.70.148,api.consularplus-test.gov.mt
20.31.70.148,consularplus-test.gov.mt
20.31.70.148,www.consularplus-test.gov.mt
20.31.70.148,identity.consularplus-test.gov.mt
20.31.70.148,www.consularplus-test.gov.mt
20.31.97.56,secure.eid.gov.mt
20.31.97.56,secure.eid.gov.mt
20.31.98.180,eidwsrv.gov.mt
20.31.98.180,eidwsrv.gov.mt
20.31.98.180,eidwsrv.gov.mt
20.31.99.142,admin.consularplus.gov.mt
20.31.99.142,api.consularplus.gov.mt
20.31.99.142,consularplus.gov.mt
20.31.99.142,identity.consularplus.gov.mt
20.31.99.142,www.consularplus.gov.mt
20.31.99.169,subscribedservices.gov.mt
20.31.103.246,secure.eidwsrv.gov.mt
20.54.127.147,nedss.digitalhealth.gov.mt
20.54.127.147,mitasharedwaf2.gov.mt
20.54.127.147,www.eid-sso.digitalhealth.gov.mt
20.54.127.147,fasttrack.digitalhealth.gov.mt
20.54.127.147,nedss.digitalhealth.gov.mt
20.54.127.147,services.digitalhealth.gov.mt
20.54.127.147,gov.mt
20.54.127.147,digitalskills.mdia.gov.mt
20.54.127.147,mitasharedwaf2.gov.mt
20.54.127.147,mitasharedwaf2.gov.mt
20.56.189.230,srmsmfh.gov.mt
20.56.234.58,cemalta.gov.mt
20.56.234.58,mitasharedwaf1.gov.mt
20.56.234.58,cloud.gov.mt
20.56.234.58,mita.gov.mt
20.56.234.58,mitasharedwaf1.gov.mt
20.67.101.178,family.gov.mt
20.67.101.178,www.family.gov.mt
20.71.187.192,ecards.gov.mt
20.73.16.207,mft-dakartest.gov.mt
20.73.59.36,api-visitsvp.gov.mt
20.73.59.36,console-visitsvp.gov.mt
20.73.109.117,customs.gov.mt
20.73.109.117,dev.customs.gov.mt
20.73.109.117,pgs.customs.gov.mt
20.73.109.117,test.customs.gov.mt
20.73.134.193,health.intra.gov.mt
20.73.169.195,stg.jobsplus.gov.mt
20.73.169.195,uat.jobsplus.gov.mt
20.73.169.195,jobsplus.gov.mt
20.73.169.195,dev.jobsplus.gov.mt
20.73.195.236,api.consularplus.gov.mt
20.73.195.236,consularplus.gov.mt
20.73.195.236,admin.consularplus.gov.mt
20.73.195.236,www.consularplus.gov.mt
20.73.195.236,identity.consularplus.gov.mt
20.73.195.236,api.consularplus.gov.mt
20.73.195.236,admin.consularplus.gov.mt
20.73.195.236,consularplus.gov.mt
20.73.195.236,api.consularplus.gov.mt
20.73.195.236,identity.consularplus.gov.mt
20.73.195.236,consularplus.gov.mt
20.73.195.236,www.consularplus.gov.mt
20.73.195.236,identity.consularplus.gov.mt
20.73.205.129,customs.gov.mt
20.73.205.129,dev.customs.gov.mt
20.73.205.129,pgs.customs.gov.mt
20.73.205.129,test.customs.gov.mt
20.76.88.162,mitapims.gov.mt
20.76.247.157,grafana.business.gov.mt
20.76.247.157,grafana.business.gov.mt
20.76.247.157,grafana.business.gov.mt
20.82.23.9,api.stage.business.gov.mt
20.82.23.9,secure.stage.business.gov.mt
20.82.23.9,api.stage.business.gov.mt
20.82.23.9,stage.business.gov.mt
20.82.23.9,secure.stage.business.gov.mt
20.82.23.9,stage.business.gov.mt
20.82.23.9,secure.stage.business.gov.mt
20.82.23.9,api.stage.business.gov.mt
20.82.23.9,stage.business.gov.mt
20.82.122.101,mita.gov.mt
20.86.213.173,secure.testeid.gov.mt
20.86.213.173,secure.testeid.gov.mt
192.185.26.150,cpcontacts.eltcouncil.gov.mt
192.185.26.150,cpcalendars.eltcouncil.gov.mt
192.185.26.150,mail.eltcouncil.gov.mt
192.185.26.150,eltcouncil.gov.mt
192.185.26.150,webdisk.eltcouncil.gov.mt
192.185.26.150,eltcouncil.gov.mt
192.185.26.150,cpcalendars.eltcouncil.gov.mt
192.185.26.150,cpcontacts.eltcouncil.gov.mt
192.185.26.150,eltcouncil.gov.mt
192.185.26.150,mail.eltcouncil.gov.mt
192.185.26.150,webdisk.eltcouncil.gov.mt
192.185.26.159,cpcalendars.myexams.gov.mt
192.185.26.159,cpcontacts.myexams.gov.mt
192.185.26.159,mail.myexams.gov.mt
192.185.26.159,myexams.gov.mt
192.185.26.159,webdisk.myexams.gov.mt
192.185.26.159,myexams.gov.mt
192.185.26.159,cpcalendars.myexams.gov.mt
192.185.26.159,cpcontacts.myexams.gov.mt
192.185.26.159,myexams.gov.mt
192.185.26.159,mail.myexams.gov.mt
192.185.26.159,webdisk.myexams.gov.mt
192.185.26.174,art.mikielantonvassallicollege.gov.mt
192.185.26.174,autodiscover.mikielantonvassallicollege.gov.mt
192.185.26.174,cpcontacts.mikielantonvassallicollege.gov.mt
192.185.26.174,drama-dance.mikielantonvassallicollege.gov.mt
192.185.26.174,mail.mikielantonvassallicollege.gov.mt
192.185.26.174,mikielantonvassallicollege.gov.mt
192.185.26.174,music.mikielantonvassallicollege.gov.mt
192.185.26.174,vpa.mikielantonvassallicollege.gov.mt
192.185.26.174,webdisk.mikielantonvassallicollege.gov.mt
192.185.26.174,www.art.mikielantonvassallicollege.gov.mt
192.185.26.174,www.drama-dance.mikielantonvassallicollege.gov.mt
192.185.26.174,cpcalendars.mikielantonvassallicollege.gov.mt
192.185.26.174,www.vpa.mikielantonvassallicollege.gov.mt
192.185.26.174,www.music.mikielantonvassallicollege.gov.mt
192.185.26.174,autodiscover.lifelonglearning.gov.mt
192.185.26.174,cpcalendars.lifelonglearning.gov.mt
192.185.26.174,cpcontacts.lifelonglearning.gov.mt
192.185.26.174,lifelonglearning.gov.mt
192.185.26.174,mail.lifelonglearning.gov.mt
192.185.26.174,mikielantonvassallicollege.gov.mt
192.185.26.174,webdisk.lifelonglearning.gov.mt
192.185.26.174,music.mikielantonvassallicollege.gov.mt
192.185.26.174,www.art.mikielantonvassallicollege.gov.mt
192.185.26.174,www.drama-dance.mikielantonvassallicollege.gov.mt
192.185.26.174,www.vpa.mikielantonvassallicollege.gov.mt
192.185.26.174,www.music.mikielantonvassallicollege.gov.mt
192.185.26.174,art.mikielantonvassallicollege.gov.mt
192.185.26.174,autodiscover.mikielantonvassallicollege.gov.mt
192.185.26.174,cpcontacts.mikielantonvassallicollege.gov.mt
192.185.26.174,mail.mikielantonvassallicollege.gov.mt
192.185.26.174,cpcalendars.mikielantonvassallicollege.gov.mt
192.185.26.174,mikielantonvassallicollege.gov.mt
192.185.26.174,drama-dance.mikielantonvassallicollege.gov.mt
192.185.26.174,music.mikielantonvassallicollege.gov.mt
192.185.26.174,webdisk.mikielantonvassallicollege.gov.mt
192.185.26.174,vpa.mikielantonvassallicollege.gov.mt
192.185.26.174,www.drama-dance.mikielantonvassallicollege.gov.mt
192.185.26.174,www.music.mikielantonvassallicollege.gov.mt
