ip_address,domain
41.75.127.146,mail.parliament.gov.mw
41.75.127.146,www.mail.parliament.gov.mw
41.75.127.157,daes.gov.mw
41.75.127.157,daes.gov.mw
41.75.127.178,health.gov.mw
41.75.127.178,api-vlrr.health.gov.mw
41.75.127.178,portal-vlrr.health.gov.mw
41.75.127.178,sso-vlrr.health.gov.mw
41.75.127.178,stacktrace.health.gov.mw
41.76.208.248,pmis.nlgfc.gov.mw
41.76.208.248,projects.nlgfc.gov.mw
41.76.208.248,projects.nlgfc.gov.mw
41.76.208.248,pmis.nlgfc.gov.mw
41.76.208.248,projects.nlgfc.gov.mw
41.77.11.5,mail2.immigration.gov.mw
41.77.11.5,mail2.immigration.gov.mw
41.77.11.10,metmalawi.gov.mw
41.77.11.10,www.metmalawi.gov.mw
41.77.12.17,webmail.immigration.gov.mw
41.77.13.186,pmis-backup.nlgfc.gov.mw
41.77.13.189,ubr.gov.mw
41.79.88.5,registrargeneral.gov.mw
41.79.88.5,www.registrargeneral.gov.mw
41.87.5.26,mail.registrargeneral.gov.mw
41.87.6.34,commcare-superset.health.gov.mw
41.87.6.34,commcare-sync.health.gov.mw
41.87.6.36,commcare.health.gov.mw
41.87.6.38,aesi.health.gov.mw
41.87.6.38,aesi.health.gov.mw
41.87.6.38,health.gov.mw
41.87.6.39,elearning.health.gov.mw
41.87.6.39,health.gov.mw
41.87.6.39,elearning.health.gov.mw
41.87.6.57,cce.health.gov.mw
41.87.6.57,cce.health.gov.mw
41.87.6.58,cstock.health.gov.mw
41.87.6.58,cstock.health.gov.mw
41.87.6.60,opensrp.health.gov.mw
41.87.6.59,health.gov.mw
41.87.6.60,openmrs.health.gov.mw
41.87.6.60,openmrs.health.gov.mw
41.87.6.60,opensrp.health.gov.mw
41.87.6.61,helpdesk.health.gov.mw
41.87.6.61,helpdesk.health.gov.mw
41.87.6.122,ohsp.health.gov.mw
41.87.6.122,ohsp.health.gov.mw
41.87.6.123,covid19.health.gov.mw
41.87.6.123,health.gov.mw
41.87.6.123,covid19.health.gov.mw
41.87.6.124,dhis2.health.gov.mw
41.87.6.124,health.gov.mw
41.87.7.147,health.gov.mw
41.87.7.147,zipatala.health.gov.mw
41.87.7.148,sso-vlrr.health.gov.mw
41.87.7.148,api-vlrr.health.gov.mw
41.87.7.148,api-vlrr.health.gov.mw
41.87.7.148,portal-vlrr.health.gov.mw
41.87.7.148,sso-vlrr.health.gov.mw
41.87.7.148,stacktrace.health.gov.mw
41.87.7.148,stacktrace.health.gov.mw
41.87.7.149,api.thandizo.health.gov.mw
41.87.7.149,sso.thandizo.health.gov.mw
41.87.7.152,health.gov.mw
41.87.7.153,health.gov.mw
41.87.7.155,phim.health.gov.mw
41.87.7.148,portal-vlrr.health.gov.mw
41.87.7.155,phim.health.gov.mw
143.105.113.151,cpmis.gender.gov.mw
35.168.92.137,health.gov.mw
143.244.140.76,data.uat.bems.agriculture.gov.mw
143.244.140.76,map.uat.bems.agriculture.gov.mw
143.244.140.76,uat.bems.agriculture.gov.mw
41.216.228.28,mail.rcrp.gov.mw
41.216.228.28,rcrp.gov.mw
41.216.228.28,www.rcrp.gov.mw
41.216.228.28,mail.rcrp.gov.mw
41.216.228.28,rcrp.gov.mw
41.216.228.28,www.rcrp.gov.mw
41.216.229.138,mail.metmalawi.gov.mw
41.216.229.138,mail.metmalawi.gov.mw
41.216.229.138,webmail.metmalawi.gov.mw
41.216.230.61,smtp.immigration.gov.mw
41.216.230.61,mail.immigration.gov.mw
41.216.230.61,mail.immigration.gov.mw
41.216.230.61,mail.immigration.gov.mw
41.216.230.61,smtp.immigration.gov.mw
41.216.230.61,webmail.immigration.gov.mw
41.216.230.122,metmalawi.gov.mw
41.216.230.122,www.metmalawi.gov.mw
41.217.219.15,mail.nso.gov.mw
