ip_address,domain
44.193.139.68,api.simope.nayarit.gob.mx
44.193.139.68,api.simope.nayarit.gob.mx
44.193.139.68,api.simope.nayarit.gob.mx
44.193.143.234,slp.gob.mx
34.8.98.127,arquetipo.atdt.gob.mx
34.8.98.127,www.arquetipo.atdt.gob.mx
44.195.50.27,verificacion.jalisco.gob.mx
44.195.56.224,sce.guanajuato.gob.mx
44.195.98.9,agricultura.gob.mx
44.195.98.9,atlas-abejas.agricultura.gob.mx
44.195.108.88,erp.jerez.gob.mx
44.195.108.88,mail.jerez.gob.mx
44.195.108.88,admin.jerez.gob.mx
44.195.108.88,erp.jerez.gob.mx
34.8.190.158,backend.adyt.gob.mx
34.8.190.158,curp.adyt.gob.mx
34.8.190.158,www.curp.adyt.gob.mx
34.8.190.158,curp.adyt.gob.mx
34.8.190.158,www.curp.adyt.gob.mx
34.8.190.158,backend.adyt.gob.mx
44.195.221.160,jalisco.gob.mx
44.195.229.158,oficiales.sat.gob.mx
34.8.198.169,auditoriachihuahua.gob.mx
34.9.187.243,transparencia.ahome.gob.mx
34.9.187.243,transparencia.ahome.gob.mx
43.132.205.118,mail.oicplez.gob.mx
43.132.205.118,mail.municipiosantodomingotonaltepec.gob.mx
44.196.75.93,tribunalelectronico.gob.mx
44.196.171.15,impulsamich.sedeco.michoacan.gob.mx
44.196.171.15,raiem.sedeco.michoacan.gob.mx
44.196.171.15,mejoraregulatoria.sedeco.michoacan.gob.mx
44.196.171.15,tramites.sedeco.michoacan.gob.mx
44.196.172.154,fonacot.gob.mx
44.196.177.51,fonacot.gob.mx
44.196.240.190,cloudb.sat.gob.mx
44.197.36.64,nube-catastro.nayarit.gob.mx
44.197.36.64,nube-catastro.nayarit.gob.mx
44.197.36.64,nube-catastro.nayarit.gob.mx
44.198.26.255,jalisco.gob.mx
44.198.200.246,guadalajara.gob.mx
44.198.202.54,www01.uscmm.gob.mx
44.201.252.84,crecemos.guadalupe.gob.mx
44.202.100.168,votacionesturismo.nayarit.gob.mx
44.202.119.56,michoacan.gob.mx
44.204.114.133,sefintlax.gob.mx
44.204.245.14,guanajuato.gob.mx
190.9.51.45,email.indivibc.gob.mx
190.9.51.46,email.indivibc.gob.mx
190.9.51.45,email.indivibc.gob.mx
44.205.145.73,michoacan.gob.mx
44.205.149.90,actualizate.hermosillo.gob.mx
44.205.149.90,cumplidos.hermosillo.gob.mx
44.205.149.90,cumplidos.hermosillo.gob.mx
44.205.149.90,cumplidos.hermosillo.gob.mx
44.206.15.232,riobravo.gob.mx
44.206.15.232,difriobravo.gob.mx
190.12.143.208,pagosenlinea.heroicanogales.gob.mx
190.12.143.208,pagosenlinea.heroicanogales.gob.mx
190.12.143.209,facturas.heroicanogales.gob.mx
190.12.143.210,declaracion.heroicanogales.gob.mx
190.12.143.210,declaracion.heroicanogales.gob.mx
190.12.145.49,yucatan.gob.mx
190.12.145.70,correo.yucatan.gob.mx
