ip_address,domain
34.2.131.218,kompaun.mpjl.gov.my
34.8.138.225,api-staging.skillsatscale.gov.my
34.8.138.225,api-staging.skillsatscale.gov.my
111.67.45.242,mail.mpjasin.gov.my
175.28.12.1,mail.ilpkk.gov.my
175.28.12.2,mail.ilpmrg.gov.my
175.28.12.4,mail.ilpselandar.gov.my
175.28.12.8,mail.ilpkangar.gov.my
175.28.12.8,mail.ilpkangar.gov.my
175.28.12.11,sensoweb.water.gov.my
175.28.12.27,mail.adteckmn.gov.my
175.28.12.27,mail.adteckmn.gov.my
175.28.12.28,mail.adtecmlk.gov.my
175.28.12.29,mail.ilpsdk.gov.my
175.28.12.30,mail.ilppedas.gov.my
175.28.12.31,mail.ilpkuantan.gov.my
175.28.12.31,mail.ilpkuantan.gov.my
175.28.12.33,tantalum.jmg.gov.my
175.28.12.33,tantalum.jmg.gov.my
175.28.12.34,niobium.jmg.gov.my
175.28.12.35,in1.jmg.gov.my
175.28.12.36,mail.jmg.gov.my
175.28.12.36,mail.jmg.gov.my
175.28.12.37,out.jmg.gov.my
175.28.12.37,out.jmg.gov.my
175.28.12.39,eperhilitan.wildlife.gov.my
175.28.12.39,eperhilitan.wildlife.gov.my
175.28.12.40,spamfilter.instun.gov.my
175.28.12.40,spamfilter.instun.gov.my
175.28.12.40,smtp.instun.gov.my
175.28.12.49,estatistik.dosm.gov.my
175.28.12.49,newss.statistics.gov.my
175.28.12.46,newss.stats.gov.my
175.28.12.56,eforlog.forestry.gov.my
175.28.12.53,meeting.townplan.gov.my
175.28.12.58,negerisembilan.forestry.gov.my
175.28.12.58,negerisembilan.forestry.gov.my
175.28.12.59,johor.forestry.gov.my
175.28.12.60,forecastkerian.water.gov.my
175.28.12.61,pib.water.gov.my
175.28.12.66,cloud.forestry.gov.my
175.28.12.66,ecensus.stats.gov.my
175.28.12.68,perak.etapp.gov.my
175.28.12.69,melaka.etapp.gov.my
175.28.12.71,pahang.etapp.gov.my
175.28.12.73,kedah.etapp.gov.my
175.28.12.74,penang.etapp.gov.my
175.28.12.75,johor.etapp.gov.my
175.28.12.72,wpkl.etapp.gov.my
175.28.12.77,kelantan.etapp.gov.my
175.28.12.76,terengganu.etapp.gov.my
175.28.12.79,perlis.etapp.gov.my
175.28.12.80,nsembilan.etapp.gov.my
175.28.12.84,ipcamera.skm.gov.my
175.28.12.84,ipcamera.skm.gov.my
175.28.12.94,imss.forestry.gov.my
175.28.12.95,rs.forestry.gov.my
175.28.12.94,imss.forestry.gov.my
175.28.12.96,mail.forestry.gov.my
175.28.12.98,bakau.forestry.gov.my
175.28.12.100,forfids.forestry.gov.my
175.28.12.100,forfids.forestry.gov.my
175.28.12.100,gissvr.forestry.gov.my
175.28.12.103,webmail.kwp.gov.my
175.28.12.107,bes-e.kwp.gov.my
175.28.12.107,bes-e.kwp.gov.my
175.28.12.108,ecsru.kwp.gov.my
175.28.12.112,app.kwpkb.gov.my
175.28.12.114,eprok.kwp.gov.my
175.28.12.114,eprok.kwp.gov.my
175.28.12.108,ecsru.kwp.gov.my
175.28.12.115,arif.kwp.gov.my
175.28.12.116,mx1.kwpkb.gov.my
175.28.12.117,mx2.kwpkb.gov.my
175.28.12.116,mx1.kwp.gov.my
175.28.12.120,sip.forestry.gov.my
175.28.12.117,mx2.kwp.gov.my
175.28.12.130,ns.bomba.gov.my
175.28.12.130,ns.bomba.gov.my
175.28.12.131,kenderaan.bomba.gov.my
175.28.12.132,newss.stats.gov.my
175.28.12.133,www.bomba.gov.my
175.28.12.135,webmail.bomba.gov.my
175.28.12.135,webmail.bomba.gov.my
175.28.12.136,rtmwbomba.bomba.gov.my
175.28.12.153,ketupa-ketupu.wildlife.gov.my
175.28.12.136,rtmwbomba.bomba.gov.my
175.28.12.155,mpage.skm.gov.my
175.28.12.156,wcontroller.bomba.gov.my
175.28.12.156,wcontroller.bomba.gov.my
175.28.12.164,mail.jmm.gov.my
175.28.12.163,museum.gov.my
175.28.12.167,vpn.jmm.gov.my
175.28.12.164,mail.jmm.gov.my
175.28.12.167,vpn.jmm.gov.my
175.28.12.168,vlib.stats.gov.my
175.28.12.170,trim.arkib.gov.my
175.28.12.170,trim.arkib.gov.my
175.28.12.168,vlib.stats.gov.my
175.28.12.171,spdiis.ism.gov.my
175.28.12.176,scsiku.gov.my
175.28.12.173,library.instun.gov.my
175.28.12.171,spdiis.ism.gov.my
175.28.12.190,mx.bomba.gov.my
175.28.12.193,mail.heritage.gov.my
175.28.12.194,dwaris.heritage.gov.my
175.28.12.194,dwaris.heritage.gov.my
175.28.12.206,relay.istanabudaya.gov.my
175.28.12.207,mail.istanabudaya.gov.my
175.28.12.211,webmail.kehakiman.gov.my
