ip_address,domain
34.35.8.107,www.sernapcl.gov.mz
34.35.8.107,sernapcl.gov.mz
34.35.33.114,central.srn.gov.mz
34.35.33.114,www.central.srn.gov.mz
34.35.36.197,sernapcl.gov.mz
34.35.36.197,www.sernapcl.gov.mz
34.35.38.86,srn.gov.mz
34.35.38.86,www.srn.gov.mz
34.35.39.164,utente.srn.gov.mz
34.35.39.164,www.utente.srn.gov.mz
34.35.56.218,its.sernapcl.gov.mz
34.35.64.186,beneficiarios.srn.gov.mz
34.35.64.186,www.beneficiarios.srn.gov.mz
34.35.64.186,beneficiarios.srn.gov.mz
34.35.64.186,www.beneficiarios.srn.gov.mz
34.35.71.238,beneficiarios.srn.gov.mz
34.35.71.238,www.beneficiarios.srn.gov.mz
34.35.73.125,its.sernapcl.gov.mz
34.35.116.94,its.sernapcl.gov.mz
34.35.139.144,www.avalie.edge.gov.mz
34.35.139.144,avalie.edge.gov.mz
43.204.149.88,registo.incm.gov.mz
41.76.2.3,eacacia.gov.mz
41.76.2.5,eacacia.gov.mz
41.76.149.53,mail.misau.gov.mz
41.76.149.53,mail.misau.gov.mz
41.76.149.226,mail.ufsa.gov.mz
41.77.39.82,smtp.h.inss.gov.mz
41.77.129.178,siged.inir.gov.mz
41.77.134.180,inir.gov.mz
41.94.3.2,correio.gov.mz
41.94.20.5,mail.cedsif.gov.mz
41.94.20.6,portaldocontribuinte.at.gov.mz
41.94.20.6,cedsif.gov.mz
41.94.20.6,web.cedsif.gov.mz
41.94.20.6,declaracaodebens.pgr.gov.mz
41.94.20.6,portaldecontratacaopublica.gov.mz
41.94.20.7,ns.cedsif.gov.mz
41.94.20.7,mf.gov.mz
41.94.20.7,ns.mf.gov.mz
41.94.20.8,bau.gov.mz
41.94.20.12,turn.rsig.gov.mz
41.94.20.12,webconf.rsig.gov.mz
41.94.20.8,serpub.rsig.gov.mz
41.94.20.13,visitmozambique.gov.mz
41.94.20.13,www.visitmozambique.gov.mz
41.94.20.15,embamoc-lisboa.gov.mz
41.94.20.15,branqueamentomoc.gov.mz
41.94.20.15,host.inatro.gov.mz
41.94.20.15,inatro.gov.mz
41.94.20.15,www.arc.gov.mz
41.94.20.15,arc.gov.mz
41.94.20.15,web.arc.gov.mz
41.94.20.15,host.rsig.gov.mz
41.94.20.15,gestaoactivos.gov.mz
41.94.20.15,rsig.gov.mz
41.94.20.16,bau.gov.mz
41.94.20.16,rsig.gov.mz
41.94.20.16,fikani.visitmozambique.gov.mz
41.94.20.17,assinadoravancado.gov.mz
41.94.20.17,assinadoravancado.gov.mz
41.94.20.17,web.assinadoravancado.gov.mz
41.94.20.17,web.assinadoravancado.gov.mz
41.94.20.17,assinadoravancado.gov.mz
41.94.20.17,idp.assinadoravancado.gov.mz
41.94.20.17,web.assinadoravancado.gov.mz
41.94.20.19,at.gov.mz
41.94.20.30,serpub.cedsif.gov.mz
41.94.20.19,cas-portaldocontribuinte.at.gov.mz
41.94.20.30,serpub.mf.gov.mz
41.94.20.37,ebau.gov.mz
41.94.20.52,arc.gov.mz
41.94.20.52,arc.gov.mz
41.94.20.52,gestaoactivos.gov.mz
41.94.20.52,gestaoactivos.gov.mz
41.94.20.54,cmmarracuene.gov.mz
