ip_address,domain
41.182.253.42,themisweb.mfmr.gov.na
41.182.255.36,mail.ndf.gov.na
41.182.255.36,ndf.gov.na
41.205.140.194,exc01.npc.gov.na
41.205.140.194,mail.npc.gov.na
41.205.140.194,mail.npc.gov.na
41.205.140.195,npc.gov.na
41.205.140.195,www.npc.gov.na
41.205.140.194,mail.npc.gov.na
41.205.140.195,npc.gov.na
41.205.140.195,www.npc.gov.na
41.205.140.195,www.npc.gov.na
41.205.140.195,npc.gov.na
41.205.148.74,autodiscover.mfa.gov.na
41.205.148.74,mail.mfa.gov.na
41.205.148.74,mirco.gov.na
41.205.148.74,mail.mirco.gov.na
192.142.7.74,themis.grnnet.gov.na
65.60.20.50,meft.gov.na
65.60.20.50,www.meft.gov.na
192.185.226.187,sme.mti.gov.na
197.188.230.65,mircovc.mirco.gov.na
197.188.247.170,pve.mirco.gov.na
197.188.247.170,pve.mirco.gov.na
197.188.247.170,pve.mirco.gov.na
197.188.247.171,accra.mirco.gov.na
197.188.247.171,addis.mirco.gov.na
197.188.247.171,brazzaville.mirco.gov.na
197.188.247.171,cairo.mirco.gov.na
197.188.247.171,capetown.mirco.gov.na
197.188.247.171,daressalaam.mirco.gov.na
197.188.247.171,gaborone.mirco.gov.na
197.188.247.171,geneva.mirco.gov.na
197.188.247.171,algiers.mirco.gov.na
197.188.247.171,havana.mirco.gov.na
197.188.247.171,kualalumpur.mirco.gov.na
197.188.247.171,lusaka.mirco.gov.na
197.188.247.171,menongue.mirco.gov.na
197.188.247.171,missions.mirco.gov.na
197.188.247.171,missionspdr.mirco.gov.na
197.188.247.171,moscow.mirco.gov.na
197.188.247.171,pretoria.mirco.gov.na
197.188.247.171,tokyo.mirco.gov.na
197.188.247.171,kinshasa.mirco.gov.na
197.188.247.171,vienna.mirco.gov.na
197.188.247.171,www.accra.mirco.gov.na
197.188.247.171,www.algiers.mirco.gov.na
197.188.247.171,www.brazzaville.mirco.gov.na
197.188.247.171,www.cairo.mirco.gov.na
197.188.247.171,www.capetown.mirco.gov.na
197.188.247.171,www.havana.mirco.gov.na
197.188.247.171,www.lusaka.mirco.gov.na
197.188.247.171,www.menongue.mirco.gov.na
197.188.247.171,www.vienna.mirco.gov.na
197.188.247.171,missions.mirco.gov.na
197.188.247.171,namdiaspora.gov.na
197.188.247.171,www.kualalumpur.mirco.gov.na
197.188.247.171,missionspdr.mirco.gov.na
197.188.247.171,abuja.mirco.gov.na
197.188.247.171,accra.mirco.gov.na
197.188.247.171,addis.mirco.gov.na
197.188.247.171,algiers.mirco.gov.na
197.188.247.171,beijing.mirco.gov.na
197.188.247.171,berlin.mirco.gov.na
197.188.247.171,brasilia.mirco.gov.na
197.188.247.171,brazzaville.mirco.gov.na
