ip_address,domain
2a00:1c98:1000:1033::71d0:1948,cnrcsa.nato.int
2a00:1c98:1000:1033::71d0:1948,www.cnrcsa.nato.int
114.4.168.75,nato.int
114.4.168.80,nato.int
84.14.129.150,svc1.cso.nato.int
84.14.135.3,sip.cso.nato.int
84.14.135.3,sipexternal.cso.nato.int
84.14.135.3,av.cso.nato.int
84.14.135.3,dialin.cso.nato.int
84.14.135.3,admin.cso.nato.int
84.14.135.3,edge.cso.nato.int
84.14.135.3,lyncdiscover.cso.nato.int
84.14.135.3,scheduler.cso.nato.int
84.14.135.3,meet.cso.nato.int
84.14.135.3,sip.cso.nato.int
84.14.135.3,sipexternal.cso.nato.int
84.14.135.3,visio.cso.nato.int
84.14.135.3,webconf.cso.nato.int
84.14.135.4,webconf.cso.nato.int
84.14.135.5,av.cso.nato.int
84.14.135.6,dialin.cso.nato.int
84.14.135.6,admin.cso.nato.int
84.14.135.6,av.cso.nato.int
84.14.135.6,dialin.cso.nato.int
84.14.135.6,edge.cso.nato.int
84.14.135.6,lyncdiscover.cso.nato.int
84.14.135.6,meet.cso.nato.int
84.14.135.6,scheduler.cso.nato.int
84.14.135.6,sip.cso.nato.int
84.14.135.6,visio.cso.nato.int
84.14.135.6,sipexternal.cso.nato.int
84.14.135.6,webconf.cso.nato.int
84.14.135.7,admin.cso.nato.int
84.14.135.7,scheduler.cso.nato.int
84.14.135.8,cso.nato.int
84.14.135.8,devevents.sto.nato.int
84.14.135.8,devintranet.sto.nato.int
84.14.135.8,devscienceconnect.sto.nato.int
84.14.135.8,devpublications.sto.nato.int
84.14.135.8,devstatistics.sto.nato.int
84.14.135.8,devstodrive.sto.nato.int
84.14.135.8,devwww.sto.nato.int
84.14.135.8,events.sto.nato.int
84.14.135.8,gcw.cso.nato.int
84.14.135.8,mic.cso.nato.int
84.14.135.8,mis.cso.nato.int
84.14.135.8,myquarantine.cso.nato.int
84.14.135.8,intranet.sto.nato.int
84.14.135.8,nmsg.sto.nato.int
84.14.135.8,nsv.cso.nato.int
84.14.135.8,mail.cso.nato.int
84.14.135.8,oos.cso.nato.int
84.14.135.8,oos.sto.nato.int
84.14.135.8,pubs.sto.nato.int
84.14.135.8,publications.sto.nato.int
84.14.135.8,register.sto.nato.int
84.14.135.8,review.sto.nato.int
84.14.135.8,scienceconnect.sto.nato.int
84.14.135.8,statistics.sto.nato.int
84.14.135.8,sto.nato.int
84.14.135.8,stodrive.sto.nato.int
84.14.135.8,svc1.cso.nato.int
84.14.135.8,svc1.sto.nato.int
84.14.135.8,svc2.cso.nato.int
84.14.135.8,svc2.sto.nato.int
84.14.135.8,wireless.cso.nato.int
84.14.135.8,www.cso.nato.int
84.14.135.8,www.sto.nato.int
84.14.230.148,devevents.sto.nato.int
84.14.230.148,cso.nato.int
84.14.230.148,devintranet.sto.nato.int
84.14.230.148,devpublications.sto.nato.int
84.14.230.148,devscienceconnect.sto.nato.int
84.14.230.148,devstodrive.sto.nato.int
84.14.230.148,devstatistics.sto.nato.int
84.14.230.148,events.sto.nato.int
84.14.230.148,devwww.sto.nato.int
84.14.230.148,intranet.sto.nato.int
84.14.230.148,mail.cso.nato.int
84.14.230.148,gcw.cso.nato.int
84.14.230.148,mis.cso.nato.int
84.14.230.148,mic.cso.nato.int
84.14.230.148,nmsg.sto.nato.int
84.14.230.148,myquarantine.cso.nato.int
84.14.230.148,nsv.cso.nato.int
84.14.230.148,oos.cso.nato.int
84.14.230.148,oos.sto.nato.int
84.14.230.148,publications.sto.nato.int
84.14.230.148,pubs.sto.nato.int
84.14.230.148,register.sto.nato.int
84.14.230.148,review.sto.nato.int
84.14.230.148,statistics.sto.nato.int
84.14.230.148,scienceconnect.sto.nato.int
84.14.230.148,sto.nato.int
84.14.230.148,svc1.cso.nato.int
84.14.230.148,svc1.sto.nato.int
84.14.230.148,stodrive.sto.nato.int
84.14.230.148,svc2.sto.nato.int
84.14.230.148,svc2.cso.nato.int
84.14.230.148,www.cso.nato.int
84.14.230.148,www.sto.nato.int
84.14.230.148,wireless.cso.nato.int
84.14.230.149,devstodrive.sto.nato.int
84.14.230.149,webmail.cso.nato.int
84.14.230.150,mysites.sto.nato.int
84.14.230.151,cso.nato.int
84.14.230.151,devintranet.sto.nato.int
84.14.230.151,devpublications.sto.nato.int
84.14.230.151,devevents.sto.nato.int
84.14.230.151,devscienceconnect.sto.nato.int
84.14.230.151,devstatistics.sto.nato.int
84.14.230.151,devstodrive.sto.nato.int
84.14.230.151,devwww.sto.nato.int
84.14.230.151,events.sto.nato.int
84.14.230.151,gcw.cso.nato.int
84.14.230.151,intranet.sto.nato.int
84.14.230.151,mail.cso.nato.int
84.14.230.151,mic.cso.nato.int
84.14.230.151,mis.cso.nato.int
84.14.230.151,myquarantine.cso.nato.int
84.14.230.151,nsv.cso.nato.int
84.14.230.151,oos.cso.nato.int
84.14.230.151,nmsg.sto.nato.int
84.14.230.151,oos.sto.nato.int
84.14.230.151,publications.sto.nato.int
84.14.230.151,pubs.sto.nato.int
84.14.230.151,review.sto.nato.int
84.14.230.151,scienceconnect.sto.nato.int
84.14.230.151,register.sto.nato.int
84.14.230.151,statistics.sto.nato.int
84.14.230.151,sto.nato.int
84.14.230.151,stodrive.sto.nato.int
84.14.230.151,svc1.cso.nato.int
84.14.230.151,svc1.sto.nato.int
84.14.230.151,svc2.cso.nato.int
84.14.230.151,svc2.sto.nato.int
84.14.230.151,wireless.cso.nato.int
84.14.230.151,www.cso.nato.int
84.14.230.151,www.sto.nato.int
84.14.230.152,cso.nato.int
84.14.230.152,devevents.sto.nato.int
84.14.230.152,devintranet.sto.nato.int
84.14.230.152,devpublications.sto.nato.int
84.14.230.152,devscienceconnect.sto.nato.int
84.14.230.152,devstatistics.sto.nato.int
84.14.230.152,devstodrive.sto.nato.int
84.14.230.152,devwww.sto.nato.int
84.14.230.152,events.sto.nato.int
84.14.230.152,mail.cso.nato.int
84.14.230.152,mic.cso.nato.int
84.14.230.152,gcw.cso.nato.int
84.14.230.152,mis.cso.nato.int
84.14.230.152,nsv.cso.nato.int
84.14.230.152,myquarantine.cso.nato.int
84.14.230.152,nmsg.sto.nato.int
84.14.230.152,intranet.sto.nato.int
84.14.230.152,oos.sto.nato.int
84.14.230.152,oos.cso.nato.int
84.14.230.152,register.sto.nato.int
84.14.230.152,review.sto.nato.int
84.14.230.152,publications.sto.nato.int
84.14.230.152,pubs.sto.nato.int
84.14.230.152,scienceconnect.sto.nato.int
84.14.230.152,statistics.sto.nato.int
84.14.230.152,sto.nato.int
84.14.230.152,stodrive.sto.nato.int
84.14.230.152,svc1.cso.nato.int
84.14.230.152,svc1.sto.nato.int
84.14.230.152,svc2.cso.nato.int
84.14.230.152,svc2.sto.nato.int
84.14.230.152,wireless.cso.nato.int
84.14.230.152,www.cso.nato.int
84.14.230.152,www.sto.nato.int
84.14.230.153,devevents.sto.nato.int
84.14.230.153,cso.nato.int
84.14.230.153,devintranet.sto.nato.int
84.14.230.153,devpublications.sto.nato.int
84.14.230.153,devscienceconnect.sto.nato.int
84.14.230.153,devstatistics.sto.nato.int
84.14.230.153,devstodrive.sto.nato.int
84.14.230.153,devwww.sto.nato.int
84.14.230.153,events.sto.nato.int
84.14.230.153,gcw.cso.nato.int
84.14.230.153,intranet.sto.nato.int
84.14.230.153,mail.cso.nato.int
84.14.230.153,mic.cso.nato.int
84.14.230.153,mis.cso.nato.int
84.14.230.153,myquarantine.cso.nato.int
84.14.230.153,nsv.cso.nato.int
84.14.230.153,nmsg.sto.nato.int
84.14.230.153,oos.sto.nato.int
84.14.230.153,oos.cso.nato.int
84.14.230.153,pubs.sto.nato.int
84.14.230.153,publications.sto.nato.int
84.14.230.153,review.sto.nato.int
84.14.230.153,register.sto.nato.int
84.14.230.153,scienceconnect.sto.nato.int
84.14.230.153,statistics.sto.nato.int
84.14.230.153,sto.nato.int
84.14.230.153,stodrive.sto.nato.int
84.14.230.153,svc1.sto.nato.int
84.14.230.153,svc2.cso.nato.int
84.14.230.153,svc2.sto.nato.int
84.14.230.153,wireless.cso.nato.int
84.14.230.153,www.cso.nato.int
84.14.230.153,www.sto.nato.int
84.14.230.153,svc1.cso.nato.int
84.14.230.154,cso.nato.int
84.14.230.154,devintranet.sto.nato.int
84.14.230.154,devevents.sto.nato.int
84.14.230.154,devscienceconnect.sto.nato.int
84.14.230.154,devpublications.sto.nato.int
84.14.230.154,devstatistics.sto.nato.int
84.14.230.154,devstodrive.sto.nato.int
84.14.230.154,gcw.cso.nato.int
84.14.230.154,events.sto.nato.int
84.14.230.154,intranet.sto.nato.int
84.14.230.154,mail.cso.nato.int
84.14.230.154,mic.cso.nato.int
84.14.230.154,devwww.sto.nato.int
84.14.230.154,myquarantine.cso.nato.int
84.14.230.154,nmsg.sto.nato.int
84.14.230.154,mis.cso.nato.int
84.14.230.154,oos.cso.nato.int
84.14.230.154,publications.sto.nato.int
84.14.230.154,oos.sto.nato.int
84.14.230.154,pubs.sto.nato.int
84.14.230.154,register.sto.nato.int
