ip_address,domain
192.0.78.157,norfolkislandhealth.gov.nf
192.0.78.157,norfolkislandhealth.gov.nf
192.0.78.248,norfolkislandhealth.gov.nf
192.0.78.248,norfolkislandhealth.gov.nf
52.62.19.50,norfolkisland.gov.nf
218.185.224.223,norfolktelecom.gov.nf
198.49.23.144,norfolkislandliquorbond.gov.nf
198.49.23.144,norfolkislandliquorbond.gov.nf
198.49.23.144,norfolkislandliquorbond.gov.nf
198.49.23.145,norfolkislandliquorbond.gov.nf
198.49.23.145,norfolkislandliquorbond.gov.nf
198.49.23.145,norfolkislandliquorbond.gov.nf
198.185.159.144,norfolkislandliquorbond.gov.nf
198.185.159.144,norfolkislandliquorbond.gov.nf
198.185.159.144,norfolkislandliquorbond.gov.nf
198.185.159.145,norfolkislandliquorbond.gov.nf
198.185.159.145,norfolkislandliquorbond.gov.nf
198.185.159.145,norfolkislandliquorbond.gov.nf
203.142.221.55,sbc.nirc.gov.nf
203.142.221.103,4gservices.gov.nf
203.142.221.103,www.ntselfcare.gov.nf
203.142.221.103,4gservices.gov.nf
203.142.221.103,www.scapp.gov.nf
