ip_address,domain
44.192.23.64,app.mobse.ni.gov.ng
35.71.136.46,nelf.gov.ng
35.71.136.46,nelf.gov.ng
35.71.136.46,nelf.gov.ng
34.9.49.9,commerce.kn.gov.ng
34.9.49.9,commerce.kn.gov.ng
34.16.68.248,conf.irs.en.gov.ng
34.16.68.248,conf.irs.en.gov.ng
43.132.205.118,mail.raamp.be.gov.ng
34.16.197.151,nccc.npf.gov.ng
34.16.197.151,incb.npf.gov.ng
34.16.197.151,nccc.npf.gov.ng
34.16.197.151,incb.npf.gov.ng
84.8.145.198,docs.osag.kdsg.gov.ng
84.8.145.198,docs.osag.kdsg.gov.ng
44.199.145.241,api-fera-lms-prod.birs.be.gov.ng
44.199.145.241,api-fera-lms-prod.birs.be.gov.ng
44.205.72.215,pis-api.engis.en.gov.ng
44.205.72.215,pis-portal.engis.en.gov.ng
44.205.72.215,www.pis-api.engis.en.gov.ng
44.205.72.215,www.pis-portal.engis.en.gov.ng
44.205.72.215,pis-portal.engis.en.gov.ng
44.205.72.215,pis-api.engis.en.gov.ng
44.205.72.215,www.pis-portal.engis.en.gov.ng
44.205.72.215,www.pis-api.engis.en.gov.ng
44.207.45.96,nglmis.nphcda.gov.ng
141.95.42.122,laboratory.son.gov.ng
141.95.42.122,sonhmetal.son.gov.ng
141.95.42.126,assetmgt.son.gov.ng
34.28.46.17,irs.en.gov.ng
34.28.46.17,irs.en.gov.ng
34.28.46.17,irs.en.gov.ng
141.95.120.221,investbenue.be.gov.ng
84.16.253.0,faacpmsc.rmafc.gov.ng
84.16.253.0,rmafc.gov.ng
84.16.253.0,www.faacpmsc.rmafc.gov.ng
84.16.253.0,faacpmsc.rmafc.gov.ng
84.16.253.0,rmafc.gov.ng
84.16.253.0,www.faacpmsc.rmafc.gov.ng
84.16.253.0,www.official.rmafc.gov.ng
44.210.193.249,educator.elearn.nmcn.gov.ng
44.210.193.249,educator.elearn.nmcn.gov.ng
141.98.118.191,liteapi.enaira.gov.ng
141.98.118.191,liteapi.enaira.gov.ng
35.85.145.252,mail.imostate.gov.ng
44.215.23.23,api.nersp.gov.ng
34.35.69.228,encoder.enugustate.gov.ng
34.35.69.228,encoder.enugustate.gov.ng
34.35.78.178,encoder.enugustate.gov.ng
34.36.125.154,staging-api.nabteb.gov.ng
34.36.125.154,staging-admin.nabteb.gov.ng
34.36.125.154,staging-school.nabteb.gov.ng
34.36.125.154,staging-student.nabteb.gov.ng
44.219.53.183,nigeriadiasporafund.gov.ng
34.38.198.107,trustmark.gov.ng
34.38.198.107,trustmark.gov.ng
41.73.0.78,nv.foreignaffairs.gov.ng
41.73.0.219,natep.gov.ng
41.73.0.219,natep.gov.ng
41.73.0.219,www.natep.gov.ng
41.73.0.219,www.natep.gov.ng
41.73.0.219,natep.gov.ng
41.73.0.250,mail.natep.gov.ng
41.73.0.250,mail.natep.gov.ng
41.73.4.70,mail.dia.gov.ng
41.73.4.70,dia.gov.ng
41.73.4.70,www.dia.gov.ng
41.73.129.178,mail.ekitistatebpp.gov.ng
41.73.130.213,api.lgpension.en.gov.ng
41.73.130.213,lgpension.en.gov.ng
41.73.130.213,api.lgpension.en.gov.ng
41.73.130.213,lgpension.en.gov.ng
41.73.130.213,admin.nasims.gov.ng
41.73.130.213,dashboard.nasims.gov.ng
41.73.130.220,admin.possap.gov.ng
41.73.130.220,administrator.possap.gov.ng
41.73.130.220,possap.gov.ng
41.73.130.220,www.possap.gov.ng
41.73.156.178,library.cbn.gov.ng
41.73.226.60,imail.rsbopp.rv.gov.ng
41.75.202.250,portal.ndic.gov.ng
41.75.202.251,vpn.ndic.gov.ng
41.75.202.252,mail.ndic.gov.ng
41.75.202.252,mail.ndic.gov.ng
41.75.202.252,mail.ndic.gov.ng
41.75.202.252,autodiscover.ndic.gov.ng
41.75.202.252,ndic.gov.ng
41.75.202.252,skypeweb.ndic.gov.ng
41.75.202.252,www.mail.ndic.gov.ng
41.75.202.252,lyncdiscover.ndic.gov.ng
41.75.202.253,lync.ndic.gov.ng
41.75.207.199,mailweb.cbn.gov.ng
41.76.81.167,ns03.trade.gov.ng
41.76.81.182,ns02.ncs.gov.ng
41.76.81.182,ns02.trade.gov.ng
34.44.12.126,commerce.kn.gov.ng
34.44.12.126,commerce.kn.gov.ng
41.76.154.35,jambhubsvr.jamb.gov.ng
41.76.155.172,www.interas.interior.gov.ng
41.76.155.172,interas.interior.gov.ng
41.76.155.173,candidate-api.cdcfib.gov.ng
41.76.155.173,candidate.cdcfib.gov.ng
41.76.155.173,www.candidate.cdcfib.gov.ng
41.76.155.173,www.candidate-api.cdcfib.gov.ng
41.76.158.178,vpn-router.lagosresidents.gov.ng
41.76.158.217,lmis.ekitistate.gov.ng
41.76.158.221,geoportal.ekitistate.gov.ng
143.42.110.145,staff.tetfund.gov.ng
143.42.110.145,staff.tetfund.gov.ng
41.78.80.104,bendismea.be.gov.ng
41.78.80.104,bewc.be.gov.ng
41.78.80.104,www.bendismea.be.gov.ng
41.78.80.104,bsadc.be.gov.ng
41.78.80.104,www.bsadc.be.gov.ng
41.78.80.104,bsadc.be.gov.ng
41.78.80.104,www.bsadc.be.gov.ng
41.78.80.104,bpsi.benuestate.gov.ng
41.78.80.107,bengis.be.gov.ng
41.78.80.107,bact.benuestate.gov.ng
41.78.80.107,birs.benuestate.gov.ng
41.78.80.107,bengis.benuestate.gov.ng
41.78.80.107,civilservice.benuestate.gov.ng
41.78.80.107,digitalskills.benuestate.gov.ng
41.78.80.107,mls.benuestate.gov.ng
41.78.80.107,mmbe.benuestate.gov.ng
41.78.80.107,mwaswportal.benuestate.gov.ng
41.78.80.107,procurement.benuestate.gov.ng
41.78.80.107,revenue.benuestate.gov.ng
41.78.80.107,uast-edms.benuestate.gov.ng
41.78.80.107,womenaffairs.benuestate.gov.ng
41.78.80.107,uast.benuestate.gov.ng
