ip_address,domain
190.53.32.1,gw01.siboif.gob.ni
190.53.32.1,gw01.siboif.gob.ni
190.53.32.3,fwc03.siboif.gob.ni
190.53.32.3,fwc02.siboif.gob.ni
190.53.32.4,ip-4-32-53-190.static.siboif.gob.ni
190.53.32.5,cerberus.siboif.gob.ni
190.53.32.5,cerberus.siboif.gob.ni
190.53.32.6,cerberus01.siboif.gob.ni
190.53.32.6,cerberus01.siboif.gob.ni
190.53.32.7,cerberus02.siboif.gob.ni
190.53.32.10,siboif.gob.ni
190.53.32.7,cerberus02.siboif.gob.ni
190.53.32.10,superintendencia.gob.ni
190.53.32.10,tucan.siboif.gob.ni
190.53.32.10,siboif.gob.ni
190.53.32.10,superintendencia.gob.ni
190.53.32.10,tucan.siboif.gob.ni
190.53.32.11,ns3.siboif.gob.ni
190.53.32.12,mail.siboif.gob.ni
190.53.32.12,autodiscover.siboif.gob.ni
190.53.32.12,mail.siboif.gob.ni
190.53.32.12,mail.superintendencia.gob.ni
190.53.32.13,apus.siboif.gob.ni
190.53.32.13,apus.siboif.gob.ni
190.53.32.14,teammate.siboif.gob.ni
190.53.32.10,tucan.superintendencia.gob.ni
190.53.32.14,teammate.siboif.gob.ni
190.53.32.15,sisbanf-oifs.siboif.gob.ni
190.53.32.15,sisbanf-oifs.siboif.gob.ni
190.53.32.16,pruebascerradoifs.siboif.gob.ni
190.53.32.17,siboif.gob.ni
190.53.32.17,superintendencia.gob.ni
190.53.32.17,vela.siboif.gob.ni
190.53.32.17,vela.superintendencia.gob.ni
190.53.32.17,siboif.gob.ni
190.53.32.17,vela.siboif.gob.ni
190.53.32.17,superintendencia.gob.ni
190.53.32.17,vela.superintendencia.gob.ni
190.53.32.18,dritestta.siboif.gob.ni
190.53.32.17,vela.siboif.gob.ni
190.53.32.19,indus.siboif.gob.ni
190.53.32.21,ip-21-32-53-190.static.siboif.gob.ni
190.53.32.20,ip-20-32-53-190.static.siboif.gob.ni
190.53.32.22,ip-22-32-53-190.static.siboif.gob.ni
190.53.32.23,ip-23-32-53-190.static.siboif.gob.ni
190.53.32.24,ip-24-32-53-190.static.siboif.gob.ni
190.53.32.25,almacenes.pruebascerradoifs.siboif.gob.ni
190.53.32.26,almacenes.sisbanf.siboif.gob.ni
190.53.32.27,ip-27-32-53-190.static.siboif.gob.ni
190.53.32.28,ip-28-32-53-190.static.siboif.gob.ni
190.53.32.29,ip-29-32-53-190.static.siboif.gob.ni
190.53.32.30,grulla.siboif.gob.ni
190.53.32.32,toliman.siboif.gob.ni
190.53.32.32,toliman.siboif.gob.ni
190.53.32.19,indus.siboif.gob.ni
190.53.32.34,vela2.siboif.gob.ni
190.53.32.35,velapsql.siboif.gob.ni
190.53.32.36,orion.siboif.gob.ni
190.53.32.36,xats.siboif.gob.ni
190.53.32.37,gacrux.siboif.gob.ni
190.53.32.37,gacrux.siboif.gob.ni
190.53.32.37,gacrux.siboif.gob.ni
190.53.32.39,ip-39-32-53-190.siboif.gob.ni
190.53.32.39,grulla.superintendencia.gob.ni
190.53.32.40,epsilon.siboif.gob.ni
190.53.32.40,epsilon.siboif.gob.ni
190.53.32.41,lupus.siboif.gob.ni
190.53.32.41,lupus.siboif.gob.ni
190.53.32.42,ownsib.siboif.gob.ni
190.53.32.42,ownsib.siboif.gob.ni
190.53.32.42,ownsib.siboif.gob.ni
190.53.32.43,ip-43-32-53-190.static.siboif.gob.ni
190.53.32.44,ip-44-32-53-190.static.siboif.gob.ni
190.53.32.45,ip-45-32-53-190.static.siboif.gob.ni
190.53.32.46,ip-46-32-53-190.static.siboif.gob.ni
190.53.32.49,ip-49-32-53-190.static.siboif.gob.ni
190.53.32.50,ip-50-32-53-190.static.siboif.gob.ni
190.53.32.52,ip-52-32-53-190.static.siboif.gob.ni
190.53.32.53,ip-53-32-53-190.static.siboif.gob.ni
190.53.32.54,ip-54-32-53-190.static.siboif.gob.ni
190.53.32.56,ip-56-32-53-190.static.siboif.gob.ni
190.53.32.57,ip-57-32-53-190.static.siboif.gob.ni
190.53.32.58,ip-58-32-53-190.static.siboif.gob.ni
190.53.32.59,ip-59-32-53-190.static.siboif.gob.ni
190.53.32.60,ip-60-32-53-190.static.siboif.gob.ni
190.53.32.62,ip-62-32-53-190.static.siboif.gob.ni
190.53.32.63,ip-63-32-53-190.static.siboif.gob.ni
190.53.32.64,ip-64-32-53-190.static.siboif.gob.ni
190.53.32.65,ip-65-32-53-190.static.siboif.gob.ni
190.53.32.66,ip-66-32-53-190.static.siboif.gob.ni
190.53.32.67,ip-67-32-53-190.static.siboif.gob.ni
190.53.32.68,saiph.siboif.gob.ni
190.53.32.68,meetx.siboif.gob.ni
190.53.32.70,ip-70-32-53-190.static.siboif.gob.ni
190.53.32.71,ip-71-32-53-190.static.siboif.gob.ni
190.53.32.72,wazn.siboif.gob.ni
190.53.32.74,ip-74-32-53-190.static.siboif.gob.ni
190.53.32.75,ip-75-32-53-190.static.siboif.gob.ni
190.53.32.76,v2-sisbanf.siboif.gob.ni
190.53.32.73,ip-73-32-53-190.static.siboif.gob.ni
190.53.32.76,v2-sisbanf.siboif.gob.ni
190.53.32.76,v2-sisbanf.siboif.gob.ni
190.53.32.77,v2-pruebassisbanfniif.siboif.gob.ni
190.53.32.77,v2.pruebassisbanfniif.siboif.gob.ni
190.53.32.77,v2-pruebassisbanfniif.siboif.gob.ni
190.53.32.77,v2-pruebassisbanfniif.siboif.gob.ni
190.53.32.78,pruebassisbanfniif.siboif.gob.ni
190.53.32.78,pruebassisbanfniif.siboif.gob.ni
190.53.32.78,pruebassisbanfniif.siboif.gob.ni
190.53.32.79,ip-79-32-53-190.static.siboif.gob.ni
190.53.32.80,ip-80-32-53-190.static.siboif.gob.ni
190.53.32.81,ip-81-32-53-190.static.siboif.gob.ni
190.53.32.82,api.sisbanf.siboif.gob.ni
190.53.32.84,ip-84-32-53-190.static.siboif.gob.ni
190.53.32.85,ip-85-32-53-190.static.siboif.gob.ni
190.53.32.89,ip-89-32-53-190.static.siboif.gob.ni
190.53.32.87,ip-87-32-53-190.static.siboif.gob.ni
190.53.32.90,ip-90-32-53-190.static.siboif.gob.ni
190.53.32.91,ip-91-32-53-190.static.siboif.gob.ni
190.53.32.92,ip-92-32-53-190.static.siboif.gob.ni
190.53.32.93,ip-93-32-53-190.static.siboif.gob.ni
190.53.32.95,ip-95-32-53-190.static.siboif.gob.ni
190.53.32.96,ip-96-32-53-190.static.siboif.gob.ni
190.53.32.97,ip-97-32-53-190.static.siboif.gob.ni
190.53.32.98,ip-98-32-53-190.static.siboif.gob.ni
190.53.32.99,ip-99-32-53-190.static.siboif.gob.ni
190.53.32.100,ip-100-32-53-190.static.siboif.gob.ni
190.53.32.103,ip-103-32-53-190.static.siboif.gob.ni
190.53.32.104,ip-104-32-53-190.static.siboif.gob.ni
190.53.32.105,ip-105-32-53-190.static.siboif.gob.ni
190.53.32.107,ip-107-32-53-190.static.siboif.gob.ni
190.53.32.109,ip-109-32-53-190.static.siboif.gob.ni
190.53.32.110,ip-110-32-53-190.static.siboif.gob.ni
190.53.32.112,ip-112-32-53-190.static.siboif.gob.ni
190.53.32.114,ip-114-32-53-190.static.siboif.gob.ni
190.53.32.113,ip-113-32-53-190.static.siboif.gob.ni
190.53.32.115,ip-115-32-53-190.static.siboif.gob.ni
190.53.32.117,ip-117-32-53-190.static.siboif.gob.ni
190.53.32.116,ip-116-32-53-190.static.siboif.gob.ni
190.53.32.118,ip-118-32-53-190.static.siboif.gob.ni
190.53.32.119,ip-119-32-53-190.static.siboif.gob.ni
190.53.32.121,ip-121-32-53-190.static.siboif.gob.ni
190.53.32.122,ip-122-32-53-190.static.siboif.gob.ni
190.53.32.124,ip-124-32-53-190.static.siboif.gob.ni
190.53.32.125,ip-125-32-53-190.static.siboif.gob.ni
190.53.32.127,ip-127-32-53-190.static.siboif.gob.ni
190.53.32.129,ip-129-32-53-190.static.siboif.gob.ni
190.53.32.130,kepler9.siboif.gob.ni
190.53.32.131,ip-131-32-53-190.static.siboif.gob.ni
190.53.32.130,kepler9.siboif.gob.ni
190.53.32.133,ip-133-32-53-190.static.siboif.gob.ni
190.53.32.134,ip-134-32-53-190.static.siboif.gob.ni
190.53.32.135,ip-135-32-53-190.static.siboif.gob.ni
190.53.32.137,ip-137-32-53-190.static.siboif.gob.ni
190.53.32.138,ip-138-32-53-190.static.siboif.gob.ni
190.53.32.139,ip-139-32-53-190.static.siboif.gob.ni
190.53.32.141,ip-141-32-53-190.static.siboif.gob.ni
190.53.32.140,ip-140-32-53-190.static.siboif.gob.ni
190.53.32.142,ip-142-32-53-190.static.siboif.gob.ni
190.53.32.147,ip-147-32-53-190.static.siboif.gob.ni
190.53.32.143,ip-143-32-53-190.static.siboif.gob.ni
190.53.32.148,ip-148-32-53-190.static.siboif.gob.ni
190.53.32.149,ip-149-32-53-190.static.siboif.gob.ni
190.53.32.150,ip-150-32-53-190.static.siboif.gob.ni
190.53.32.154,ip-154-32-53-190.static.siboif.gob.ni
190.53.32.151,ip-151-32-53-190.static.siboif.gob.ni
190.53.32.155,ip-155-32-53-190.static.siboif.gob.ni
190.53.32.156,ip-156-32-53-190.static.siboif.gob.ni
190.53.32.159,ip-159-32-53-190.static.siboif.gob.ni
190.53.32.160,ip-160-32-53-190.static.siboif.gob.ni
190.53.32.163,ip-163-32-53-190.static.siboif.gob.ni
190.53.32.164,ip-164-32-53-190.static.siboif.gob.ni
190.53.32.165,ip-165-32-53-190.static.siboif.gob.ni
190.53.32.157,ip-157-32-53-190.static.siboif.gob.ni
190.53.32.166,ip-166-32-53-190.static.siboif.gob.ni
190.53.32.167,ip-167-32-53-190.static.siboif.gob.ni
190.53.32.168,ip-168-32-53-190.static.siboif.gob.ni
190.53.32.172,ip-172-32-53-190.static.siboif.gob.ni
190.53.32.174,ip-174-32-53-190.static.siboif.gob.ni
190.53.32.177,ip-177-32-53-190.static.siboif.gob.ni
190.53.32.176,ip-176-32-53-190.static.siboif.gob.ni
190.53.32.178,ip-178-32-53-190.static.siboif.gob.ni
190.53.32.169,ip-169-32-53-190.static.siboif.gob.ni
190.53.32.162,ip-162-32-53-190.static.siboif.gob.ni
190.53.32.179,ip-179-32-53-190.static.siboif.gob.ni
190.53.32.180,cetus.siboif.gob.ni
190.53.32.180,cetus.siboif.gob.ni
190.53.32.181,ip-181-32-53-190.static.siboif.gob.ni
190.53.32.182,ip-182-32-53-190.static.siboif.gob.ni
190.53.32.184,ip-184-32-53-190.static.siboif.gob.ni
190.53.32.186,ip-186-32-53-190.static.siboif.gob.ni
190.53.32.188,ip-188-32-53-190.static.siboif.gob.ni
190.53.32.190,ip-190-32-53-190.static.siboif.gob.ni
190.53.32.191,ip-191-32-53-190.static.siboif.gob.ni
190.53.32.193,ip-193-32-53-190.static.siboif.gob.ni
190.53.32.194,ip-194-32-53-190.static.siboif.gob.ni
190.53.32.195,ip-195-32-53-190.static.siboif.gob.ni
190.53.32.196,ip-196-32-53-190.static.siboif.gob.ni
190.53.32.198,ip-198-32-53-190.static.siboif.gob.ni
190.53.32.199,ip-199-32-53-190.static.siboif.gob.ni
190.53.32.197,ip-197-32-53-190.static.siboif.gob.ni
190.53.32.200,ip-200-32-53-190.static.siboif.gob.ni
190.53.32.201,ip-201-32-53-190.static.siboif.gob.ni
190.53.32.202,ip-202-32-53-190.static.siboif.gob.ni
190.53.32.204,ip-204-32-53-190.static.siboif.gob.ni
190.53.32.205,ip-205-32-53-190.static.siboif.gob.ni
190.53.32.206,ip-206-32-53-190.static.siboif.gob.ni
190.53.32.207,ip-207-32-53-190.static.siboif.gob.ni
190.53.32.209,ip-209-32-53-190.static.siboif.gob.ni
190.53.32.211,ip-211-32-53-190.static.siboif.gob.ni
190.53.32.213,ip-213-32-53-190.static.siboif.gob.ni
190.53.32.215,ip-215-32-53-190.static.siboif.gob.ni
190.53.32.214,ip-214-32-53-190.static.siboif.gob.ni
190.53.32.216,ip-216-32-53-190.static.siboif.gob.ni
190.53.32.217,ip-217-32-53-190.static.siboif.gob.ni
190.53.32.218,ip-218-32-53-190.static.siboif.gob.ni
190.53.32.219,ip-219-32-53-190.static.siboif.gob.ni
190.53.32.221,ip-221-32-53-190.static.siboif.gob.ni
190.53.32.222,ip-222-32-53-190.static.siboif.gob.ni
190.53.32.225,ip-225-32-53-190.static.siboif.gob.ni
190.53.32.227,ip-227-32-53-190.static.siboif.gob.ni
190.53.32.229,ip-229-32-53-190.static.siboif.gob.ni
190.53.32.231,ip-231-32-53-190.static.siboif.gob.ni
190.53.32.230,ip-230-32-53-190.static.siboif.gob.ni
190.53.32.232,ip-232-32-53-190.static.siboif.gob.ni
190.53.32.233,ip-233-32-53-190.static.siboif.gob.ni
190.53.32.234,ip-234-32-53-190.static.siboif.gob.ni
190.53.32.239,ip-239-32-53-190.static.siboif.gob.ni
190.53.32.235,ip-235-32-53-190.static.siboif.gob.ni
190.53.32.240,ip-240-32-53-190.static.siboif.gob.ni
190.53.32.241,ip-241-32-53-190.static.siboif.gob.ni
190.53.32.242,ip-242-32-53-190.static.siboif.gob.ni
190.53.32.243,ip-243-32-53-190.static.siboif.gob.ni
190.53.32.245,ip-245-32-53-190.static.siboif.gob.ni
190.53.32.247,ip-247-32-53-190.static.siboif.gob.ni
190.53.32.249,ip-249-32-53-190.static.siboif.gob.ni
190.53.32.248,ip-248-32-53-190.static.siboif.gob.ni
190.53.32.250,ip-250-32-53-190.static.siboif.gob.ni
