ip_address,domain
2a00:d00:3:2::5,feeds.rijksoverheid.nl
2a00:d00:3:2::5,opendata.rijksoverheid.nl
2a00:d00:3:2::5,rijksoverheid.nl
2a00:d00:3:2::116,static.rijksoverheid.nl
2a00:d00:3:2::116,www.rijksoverheid.nl
2a00:d00:3:2::5,static.rijksoverheid.nl
2a00:d00:3:2::5,www.rijksoverheid.nl
2a00:d00:3:2::116,feeds.rijksoverheid.nl
2a00:d00:3:2::116,opendata.rijksoverheid.nl
2a00:d00:3:2::116,rijksoverheid.nl
2a00:1558:3202:14::1:0,overheid.nl
2a00:1558:3202:14::1:0,www.overheid.nl
2a01:111:f100:9001::1761:9694,statistiek.rijksoverheid.nl
2a01:111:f100:9001::1761:9694,www.statistiek.rijksoverheid.nl
35.71.153.111,woo-formulier.rijksoverheid.nl
35.71.153.111,woo-formulier.rijksoverheid.nl
2a02:26f0:60:28f::676c,coronadashboard.rijksoverheid.nl
2a02:26f0:60:28f::676c,www.coronadashboard.rijksoverheid.nl
2a02:26f0:6b:18a::676c,www.coronadashboard.rijksoverheid.nl
2a02:26f0:6b:18a::676c,coronadashboard.rijksoverheid.nl
2a02:26f0:6b:18a::9217,staging.coronadashboard.rijksoverheid.nl
2a02:26f0:11a:19f::676c,coronadashboard.rijksoverheid.nl
2a02:26f0:11a:19f::676c,www.coronadashboard.rijksoverheid.nl
2a02:26f0:11a:19f::9217,staging.coronadashboard.rijksoverheid.nl
2a03:b0c0:2:d0::1378:d001,regels.overheid.nl
2a04:9a00:1003:403b:f816:3eff:fe52:d4f8,www.open.overheid.nl
2a04:9a00:1003:403b:f816:3eff:fe52:d4f8,open.overheid.nl
2a04:9a00:1010:2700::101,static.mijn.overheid.nl
2a04:9a00:1010:2801::103,static.preprod.mijn.overheid.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,api.debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,cdn.debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,ingest.debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,io.debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,plus.debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,stream-share.debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,status.debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:33c0:9e78:4191:6d52,www.debatdirect.tweedekamer.nl
2a05:d014:1c26:6400:47dd:e115:4bd1:cdb0,api.debatdirect.tweedekamer.nl
