ip_address,domain
2a00:ed80:1::11,einnsyn.stortinget.no
2a00:ed80:1::11,data.stortinget.no
2a00:ed80:1::11,stortinget.no
2a00:ed80:1::11,www.stortinget.no
34.36.252.241,ansatt.dev.nav.no
34.36.252.241,ansatt.dev.nav.no
34.36.252.241,ansatt.dev.nav.no
34.49.224.239,ansatt.nav.no
34.49.224.239,etterlevelse.ansatt.nav.no
34.49.224.239,metabase.ansatt.nav.no
34.54.196.185,ci.nav.no
34.54.196.185,ci.nav.no
143.204.98.56,rf1070.app.skatteetaten.no
143.204.98.68,rf1070.app.skatteetaten.no
143.204.98.103,rf1070.app.skatteetaten.no
143.204.98.105,rf1070.app.skatteetaten.no
93.94.10.114,styringsportalen.regjeringen.no
44.240.76.220,venterom.skatteetaten.no
108.138.7.4,skattekalkulator.app.skatteetaten.no
108.138.7.10,skattekalkulator.app.skatteetaten.no
108.138.7.28,skattekalkulator.app.skatteetaten.no
108.138.7.46,skattekalkulator.app.skatteetaten.no
34.88.215.176,fleetdm.gc.nav.no
34.90.75.175,hot.nav.no
34.90.75.175,join.hot.nav.no
34.90.75.175,hot.nav.no
34.90.75.175,hot2.nav.no
34.90.75.175,join.hot.nav.no
34.90.75.175,pexipedge33.video.nav.no
34.90.75.175,pexipedge14.video.nav.no
34.90.75.175,sip.hot.nav.no
35.186.247.86,datalandsbyen.norge.no
35.186.247.86,data.norge.no
35.186.247.86,data.norge.no
35.186.247.86,datalandsbyen.norge.no
34.96.104.243,sentry-dev.gc.nav.no
34.96.104.243,sentry-dev.gc.nav.no
34.96.104.243,sentry-dev.gc.nav.no
151.101.3.52,helsedirektoratet.no
151.101.3.52,helsedirektoratet.no
151.101.3.52,helsedirektoratet.no
193.0.252.41,skort.skatteetaten.no
193.0.252.41,skort.skatteetaten.no
193.0.252.42,ref.skort.skatteetaten.no
193.0.252.42,ref.skort.skatteetaten.no
193.0.252.43,test.skort.skatteetaten.no
108.157.109.2,skattekalkulator.app.skatteetaten.no
108.157.109.6,skattekalkulator.app.skatteetaten.no
108.157.109.66,skattekalkulator.app.skatteetaten.no
108.157.109.98,skattekalkulator.app.skatteetaten.no
85.88.64.35,pc.stortinget.no
85.88.64.35,pc.stortinget.no
85.88.64.50,tvcom.stortinget.no
85.88.64.101,epostpri.stortinget.no
85.88.64.40,dmzda.stortinget.no
85.88.64.101,epostpri.stortinget.no
85.88.64.102,epostsec.stortinget.no
85.88.64.137,cag.stortinget.no
85.88.64.102,epostsec.stortinget.no
85.88.64.140,dialin.stortinget.no
85.88.64.140,lyncdiscover.stortinget.no
85.88.64.140,meet.stortinget.no
85.88.64.140,wac.stortinget.no
85.88.64.140,webextprodskypefe.stortinget.no
85.88.64.149,sip.stortinget.no
85.88.64.149,sipexternal.stortinget.no
85.88.64.150,webconf.stortinget.no
85.88.64.166,da.stortinget.no
85.88.64.166,da.stortinget.no
85.88.66.1,vpn.stortinget.no
85.88.67.3,logginn.stortinget.no
85.88.67.3,login.stortinget.no
85.88.67.3,rds.stortinget.no
85.88.67.5,outlook.stortinget.no
85.88.67.5,post.stortinget.no
85.88.67.5,autodiscover.stortinget.no
85.88.67.5,dl.outlook.stortinget.no
85.88.67.5,imap.stortinget.no
85.88.67.5,outlook.stortinget.no
85.88.67.5,mobil.stortinget.no
85.88.67.5,post.stortinget.no
85.88.67.5,smtp.stortinget.no
85.88.67.6,rdsgw.stortinget.no
85.88.67.7,smtp.stortinget.no
85.88.67.9,stortinget.no
85.88.67.9,data.stortinget.no
85.88.67.9,einnsyn.stortinget.no
85.88.67.9,stortinget.no
85.88.67.7,smtp.stortinget.no
85.88.67.9,www.stortinget.no
85.88.67.11,data.stortinget.no
85.88.67.11,data.stortinget.no
85.88.67.11,einnsyn.stortinget.no
85.88.67.11,www.stortinget.no
85.88.67.11,stortinget.no
85.88.67.13,einnsyn.stortinget.no
85.88.67.13,stortinget.no
85.88.67.13,data.stortinget.no
85.88.67.13,einnsyn.stortinget.no
85.88.67.13,www.stortinget.no
