ip_address,domain
141.95.99.203,dfonawalpur.gov.np
141.95.99.203,www.dfonawalpur.gov.np
120.89.108.129,srp.chapakotmun.gov.np
120.89.108.129,trp.chapakotmun.gov.np
120.89.109.185,streetchildren.ncrc.gov.np
120.89.109.185,mail.ncrc.gov.np
120.89.111.1,tp.opmcm.gov.np
120.89.127.205,sims.sandhikharkamun.gov.np
120.89.127.205,sims.sandhikharkamun.gov.np
141.95.126.90,hlmcbagmati.gov.np
141.95.126.90,www.hlmcbagmati.gov.np
141.95.126.90,www.npns.gov.np
141.95.126.90,npns.gov.np
110.34.3.193,eservice.dharan.gov.np
110.34.3.193,eservice.dharan.gov.np
110.34.3.193,eservice.dharan.gov.np
110.34.3.229,esetserver.npc.gov.np
110.34.3.243,tax.dharan.gov.np
110.34.3.243,acc.dharan.gov.np
110.34.3.243,acc.dharan.gov.np
110.34.3.243,eservice.dharan.gov.np
110.34.3.243,tax.dharan.gov.np
110.34.4.211,uatsso.nnsw.gov.np
110.34.4.211,uatsso.nnsw.gov.np
110.34.4.211,nnsw.gov.np
110.34.4.212,uat.nnsw.gov.np
110.34.4.212,nnsw.gov.np
110.34.4.213,nnsw.gov.np
110.34.4.213,nnsw.gov.np
110.34.4.212,uat.nnsw.gov.np
110.34.4.214,nnsw.gov.np
110.34.4.214,sso.nnsw.gov.np
110.34.5.39,lib.dmgnepal.gov.np
110.34.5.39,dmgnepal.gov.np
110.34.5.39,lib.dmgnepal.gov.np
110.34.5.39,lib.dmgnepal.gov.np
110.34.5.39,www.dmgnepal.gov.np
110.34.5.48,api.phmis.molcpa.gov.np
110.34.5.48,map.phmis.molcpa.gov.np
110.34.5.48,phmis.molcpa.gov.np
110.34.5.216,gis.dmgnepal.gov.np
110.34.8.11,analysis.edcd.gov.np
110.34.8.11,sormas.edcd.gov.np
110.34.8.11,analysis.edcd.gov.np
110.34.8.11,sormas.edcd.gov.np
110.34.8.40,mail.caanepal.gov.np
110.34.8.40,esg.caanepal.gov.np
110.34.8.40,mail.caanepal.gov.np
110.34.8.40,caanepal.gov.np
110.34.8.41,caanepal.gov.np
110.34.8.42,jobs.caanepal.gov.np
110.34.8.47,dhangadhi.caanepal.gov.np
110.34.8.48,caanepal.gov.np
110.34.8.48,library.caanepal.gov.np
110.34.8.50,caanepal.gov.np
110.34.8.52,caanepal.gov.np
110.34.8.53,sms.caanepal.gov.np
110.34.8.53,smsadmin.caanepal.gov.np
110.34.8.53,sms.caanepal.gov.np
110.34.8.53,smsadmin.caanepal.gov.np
110.34.8.54,cportal.caanepal.gov.np
110.34.13.229,ird.gov.np
110.34.13.230,etax.ird.gov.np
110.34.13.230,ird.gov.np
110.34.13.231,ird.gov.np
110.34.13.231,web.ird.gov.np
110.34.13.232,eims.ird.gov.np
110.34.13.233,ird.gov.np
110.34.13.234,ird.gov.np
110.34.13.234,taxpayerportal.ird.gov.np
110.34.13.235,it.ird.gov.np
110.34.13.236,officerportal.ird.gov.np
110.34.13.237,webservice.ird.gov.np
110.34.13.238,mail.ird.gov.np
110.34.13.238,ird.gov.np
110.34.13.238,mail.ird.gov.np
110.34.13.239,ird.gov.np
110.34.13.239,taxpayerportalb.ird.gov.np
110.34.13.241,ird.gov.np
110.34.13.241,www.ird.gov.np
110.34.13.242,dms.ird.gov.np
110.34.13.246,ird.gov.np
110.34.13.246,officerportalb.ird.gov.np
110.34.14.226,applydlnew.dotm.gov.np
110.34.14.226,dotm.gov.np
110.34.14.227,dotm.gov.np
110.34.14.227,onlineevrsreg.dotm.gov.np
