ip_address,domain
157.90.67.40,nic.gov.nu
157.90.67.40,nic.gov.nu
116.89.228.139,eat.companies.gov.nu
116.89.228.139,www.eat.companies.gov.nu
116.89.228.140,eat.companies.gov.nu
116.89.228.140,www.eat.companies.gov.nu
116.89.228.143,app.eat.companies.gov.nu
116.89.228.143,app.eat.companies.gov.nu
116.89.228.143,www.eat.companies.gov.nu
116.89.228.143,www.eat.companies.gov.nu
116.89.228.150,eat.companies.gov.nu
116.89.228.150,www.eat.companies.gov.nu
116.89.228.182,app.companies.gov.nu
116.89.228.182,app.companies.gov.nu
116.89.228.182,app.companies.gov.nu
45.60.11.53,companies.gov.nu
45.60.11.53,companies.gov.nu
45.60.11.53,companies.gov.nu
45.60.11.53,uat.eat.companies.gov.nu
45.60.11.53,www.eat.companies.gov.nu
45.60.11.53,eat.companies.gov.nu
45.60.15.53,companies.gov.nu
45.60.15.53,companies.gov.nu
45.60.15.53,companies.gov.nu
10.97.10.200,eat.companies.gov.nu
20.92.87.97,npsc.gov.nu
20.92.87.97,npsc.gov.nu
20.92.87.97,npsc.gov.nu
13.75.219.60,careers-npsc.gov.nu
13.75.219.60,careers-npsc.gov.nu
13.75.219.60,careers-npsc.gov.nu
13.75.219.60,npsc.gov.nu
223.165.76.24,mof.gov.nu
223.165.76.24,mof.gov.nu
223.165.76.24,mof.gov.nu
223.165.76.24,www.mof.gov.nu
223.165.76.172,covid19.gov.nu
223.165.76.172,covid19.gov.nu
223.165.76.172,www.covid19.gov.nu
223.165.76.173,gov.nu
202.59.5.163,mx2.gov.nu
67.209.124.90,gov.nu
67.209.124.90,gov.nu
67.209.124.90,gov.nu
49.12.83.57,nic.gov.nu
49.12.83.57,nic.gov.nu
49.156.51.131,gov.nu
49.156.51.132,gov.nu
49.156.51.132,autodiscover.mail.gov.nu
49.156.51.133,mail.gov.nu
49.156.51.133,mx1.gov.nu
