ip_address,domain
111.65.227.226,nzstory.govt.nz
111.65.227.226,www.nzstory.govt.nz
111.69.14.45,ncc.govt.nz
111.69.14.144,vdi7.nmhs.govt.nz
111.69.14.144,uag1.nmhs.govt.nz
111.69.14.144,vdi7.nmhs.govt.nz
111.69.14.144,uag2.nmhs.govt.nz
111.69.14.144,vdi7.nmhs.govt.nz
111.69.14.145,uag1.nmhs.govt.nz
111.69.14.145,uag1.nmhs.govt.nz
111.69.14.145,uag1.nmhs.govt.nz
111.69.14.145,vdi7.nmhs.govt.nz
111.69.14.145,uag2.nmhs.govt.nz
111.69.14.146,uag2.nmhs.govt.nz
111.69.14.146,uag2.nmhs.govt.nz
111.69.14.146,uag1.nmhs.govt.nz
111.69.14.146,vdi7.nmhs.govt.nz
111.69.14.146,uag2.nmhs.govt.nz
111.69.18.138,firewall.adc.govt.nz
111.69.27.180,adc.govt.nz
111.69.27.181,adc.govt.nz
111.69.27.183,adc.govt.nz
111.69.27.184,adc.govt.nz
111.69.27.185,adc.govt.nz
111.69.27.185,infoservices.adc.govt.nz
111.69.27.187,adc.govt.nz
111.69.27.190,adc.govt.nz
111.69.27.190,gis.adc.govt.nz
111.69.27.190,maps.adc.govt.nz
111.69.36.138,taaspn2011.int.taas.govt.nz
111.69.36.139,pki.govt.nz
111.69.36.139,pki.govt.nz
111.69.36.139,pki.govt.nz
111.69.36.139,www.pki.govt.nz
111.69.39.34,mail.ruapehudc.govt.nz
111.69.39.34,mail.ruapehudc.govt.nz
111.69.39.34,ruapehudc.govt.nz
111.69.39.35,ruapehudc.govt.nz
111.69.39.36,ruapehudc.govt.nz
111.69.39.66,dng.ruapehudc.govt.nz
111.69.39.66,dng.ruapehudc.govt.nz
111.69.39.67,remoteapp.ruapehudc.govt.nz
111.69.39.67,remoteapp.ruapehudc.govt.nz
111.69.39.68,da1.ruapehudc.govt.nz
111.69.39.68,da1.ruapehudc.govt.nz
111.69.39.68,ruapehudc.govt.nz
111.69.49.74,smtp.ruapehudc.govt.nz
111.69.71.83,111.69.71.83.smtp.cluthadc.govt.nz
111.69.71.83,cluthadc.govt.nz
111.69.71.83,111.69.71.83.smtp.cluthadc.govt.nz
111.69.71.85,cluthadc.govt.nz
111.69.71.85,gis.cluthadc.govt.nz
111.69.71.228,waimakariri.govt.nz
111.69.71.230,webmail.waimakariri.govt.nz
111.69.71.231,citrix.waimakariri.govt.nz
111.69.71.231,waimakariri.govt.nz
111.69.71.231,citrix.waimakariri.govt.nz
111.69.71.232,share.waimakariri.govt.nz
111.69.71.232,share.waimakariri.govt.nz
111.69.71.232,waimakariri.govt.nz
111.69.71.233,eservices.waimakariri.govt.nz
111.69.71.233,eservices.waimakariri.govt.nz
111.69.71.234,cidev.waimakariri.govt.nz
111.69.71.233,waimakariri.govt.nz
111.69.71.234,waimakariri.govt.nz
111.69.71.236,kpcctv.waimakariri.govt.nz
111.69.71.234,cidev.waimakariri.govt.nz
111.69.71.236,gisservices.waimakariri.govt.nz
111.69.71.236,kpcctv.waimakariri.govt.nz
111.69.71.236,waimakariri.govt.nz
111.69.71.237,rgacctv.waimakariri.govt.nz
111.69.71.237,waimakariri.govt.nz
111.69.71.237,rgacctv.waimakariri.govt.nz
111.69.71.238,goapps.waimakariri.govt.nz
111.69.71.241,testapi.waimakariri.govt.nz
111.69.71.241,testapi.waimakariri.govt.nz
