ip_address,domain
93.127.179.76,sqa.gov.om
87.121.168.14,summer.mcsy.gov.om
87.121.168.14,youthcreations.mcsy.gov.om
87.121.168.35,mctbookfair.gov.om
87.121.168.35,www.mctbookfair.gov.om
87.121.168.74,razatfarm.gov.om
87.121.171.56,malaa.gov.om
87.121.174.18,erps.alwusta.gov.om
97.74.88.197,ssg.gov.om
97.74.88.197,ssg.gov.om
151.104.132.30,wsp.mafwr.gov.om
151.104.132.42,autodiscover.caa.gov.om
151.104.132.42,caa.gov.om
151.104.132.42,epl.caa.gov.om
151.104.132.42,hqprdmobapp.caa.gov.om
151.104.132.42,hqprebs1.caa.gov.om
151.104.132.42,mail.caa.gov.om
151.104.132.42,mawared.caa.gov.om
151.104.132.42,mct-sr-ise-1.caa.gov.om
151.104.132.42,mct-sr-ise-2.caa.gov.om
151.104.132.42,www.caa.gov.om
151.104.132.126,tejarah.gov.om
151.104.133.76,maktabi.maf.gov.om
151.104.133.76,maktabi.maf.gov.om
151.104.133.84,agm.mcd.gov.om
151.104.133.84,mcd.gov.om
151.104.133.84,www.mcd.gov.om
151.104.133.84,e-gm.mcd.gov.om
151.104.133.125,autodiscover.caa.gov.om
151.104.133.125,caa.gov.om
151.104.133.125,epl.caa.gov.om
151.104.133.125,hqprdmobapp.caa.gov.om
151.104.133.125,hqprebs1.caa.gov.om
151.104.133.125,mail.caa.gov.om
151.104.133.125,mawared.caa.gov.om
151.104.133.125,mct-sr-ise-2.caa.gov.om
151.104.133.125,www.caa.gov.om
151.104.133.125,mct-sr-ise-1.caa.gov.om
151.104.133.139,minio.opendata.gov.om
151.104.133.139,metabase.opendata.gov.om
151.104.133.139,portainer.opendata.gov.om
151.104.133.139,opendata.gov.om
151.104.133.139,psql.opendata.gov.om
151.104.133.139,temporal.opendata.gov.om
151.104.133.139,test.opendata.gov.om
151.104.133.139,www.opendata.gov.om
151.104.133.139,metabase.opendata.gov.om
151.104.133.139,minio.opendata.gov.om
151.104.133.139,opendata.gov.om
151.104.133.139,portainer.opendata.gov.om
151.104.133.139,www.opendata.gov.om
151.104.133.139,temporal.opendata.gov.om
151.104.133.139,metabase.opendata.gov.om
151.104.133.139,opendata.gov.om
151.104.134.14,bscards.oia.gov.om
151.104.134.14,bscards.oia.gov.om
151.104.134.154,oaaaqa.gov.om
151.104.134.154,jawda.gov.om
151.104.134.154,oaaaqa.gov.om
151.104.134.210,mem.gov.om
151.104.135.4,www.jadawel.mcsy.gov.om
151.104.135.4,jadawel.mcsy.gov.om
151.104.135.165,gov.om
