ip_address,domain
44.193.143.210,firmaperu.gob.pe
44.193.143.210,apps.firmaperu.gob.pe
44.193.190.51,alicia.concytec.gob.pe
44.193.190.51,concytec.gob.pe
44.194.74.228,dev.tc.gob.pe
44.194.142.251,accalys2.regionpuno.gob.pe
44.194.142.251,collabora.regionpuno.gob.pe
44.194.142.251,comunicados.regionpuno.gob.pe
44.194.142.251,consejo.regionpuno.gob.pe
44.194.142.251,dayana.regionpuno.gob.pe
44.194.142.251,dev.regionpuno.gob.pe
44.194.142.251,incidencias-api.regionpuno.gob.pe
44.194.142.251,prorridre.regionpuno.gob.pe
44.194.142.251,sistemas2.regionpuno.gob.pe
44.194.142.251,tamias.regionpuno.gob.pe
44.194.142.251,sistemas3.regionpuno.gob.pe
44.194.142.251,tramites.regionpuno.gob.pe
44.194.142.251,ws.regionpuno.gob.pe
44.194.142.251,ws.regionpuno.gob.pe
44.194.142.251,sistemas.regionpuno.gob.pe
44.194.214.104,sencico.gob.pe
44.194.231.208,dani.concytec.gob.pe
44.194.231.208,instituciones.concytec.gob.pe
44.194.231.208,regina.concytec.gob.pe
44.195.10.197,tvperu.gob.pe
44.195.217.163,sisweb.sencico.gob.pe
44.195.251.69,paselaboral.servicios.gob.pe
44.196.1.182,geoportal.inaigem.gob.pe
44.196.1.182,politicas.inaigem.gob.pe
44.196.1.182,revista.inaigem.gob.pe
44.196.1.182,visor.inaigem.gob.pe
44.196.1.182,www.geoportal.inaigem.gob.pe
44.196.1.182,www.politicas.inaigem.gob.pe
44.196.1.182,www.revista.inaigem.gob.pe
44.196.1.182,www.visor.inaigem.gob.pe
44.196.171.212,pvvm.sencico.gob.pe
44.196.171.212,virtual.sencico.gob.pe
44.197.87.204,sencico.gob.pe
44.198.76.218,fondecyt.gob.pe
44.198.77.255,peip-eb.gob.pe
190.8.147.50,mail.ipen.gob.pe
190.8.147.50,mail.ipen.gob.pe
44.199.31.132,radionacional.gob.pe
44.199.122.18,regionamazonas.gob.pe
44.200.69.60,analytics-api.prociencia.gob.pe
34.22.101.9,carelec.gob.pe
44.205.180.76,casos.bono600.gob.pe
44.206.45.205,virtual.sencico.gob.pe
44.206.175.68,peip-eb.gob.pe
190.12.65.75,mta.insn.gob.pe
190.12.65.76,gwsmtp.insn.gob.pe
190.12.65.76,gwsmtp.insn.gob.pe
190.12.65.76,mailbox1.insn.gob.pe
190.12.65.77,mail.insn.gob.pe
190.12.65.77,mail.insn.gob.pe
190.12.65.131,mail.servir.gob.pe
190.12.66.247,dgih.minag.gob.pe
190.12.69.3,concytec.gob.pe
190.12.69.6,ap.concytec.gob.pe
190.12.69.11,mail.concytec.gob.pe
190.12.69.11,mail.concytec.gob.pe
190.12.69.15,board.concytec.gob.pe
190.12.69.19,smtp.concytec.gob.pe
190.12.69.19,smtp.concytec.gob.pe
190.12.69.22,redtematica.concytec.gob.pe
190.12.69.22,redtematica.concytec.gob.pe
190.12.69.23,centrodemostracion.concytec.gob.pe
190.12.69.26,revistas.concytec.gob.pe
190.12.69.27,email.concytec.gob.pe
190.12.69.28,laboratorios.concytec.gob.pe
190.12.69.65,resoluciones.concytec.gob.pe
190.12.69.66,fondecyt.gob.pe
190.12.69.67,www.fondecyt.gob.pe
190.12.69.73,ezproxy.concytec.gob.pe
190.12.69.74,survey.concytec.gob.pe
190.12.69.74,survey.concytec.gob.pe
190.12.69.86,scienti.concytec.gob.pe
190.12.69.94,demo.concytec.gob.pe
190.12.69.94,demo.concytec.gob.pe
190.12.69.95,streaming.concytec.gob.pe
190.12.69.95,streaming.concytec.gob.pe
190.12.69.96,std.concytec.gob.pe
190.12.69.102,radius.concytec.gob.pe
190.12.69.104,www.geo.concytec.gob.pe
190.12.69.105,alicia.concytec.gob.pe
190.12.69.106,renadig.concytec.gob.pe
190.12.69.104,www.geo.concytec.gob.pe
190.12.69.106,renadig.concytec.gob.pe
190.12.69.108,cnpspp.concytec.gob.pe
190.12.69.108,cnpspp.concytec.gob.pe
190.12.69.109,controlinterno.concytec.gob.pe
190.12.69.111,dspace.concytec.gob.pe
190.12.69.111,dspace.concytec.gob.pe
190.12.69.115,ftp.concytec.gob.pe
190.12.69.117,boletin.concytec.gob.pe
190.12.69.117,boletin.concytec.gob.pe
190.12.69.115,ftp.concytec.gob.pe
190.12.69.118,helpdesk.concytec.gob.pe
190.12.69.118,helpdesk.concytec.gob.pe
190.12.69.120,www.cienciactiva.gob.pe
190.12.69.123,wsp-reniec.concytec.gob.pe
190.12.69.122,wsd-reniec.concytec.gob.pe
190.12.69.123,wsp-reniec.concytec.gob.pe
190.12.69.122,wsd-reniec.concytec.gob.pe
190.12.69.125,datos.concytec.gob.pe
190.12.69.235,sqldev.concytec.gob.pe
190.12.69.235,sqldev.concytec.gob.pe
190.12.69.238,tramites.concytec.gob.pe
190.12.69.238,tramites.concytec.gob.pe
190.12.69.239,proyectos.concytec.gob.pe
190.12.69.242,jira.concytec.gob.pe
190.12.69.247,egroupware.concytec.gob.pe
190.12.69.249,boletin.concytec.gob.pe
190.12.69.251,antispam.concytec.gob.pe
190.12.69.251,antispam.concytec.gob.pe
190.12.69.254,correo.concytec.gob.pe
190.12.70.85,mail.agroideas.gob.pe
190.12.70.114,www.trabajaperu.gob.pe
190.12.70.118,siganet.trabajaperu.gob.pe
190.12.70.119,simeweb.trabajaperu.gob.pe
190.12.70.117,ftp.trabajaperu.gob.pe
190.12.70.120,mx.trabajaperu.gob.pe
190.12.70.121,sisnetadmin.trabajaperu.gob.pe
190.12.70.245,mail.bomberosperu.gob.pe
190.12.71.5,mail.agromercado.gob.pe
190.12.71.5,mail.sierraexportadora.gob.pe
190.12.71.5,mail.agromercado.gob.pe
190.12.71.5,mail.sierraexportadora.gob.pe
190.12.71.5,mail.sierraexportadora.gob.pe
190.12.71.5,mail.sierraexportadora.gob.pe
190.12.71.6,agromercado.gob.pe
190.12.71.6,www.agromercado.gob.pe
190.12.71.6,sierraexportadora.gob.pe
190.12.71.6,agromercado.gob.pe
190.12.71.6,www.sierraexportadora.gob.pe
190.12.71.6,sierraexportadora.gob.pe
190.12.71.6,www.sierraexportadora.gob.pe
190.12.71.6,agromercado.gob.pe
190.12.71.6,sierraexportadora.gob.pe
190.12.71.6,www.sierraexportadora.gob.pe
190.12.71.7,soporte.agromercado.gob.pe
190.12.71.7,soporte.agromercado.gob.pe
190.12.71.8,mpv.agromercado.gob.pe
190.12.71.10,sismac.agromercado.gob.pe
190.12.71.10,sismac.agromercado.gob.pe
190.12.71.14,eva.agromercado.gob.pe
190.12.71.8,pide.agromercado.gob.pe
190.12.71.14,eva.agromercado.gob.pe
190.12.71.14,agromercado.gob.pe
190.12.71.14,autodiscover.agromercado.gob.pe
190.12.71.14,autodiscover.sierraexportadora.gob.pe
190.12.71.13,radi.agromercado.gob.pe
190.12.71.14,cloud.agromercado.gob.pe
190.12.71.14,cloud.sierraexportadora.gob.pe
190.12.71.14,eva.agromercado.gob.pe
190.12.71.14,mail.agromercado.gob.pe
190.12.71.14,mail.sierraexportadora.gob.pe
190.12.71.14,mpv.agromercado.gob.pe
190.12.71.14,portal.agromercado.gob.pe
190.12.71.14,repositorio.agromercado.gob.pe
190.12.71.14,repositorio.sierraexportadora.gob.pe
190.12.71.14,sierraexportadora.gob.pe
190.12.71.14,sisged.sierraexportadora.gob.pe
190.12.71.14,sisged.agromercado.gob.pe
190.12.71.14,sispac.agromercado.gob.pe
190.12.71.14,soporte.agromercado.gob.pe
190.12.71.14,soporte.sierraexportadora.gob.pe
190.12.71.14,www.agromercado.gob.pe
190.12.71.15,mail2.sierraexportadora.gob.pe
190.12.71.14,www.sierraexportadora.gob.pe
190.12.71.15,mail2.sierraexportadora.gob.pe
190.12.71.16,sispac2.agromercado.gob.pe
190.12.71.17,repositorio.agromercado.gob.pe
190.12.71.17,repositorio.agromercado.gob.pe
190.12.71.17,agromercado.gob.pe
190.12.71.17,autodiscover.agromercado.gob.pe
190.12.71.17,autodiscover.sierraexportadora.gob.pe
190.12.71.17,cloud.agromercado.gob.pe
190.12.71.17,eva.agromercado.gob.pe
190.12.71.17,mail.agromercado.gob.pe
190.12.71.17,mail.sierraexportadora.gob.pe
190.12.71.17,cloud.sierraexportadora.gob.pe
190.12.71.17,portal.agromercado.gob.pe
190.12.71.17,mpv.agromercado.gob.pe
190.12.71.17,repositorio.agromercado.gob.pe
190.12.71.17,sierraexportadora.gob.pe
190.12.71.17,sisged.agromercado.gob.pe
190.12.71.17,repositorio.sierraexportadora.gob.pe
190.12.71.17,sisged.sierraexportadora.gob.pe
190.12.71.17,sispac.agromercado.gob.pe
190.12.71.17,soporte.agromercado.gob.pe
190.12.71.17,soporte.sierraexportadora.gob.pe
190.12.71.17,www.agromercado.gob.pe
190.12.71.17,www.sierraexportadora.gob.pe
190.12.71.19,sispac.agromercado.gob.pe
190.12.71.19,sispac.agromercado.gob.pe
190.12.71.19,agromercado.gob.pe
