ip_address,domain
44.231.67.142,api-console.aws.gov.pf
44.231.67.142,api-dev-portal.aws.gov.pf
44.231.67.142,api-gateway.aws.gov.pf
44.231.67.142,api-management-ui.aws.gov.pf
44.231.67.142,auth.sandbox-old.aws.gov.pf
44.231.67.142,auth.sandbox.aws.gov.pf
44.231.67.142,auth-keycloak-sandbox.aws.gov.pf
44.231.67.142,certwarden.aws.gov.pf
44.231.67.142,auth.sandbox2.aws.gov.pf
44.231.67.142,console.sandbox-old.aws.gov.pf
44.231.67.142,console.sandbox.aws.gov.pf
44.231.67.142,console.sandbox2.aws.gov.pf
44.231.67.142,dev-refonte.pad-admin.aws.gov.pf
44.231.67.142,dev-refonte.pad-api.aws.gov.pf
44.231.67.142,api-management.aws.gov.pf
44.231.67.142,dev.back.oini3.aws.gov.pf
44.231.67.142,dev.backend-backoffice.aws.gov.pf
44.231.67.142,dev.faniu.api.aws.gov.pf
44.231.67.142,dev.ds-pf-storybook.aws.gov.pf
44.231.67.142,dev.faniu.aws.gov.pf
44.231.67.142,dev.faniu.s3.api.aws.gov.pf
44.231.67.142,dev.faniu.mailserver.aws.gov.pf
44.231.67.142,dev.keycloak-test.aws.gov.pf
44.231.67.142,dev.faniu.s3.aws.gov.pf
44.231.67.142,dev.keycloakadmin.aws.gov.pf
44.231.67.142,dev.keycloak.aws.gov.pf
44.231.67.142,dev.mail.aws.gov.pf
44.231.67.142,dev.mail2.aws.gov.pf
44.231.67.142,dev.keycloaklocal.aws.gov.pf
44.231.67.142,dev.matini.aws.gov.pf
44.231.67.142,dev.mes-echeances-fiscales-api.aws.gov.pf
44.231.67.142,dev.mes-notifications.aws.gov.pf
44.231.67.142,dev.mes-echeances-fiscales-admin.aws.gov.pf
44.231.67.142,dev.mes-echeances-fiscales.aws.gov.pf
44.231.67.142,dev.mes-notifications.admin.aws.gov.pf
44.231.67.142,dev.mes-notifications.mailserver.aws.gov.pf
44.231.67.142,dev.mesimpots.aws.gov.pf
44.231.67.142,dev.monituru.aws.gov.pf
44.231.67.142,dev.oini3.aws.gov.pf
44.231.67.142,dev.oini3.s3.aws.gov.pf
44.231.67.142,dev.oini3.mailserver.aws.gov.pf
44.231.67.142,dev.openfisca.aws.gov.pf
44.231.67.142,dev.pad-api.aws.gov.pf
44.231.67.142,dev.pgadmin.monituru.aws.gov.pf
44.231.67.142,dev.pad-admin.aws.gov.pf
44.231.67.142,dev.simulateur.aws.gov.pf
44.231.67.142,dev2.back.oini3.aws.gov.pf
44.231.67.142,dev2.ds-pf-storybook.aws.gov.pf
44.231.67.142,dev2.faniu.aws.gov.pf
44.231.67.142,dev2.faniu.api.aws.gov.pf
44.231.67.142,dev2.mail.aws.gov.pf
44.231.67.142,dev.backend-frontoffice.aws.gov.pf
44.231.67.142,dev2.matini.aws.gov.pf
44.231.67.142,dev2.oini3.aws.gov.pf
44.231.67.142,dev2.oini3.s3.aws.gov.pf
44.231.67.142,dev2.openfisca.aws.gov.pf
44.231.67.142,dev2.pad-admin.aws.gov.pf
44.231.67.142,dev3.mail.aws.gov.pf
44.231.67.142,dev2.pad-api.aws.gov.pf
44.231.67.142,geoserver.tefenua.aws.gov.pf
44.231.67.142,grafana.aws.gov.pf
44.231.67.142,javadoc.docs.test.monituru.aws.gov.pf
44.231.67.142,javadoc.docs.dev.monituru.aws.gov.pf
44.231.67.142,keycloak-morgann.aws.gov.pf
44.231.67.142,keycloak-sandbox.aws.gov.pf
44.231.67.142,dev2.faniu.s3.aws.gov.pf
44.231.67.142,docapic.dev.aws.gov.pf
44.231.67.142,mailserver.tefenua.aws.gov.pf
