ip_address,domain
111.67.28.206,museumpng.gov.pg
111.67.28.206,museumpng.gov.pg
111.67.28.206,www.museumpng.gov.pg
44.210.177.235,lmu.gov.pg
44.210.177.235,lmu.gov.pg
44.210.177.235,lmu.gov.pg
34.40.156.76,mailer.dherst.gov.pg
143.95.230.70,parliament.gov.pg
143.95.230.70,www.parliament.gov.pg
143.95.230.70,www.parliament.gov.pg
143.95.236.12,parliament.gov.pg
143.95.236.12,www.parliament.gov.pg
143.198.89.43,bilum.dird.gov.pg
143.198.89.43,bilum.dird.gov.pg
143.198.89.43,bilum.dird.gov.pg
43.250.142.89,apechaus.gov.pg
43.250.142.89,mail.apechaus.gov.pg
43.250.142.89,apechaus.gov.pg
43.250.142.89,mail.apechaus.gov.pg
43.250.142.89,apechaus.gov.pg
43.250.142.89,mail.apechaus.gov.pg
110.232.143.108,ngcb.gov.pg
110.232.143.108,ngcb.gov.pg
43.250.249.161,nmsa.gov.pg
43.250.249.161,www.nmsa.gov.pg
43.250.249.161,cpanel.aic.gov.pg
43.250.249.161,cpcalendars.aic.gov.pg
43.250.249.161,cpcontacts.aic.gov.pg
43.250.249.161,webdisk.aic.gov.pg
43.250.249.161,webmail.aic.gov.pg
43.250.249.161,nmsa.gov.pg
43.250.249.161,www.nmsa.gov.pg
43.250.249.161,nmsa.gov.pg
43.250.249.161,www.nmsa.gov.pg
23.32.182.110,webmail.educationpng.gov.pg
34.87.231.24,pm01.mailer.dherst.gov.pg
108.138.94.21,irc.gov.pg
108.138.94.53,irc.gov.pg
108.138.94.112,irc.gov.pg
108.138.94.126,irc.gov.pg
108.138.141.12,demo.digital.gov.pg
108.138.141.26,demo.digital.gov.pg
108.138.141.63,demo.digital.gov.pg
108.138.141.127,demo.digital.gov.pg
108.138.192.27,clearance.test.rpngc.gov.pg
108.138.192.57,clearance.test.rpngc.gov.pg
108.138.192.124,clearance.test.rpngc.gov.pg
108.138.192.129,clearance.test.rpngc.gov.pg
108.139.29.35,irc.gov.pg
108.139.29.69,irc.gov.pg
108.139.29.118,irc.gov.pg
108.139.29.121,irc.gov.pg
35.189.12.204,mailer.dherst.gov.pg
35.189.12.204,pm01.mailer.dherst.gov.pg
35.189.12.204,mailer.dherst.gov.pg
35.189.12.204,pm01.mailer.dherst.gov.pg
35.189.23.74,cert.apps.dherst.gov.pg
35.189.48.42,portal.dherst.gov.pg
35.189.62.71,apply.dherst.gov.pg
35.189.62.71,ipng.dherst.gov.pg
35.189.62.71,selection.dherst.gov.pg
35.189.62.71,ipng.dherst.GOV.pg
35.189.62.71,apply.dherst.gov.pg
35.189.62.71,ipng.dherst.gov.pg
35.189.62.71,selection.dherst.gov.pg
35.189.62.71,apply.dherst.gov.pg
35.189.62.71,ipng.dherst.gov.pg
35.189.62.71,selection.dherst.gov.pg
108.139.134.5,dev2.rpngc.gov.pg
108.139.134.41,dev2.rpngc.gov.pg
108.139.134.72,dev2.rpngc.gov.pg
108.139.134.77,dev2.rpngc.gov.pg
108.139.182.15,dlpp.gov.pg
108.139.182.77,dlpp.gov.pg
108.139.182.103,dlpp.gov.pg
108.139.182.104,dlpp.gov.pg
108.139.229.6,dev2.rpngc.gov.pg
108.139.229.11,dev2.rpngc.gov.pg
108.139.229.23,dev2.rpngc.gov.pg
108.139.229.85,dev2.rpngc.gov.pg
108.156.22.26,info.sevispass.gov.pg
108.156.22.46,info.sevispass.gov.pg
108.156.22.73,info.sevispass.gov.pg
108.156.22.127,info.sevispass.gov.pg
108.156.60.26,dlpp.gov.pg
108.156.60.36,dlpp.gov.pg
108.156.60.37,dlpp.gov.pg
108.156.60.103,dlpp.gov.pg
108.156.107.17,gavman.gov.pg
108.156.107.24,gavman.gov.pg
108.156.107.33,gavman.gov.pg
108.156.107.124,gavman.gov.pg
108.157.14.15,gavman.gov.pg
108.157.14.27,gavman.gov.pg
108.157.14.120,gavman.gov.pg
108.157.14.126,gavman.gov.pg
35.201.17.140,pm01.mailer.dherst.gov.pg
35.201.17.140,mailer.dherst.gov.pg
108.157.162.54,dlpp.gov.pg
108.157.162.89,dlpp.gov.pg
108.157.162.90,dlpp.gov.pg
108.157.162.125,dlpp.gov.pg
184.107.41.70,ehptourism.gov.pg
184.107.41.70,ehptourism.gov.pg
34.98.99.30,luda.gov.pg
184.107.183.67,ehptourism.gov.pg
184.107.183.67,ehptourism.gov.pg
108.158.61.40,irc.gov.pg
108.158.61.99,irc.gov.pg
108.158.61.108,irc.gov.pg
108.158.61.128,irc.gov.pg
108.159.15.7,gavman.gov.pg
108.159.15.35,gavman.gov.pg
108.159.15.38,gavman.gov.pg
108.159.15.45,gavman.gov.pg
151.106.113.51,espeducation.gov.pg
35.213.134.115,icac.gov.pg
35.213.134.115,staging3.icac.gov.pg
35.213.134.115,staging4.icac.gov.pg
35.213.134.115,staging5.icac.gov.pg
35.213.134.115,staging6.icac.gov.pg
35.213.134.115,staging3.icac.gov.pg
35.213.134.115,staging5.icac.gov.pg
35.213.134.115,staging4.icac.gov.pg
35.213.134.115,icac.gov.pg
35.213.134.115,staging3.icac.gov.pg
35.213.134.115,staging4.icac.gov.pg
35.213.134.115,staging6.icac.gov.pg
35.213.134.115,staging6.icac.gov.pg
35.213.134.115,staging5.icac.gov.pg
35.213.169.129,dherst.gov.pg
35.213.169.129,hams.dherst.gov.pg
35.213.169.129,helpdesk.dherst.gov.pg
35.213.169.129,hub.dherst.gov.pg
35.213.169.129,intra1.dherst.gov.pg
35.213.169.129,ipnguams.dherst.gov.pg
35.213.169.129,intranet.dherst.gov.pg
35.213.169.129,jpurity.dherst.gov.pg
35.213.169.129,mock.dherst.gov.pg
35.213.169.129,pulse.dherst.gov.pg
35.213.169.129,pmsis.dherst.gov.pg
35.213.169.129,qar.dherst.gov.pg
35.213.169.129,registry.dherst.gov.pg
35.213.169.129,traininghub.dherst.gov.pg
35.213.169.129,extranet.dherst.gov.pg
35.213.169.129,web.dherst.gov.pg
35.213.169.129,mock.dherst.GOV.pg
35.213.169.129,dherst.gov.pg
35.213.169.129,hams.dherst.gov.pg
35.213.169.129,ipnguams.dherst.gov.pg
35.213.169.129,helpdesk.dherst.gov.pg
35.213.169.129,mock.dherst.gov.pg
35.213.169.129,pulse.dherst.gov.pg
35.213.169.129,web.dherst.gov.pg
35.213.169.129,asset.dherst.gov.pg
35.213.169.129,autodiscover.dherst.gov.pg
35.213.169.129,extranet.dherst.gov.pg
35.213.169.129,dherst.gov.pg
35.213.169.129,hams.dherst.gov.pg
35.213.169.129,hrms.dherst.gov.pg
35.213.169.129,helpdesk.dherst.gov.pg
