ip_address,domain
34.2.27.24,portal.acpc.gov.ph
34.2.27.24,portal.acpc.gov.ph
34.2.27.24,aceportal2.acpc.gov.ph
34.2.130.233,staging.acpc.gov.ph
34.8.1.74,obopque.paranaquecity.gov.ph
34.8.1.74,online.paranaquecity.gov.ph
34.8.1.74,obopque.paranaquecity.gov.ph
34.8.1.74,online.paranaquecity.gov.ph
34.8.53.146,pcgg.gov.ph
43.129.58.105,situsjoker123.cmo.gensantos.gov.ph
43.129.58.105,www.situsjoker123.cmo.gensantos.gov.ph
34.8.201.30,adminonline.paranaquecity.gov.ph
34.8.201.30,adminpqueobo.paranaquecity.gov.ph
34.8.201.30,adminonline.paranaquecity.gov.ph
34.8.201.30,adminpqueobo.paranaquecity.gov.ph
120.28.14.227,online.tagumcity.gov.ph
120.28.14.229,tagumcity.gov.ph
120.28.14.230,tagumcity.gov.ph
120.28.14.227,tagumcity.gov.ph
120.28.14.230,tagumcity.gov.ph
120.28.53.16,cctr.bir.gov.ph
120.28.53.52,mx1.bir.gov.ph
120.28.53.54,mx1.bir.gov.ph
120.28.53.132,mail.pia.gov.ph
120.28.193.208,onlineservices.manolofortich.gov.ph
120.28.193.208,onlineservicestest.manolofortich.gov.ph
120.28.193.208,www.onlineservices.manolofortich.gov.ph
120.28.193.208,www.onlineservicestest.manolofortich.gov.ph
120.28.193.208,onlineservices.manolofortich.gov.ph
120.28.193.208,onlineservicestest.manolofortich.gov.ph
120.28.193.208,www.onlineservices.manolofortich.gov.ph
120.28.193.208,www.onlineservicestest.manolofortich.gov.ph
120.28.193.212,aip.manolofortich.gov.ph
120.28.193.212,bachelper.manolofortich.gov.ph
120.28.193.212,bis.manolofortich.gov.ph
120.28.193.212,bplosms.manolofortich.gov.ph
120.28.193.212,budget-utilization.manolofortich.gov.ph
120.28.193.212,business.manolofortich.gov.ph
120.28.193.212,citizenscharter.manolofortich.gov.ph
120.28.193.212,idcard.manolofortich.gov.ph
120.28.193.212,mfwms.manolofortich.gov.ph
120.28.193.212,legislativetracker.manolofortich.gov.ph
120.28.193.212,onlineservices.manolofortich.gov.ph
120.28.193.212,ojt.manolofortich.gov.ph
120.28.193.212,bq.manolofortich.gov.ph
120.28.193.212,projects.manolofortich.gov.ph
120.28.193.212,scanflow.manolofortich.gov.ph
120.28.193.212,senior.manolofortich.gov.ph
120.28.193.212,tis.manolofortich.gov.ph
120.28.193.212,wellness.manolofortich.gov.ph
