ip_address,domain
44.195.12.235,mohtasibsindh.gov.pk
111.68.96.150,ngp.parc.gov.pk
111.68.97.64,111.68.97.64.hec.gov.pk
111.68.97.65,111.68.97.65.hec.gov.pk
111.68.97.67,111.68.97.67.hec.gov.pk
111.68.97.68,111.68.97.68.hec.gov.pk
111.68.97.69,111.68.97.69.hec.gov.pk
111.68.97.71,111.68.97.71.hec.gov.pk
111.68.97.72,111.68.97.72.hec.gov.pk
111.68.97.73,111.68.97.73.hec.gov.pk
111.68.97.74,111.68.97.74.hec.gov.pk
111.68.97.74,nms.hec.gov.pk
111.68.97.75,111.68.97.75.hec.gov.pk
111.68.97.76,111.68.97.76.hec.gov.pk
111.68.97.77,111.68.97.77.hec.gov.pk
111.68.97.77,111.68.97.77.hec.gov.pk
111.68.97.79,111.68.97.79.hec.gov.pk
111.68.97.82,111.68.97.82.hec.gov.pk
111.68.97.82,111.68.97.82.hec.gov.pk
111.68.97.80,111.68.97.80.hec.gov.pk
111.68.97.83,sslvpn.hec.gov.pk
111.68.97.83,111.68.97.83.hec.gov.pk
111.68.97.84,111.68.97.84.hec.gov.pk
111.68.97.82,dlvpn.hec.gov.pk
111.68.97.85,111.68.97.85.hec.gov.pk
111.68.97.83,sslvpn.hec.gov.pk
111.68.97.85,publications.hec.gov.pk
111.68.97.85,urss.hec.gov.pk
111.68.97.87,111.68.97.87.hec.gov.pk
111.68.97.87,111.68.97.87.hec.gov.pk
111.68.97.88,111.68.97.88.hec.gov.pk
111.68.97.89,111.68.97.89.hec.gov.pk
111.68.97.90,111.68.97.90.hec.gov.pk
111.68.97.91,111.68.97.91.hec.gov.pk
111.68.97.94,111.68.97.94.hec.gov.pk
111.68.97.93,111.68.97.93.hec.gov.pk
111.68.97.95,111.68.97.95.hec.gov.pk
111.68.97.130,gsc1.sgs-suparco.gov.pk
111.68.97.130,sgs-suparco.gov.pk
111.68.97.135,disasterwatch.sgs-suparco.gov.pk
111.68.98.122,guestportal.hec.gov.pk
111.68.98.122,www.guestportal.hec.gov.pk
111.68.98.123,sup.hec.gov.pk
111.68.98.123,sup.hec.gov.pk
111.68.98.126,guestportal.hec.gov.pk
111.68.98.126,www.guestportal.hec.gov.pk
111.68.100.0,hec.gov.pk
111.68.100.1,hec.gov.pk
111.68.100.2,hec.gov.pk
111.68.100.3,hec.gov.pk
111.68.100.4,hec.gov.pk
111.68.100.4,isbmcu.hec.gov.pk
111.68.100.5,hec.gov.pk
111.68.100.6,hec.gov.pk
111.68.100.6,hec.gov.pk
111.68.100.8,hec.gov.pk
111.68.100.8,streaming.hec.gov.pk
111.68.100.9,hec.gov.pk
111.68.100.10,hec.gov.pk
111.68.100.12,hec.gov.pk
111.68.100.12,hec.gov.pk
111.68.100.13,hec.gov.pk
111.68.100.14,hec.gov.pk
111.68.100.15,hec.gov.pk
111.68.100.16,hec.gov.pk
111.68.100.16,hec.gov.pk
111.68.100.11,hec.gov.pk
111.68.100.17,hec.gov.pk
111.68.100.17,hec.gov.pk
111.68.100.18,hec.gov.pk
111.68.100.19,hec.gov.pk
111.68.100.22,hec.gov.pk
111.68.100.22,hec.gov.pk
111.68.100.23,hec.gov.pk
111.68.100.23,hec.gov.pk
111.68.100.25,hec.gov.pk
111.68.100.25,hec.gov.pk
