ip_address,domain
211.0.35.91,vpn-tokio.msz.gov.pl
211.0.35.92,vpn-tokio.msz.gov.pl
2a00:d5c0:10:10::1:100,mail.kielce.wios.gov.pl
2a00:d5c0:10:10::d:1,mail.kielce.wios.gov.pl
141.11.189.28,o1.ptr7111.nfosigw.gov.pl
43.132.205.118,pop.kielcemiasto.pinb.gov.pl
84.10.27.42,local.nck.gov.pl
84.10.27.42,local.nck.gov.pl
84.10.27.42,local.nck.gov.pl
84.10.27.42,nck.gov.pl
84.10.27.43,mx.nck.gov.pl
84.10.27.43,_dmarc.mx.nck.gov.pl
84.10.27.43,_mta-sts.mx.nck.gov.pl
84.10.27.43,mta-sts.mx.nck.gov.pl
84.10.27.43,mx.nck.gov.pl
84.10.27.43,nck.gov.pl
84.10.27.45,ezd.nck.gov.pl
2a02:2680:6:7::80,bip.mazowsze.witd.gov.pl
2a02:2680:6:7::80,www.bip.mazowsze.witd.gov.pl
2a02:26f0:60:29e::743d,airwatchseg.mos.gov.pl
2a02:26f0:60:29e::743d,bdo-rejestr.mos.gov.pl
2a02:26f0:60:29e::743d,bdo.mos.gov.pl
2a02:26f0:60:29e::743d,rejestr-bdo.mos.gov.pl
2a02:26f0:60:29e::743d,jap-bdo.mos.gov.pl
2a02:26f0:60:29e::743d,test-bdo.mos.gov.pl
2a02:26f0:60:29e::743d,um-bdo.mos.gov.pl
2a02:26f0:60:29e::743d,www.bdo.mos.gov.pl
2a02:26f0:6b:18a::743d,airwatchseg.mos.gov.pl
2a02:26f0:6b:18a::743d,bdo-rejestr.mos.gov.pl
2a02:26f0:6b:18a::743d,bdo.mos.gov.pl
2a02:26f0:6b:18a::743d,rejestr-bdo.mos.gov.pl
2a02:26f0:6b:18a::743d,jap-bdo.mos.gov.pl
2a02:26f0:6b:18a::743d,test-bdo.mos.gov.pl
2a02:26f0:6b:18a::743d,um-bdo.mos.gov.pl
2a02:26f0:6b:18a::743d,www.bdo.mos.gov.pl
2a02:26f0:f3:18a::743d,bdo-rejestr.mos.gov.pl
2a02:26f0:f3:18a::743d,airwatchseg.mos.gov.pl
2a02:26f0:f3:18a::743d,bdo.mos.gov.pl
2a02:26f0:f3:18a::743d,rejestr-bdo.mos.gov.pl
2a02:26f0:f3:18a::743d,jap-bdo.mos.gov.pl
2a02:26f0:f3:18a::743d,test-bdo.mos.gov.pl
2a02:26f0:f3:18a::743d,www.bdo.mos.gov.pl
2a02:26f0:f3:18a::743d,um-bdo.mos.gov.pl
141.101.90.96,bezpieczenstwo.krus.gov.pl
2a02:26f0:11a:19f::743d,airwatchseg.mos.gov.pl
2a02:26f0:11a:19f::743d,bdo-rejestr.mos.gov.pl
2a02:26f0:11a:19f::743d,bdo.mos.gov.pl
2a02:26f0:11a:19f::743d,jap-bdo.mos.gov.pl
2a02:26f0:11a:19f::743d,rejestr-bdo.mos.gov.pl
2a02:26f0:11a:19f::743d,test-bdo.mos.gov.pl
2a02:26f0:11a:19f::743d,um-bdo.mos.gov.pl
2a02:26f0:11a:19f::743d,www.bdo.mos.gov.pl
