ip_address,domain
139.162.17.173,gov.pn
139.162.17.173,legislation.gov.pn
139.162.17.173,telecom.gov.pn
198.49.23.144,pitcairn.gov.pn
198.49.23.144,pitcairn.gov.pn
198.49.23.144,pitcairn.gov.pn
198.49.23.145,pitcairn.gov.pn
198.49.23.145,pitcairn.gov.pn
198.49.23.145,pitcairn.gov.pn
185.27.134.111,stamps.gov.pn
198.185.159.144,pitcairn.gov.pn
198.185.159.144,pitcairn.gov.pn
198.185.159.144,pitcairn.gov.pn
18.133.72.105,immigration.gov.pn
198.185.159.145,pitcairn.gov.pn
198.185.159.145,pitcairn.gov.pn
198.185.159.145,pitcairn.gov.pn
