ip_address,domain
2a02:26f0:60:28f::fa20,www.resultados2024.azores.gov.pt
2a02:26f0:60:28f::fa20,eleicoes.mai.gov.pt
2a02:26f0:60:28f::fa20,sg.mai.gov.pt
2a02:26f0:60:28f::fa20,recenseamento.mai.gov.pt
2a02:26f0:60:28f::fa20,siar.mai.gov.pt
2a02:26f0:60:28f::fa20,sigre.mai.gov.pt
2a02:26f0:60:28f::fa20,pu-jjksdfdfj.sg.mai.gov.pt
2a02:26f0:60:28f::fa20,st-jjksdfdfj.sg.mai.gov.pt
2a02:26f0:60:28f::fa20,votoantecipado.mai.gov.pt
2a02:26f0:60:28f::fa20,www.eleicoes.mai.gov.pt
2a02:26f0:60:28f::fa20,www.legislativas2022.mai.gov.pt
2a02:26f0:60:28f::fa20,www.legislativas2024.mai.gov.pt
2a02:26f0:60:28f::fa20,www.paep.sg.mai.gov.pt
2a02:26f0:60:28f::fa20,www.pave.mai.gov.pt
2a02:26f0:60:28f::fa20,www.pave.sg.mai.gov.pt
2a02:26f0:60:28f::fa20,www.portaldoeleitor.mai.gov.pt
2a02:26f0:60:28f::fa20,www.recenseamento.mai.gov.pt
2a02:26f0:60:28f::fa20,www.regionais2023.mai.gov.pt
2a02:26f0:60:28f::fa20,www.regionais2024.mai.gov.pt
2a02:26f0:60:28f::fa20,www.siar-az.mai.gov.pt
2a02:26f0:60:28f::fa20,www.sg.mai.gov.pt
2a02:26f0:60:28f::fa20,www.siar.mai.gov.pt
2a02:26f0:60:28f::fa20,www.sigaae.mai.gov.pt
2a02:26f0:60:28f::fa20,www.sigre.mai.gov.pt
2a02:26f0:60:28f::fa20,www.votoantecipado.mai.gov.pt
84.16.252.88,www.siav.espap.gov.pt
2a02:26f0:6b:18a::fa20,www.resultados2024.azores.gov.pt
2a02:26f0:6b:18a::fa20,pu-jjksdfdfj.sg.mai.gov.pt
2a02:26f0:6b:18a::fa20,eleicoes.mai.gov.pt
2a02:26f0:6b:18a::fa20,recenseamento.mai.gov.pt
2a02:26f0:6b:18a::fa20,sg.mai.gov.pt
2a02:26f0:6b:18a::fa20,siar.mai.gov.pt
2a02:26f0:6b:18a::fa20,sigre.mai.gov.pt
2a02:26f0:6b:18a::fa20,st-jjksdfdfj.sg.mai.gov.pt
2a02:26f0:6b:18a::fa20,votoantecipado.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.eleicoes.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.legislativas2022.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.legislativas2024.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.paep.sg.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.pave.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.pave.sg.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.portaldoeleitor.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.recenseamento.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.regionais2023.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.regionais2024.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.sg.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.siar-az.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.siar.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.sigaae.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.sigre.mai.gov.pt
2a02:26f0:6b:18a::fa20,www.votoantecipado.mai.gov.pt
2a02:26f0:f3:18a::fa20,www.resultados2024.azores.gov.pt
2a02:26f0:f3:18a::fa20,eleicoes.mai.gov.pt
2a02:26f0:f3:18a::fa20,pu-jjksdfdfj.sg.mai.gov.pt
