ip_address,domain
141.0.177.131,miac.samregion.ru
141.0.177.131,support.miac.samregion.ru
141.0.177.135,mail.miac.samregion.ru
141.0.177.148,mednet.miac.samregion.ru
141.0.177.163,asterisk-1.miac.samregion.ru
141.0.177.170,racheika.miac.samregion.ru
141.0.177.170,bchercrb.miac.samregion.ru
141.0.177.170,bcrb.miac.samregion.ru
141.0.177.170,best-electro.miac.samregion.ru
141.0.177.170,chapcgb.miac.samregion.ru
141.0.177.170,racheika.miac.samregion.ru
141.0.177.170,skgb.miac.samregion.ru
141.0.177.170,syzsp.miac.samregion.ru
141.0.177.170,sond.miac.samregion.ru
141.0.177.170,tolsp3.miac.samregion.ru
141.0.177.182,r01.miac.samregion.ru
141.0.177.173,ereg.miac.samregion.ru
141.0.177.182,r01.miac.samregion.ru
141.0.177.190,coordinator.miac.samregion.ru
141.0.177.183,kadry.miac.samregion.ru
141.0.182.166,edu.sui.fsin.gov.ru
141.0.182.166,edu.sui.fsin.gov.ru
141.0.182.166,edu.sui.fsin.gov.ru
141.0.182.167,bbb.sui.fsin.gov.ru
141.0.182.167,bbb.sui.fsin.gov.ru
141.0.182.167,bbb.sui.fsin.gov.ru
141.0.182.171,bbb2.sui.fsin.gov.ru
141.0.182.171,bbb2.sui.fsin.gov.ru
141.0.182.171,bbb2.sui.fsin.gov.ru
141.8.194.164,gp210.mos.ru
141.101.228.53,m.arbitr.ru
141.101.228.53,pda.arbitr.ru
141.101.228.230,mes-physicon.mos.ru
141.101.228.230,mes-physicon.mos.ru
141.105.67.76,cabinet.minstroyrf.gov.ru
141.105.70.180,mos.ru
141.105.71.50,forum.is.mos.ru
34.65.223.160,nalog.gov.ru
34.65.223.160,tax.gov.ru
34.65.223.160,www.tax.gov.ru
141.147.107.174,nalog.gov.ru
141.147.107.174,tax.gov.ru
141.147.107.174,www.tax.gov.ru
93.93.89.247,minfin.gov.ru
93.93.94.178,minfin.gov.ru
186.2.163.36,kchr.ru
186.2.163.36,www.kchr.ru
186.2.163.36,kchr.ru
186.2.163.36,www.kchr.ru
34.76.31.186,kremlin.ru
23.32.38.139,www.detsad72.krsl.gov.spb.ru
87.103.130.37,mail38.fssp.gov.ru
87.103.170.44,mail.04.mchs.gov.ru
87.103.170.184,04.rospotrebnadzor.ru
87.103.170.184,04.rospotrebnadzor.ru
87.103.170.184,04.rospotrebnadzor.ru
87.103.171.57,04.rospotrebnadzor.ru
87.103.171.143,mail04.fssp.gov.ru
85.15.186.14,mail72.fssp.gov.ru
85.15.186.14,mail72.fssp.gov.ru
87.117.20.130,61.rospotrebnadzor.ru
87.117.26.164,mail61.fssp.gov.ru
87.117.44.116,mail.voda.gov.ru
87.117.44.116,mail.voda.gov.ru
34.91.65.245,mosreg.ru
35.187.166.171,kremlin.ru
85.28.199.182,kamchatka.gov.ru
85.30.198.195,mosedo.mos.ru
84.42.6.2,mail69.fssp.gov.ru
84.42.6.2,mail69.fssp.gov.ru
84.42.63.188,mail.32.mchs.gov.ru
84.42.64.150,ispo.ac.gov.ru
84.42.64.157,rc.ac.gov.ru
84.42.64.153,pm.ac.gov.ru
84.42.82.98,r57.fssp.gov.ru
84.42.88.198,dap.gov.ru
84.42.88.198,lks.dap.gov.ru
84.42.88.198,dap.gov.ru
84.42.88.199,dap.gov.ru
84.42.88.199,dap.gov.ru
84.42.88.199,lks.dap.gov.ru
84.42.98.96,ngate00.rosreestr.gov.ru
84.42.103.189,gossluzhba.gov.ru
84.42.105.18,registratura.eao.ru
84.42.105.19,registratura.eao.ru
84.42.111.137,cdep.ru
84.42.111.137,iac.cdep.ru
84.42.111.137,isp.iac.cdep.ru
84.42.111.137,www.cdep.ru
84.42.111.138,cdep.ru
84.42.111.138,10aas.arbitr.ru
84.42.111.138,www.cdep.ru
