ip_address,domain
43.132.205.118,mail.yego.gov.rw
41.74.165.102,testing.gov.rw
41.74.165.232,bnr.rw
41.74.165.232,www.bnr.rw
41.74.166.58,mail.ippis.gov.rw
41.74.166.58,mail.ippis.gov.rw
41.74.166.58,skills.mifotra.gov.rw
41.74.166.58,training.mifotra.gov.rw
41.74.166.77,smtp.nec.gov.rw
41.74.166.78,comelena.gov.rw
41.74.166.78,mail.comelena.gov.rw
41.74.166.78,www.comelena.gov.rw
41.74.166.85,recruitment.oag.gov.rw
41.74.166.85,hrms.oag.gov.rw
41.74.166.85,pms.oag.gov.rw
41.74.166.85,recruitment.oag.gov.rw
41.74.166.85,survey.oag.gov.rw
41.74.166.152,mail.primature.gov.rw
41.74.167.3,vpn.minecofin.gov.rw
41.74.167.3,webvpn.minecofin.gov.rw
41.74.167.2,mail.minecofin.gov.rw
41.74.167.4,dad.minecofin.gov.rw
41.74.167.4,audit.minecofin.gov.rw
41.74.167.4,dad.minecofin.gov.rw
41.74.167.4,dms.minecofin.gov.rw
41.74.167.4,intranet.minecofin.gov.rw
41.74.167.4,kwibuka.minecofin.gov.rw
41.74.167.4,minecofin.gov.rw
41.74.167.4,smartfms.minecofin.gov.rw
41.74.167.5,www.devpartners.gov.rw
41.74.167.5,minecofin.gov.rw
41.74.167.5,devpartners.gov.rw
41.74.167.5,vision2050.minecofin.gov.rw
41.74.167.5,www.minecofin.gov.rw
41.74.167.6,smtpgw.minecofin.gov.rw
41.74.167.29,impfura.ombudsman.gov.rw
41.74.167.6,webmail.minecofin.gov.rw
41.74.167.30,mail1.ombudsman.gov.rw
41.74.167.30,mail1.ombudsman.gov.rw
41.74.167.29,ingagi.ombudsman.gov.rw
41.74.167.74,mail.rra.gov.rw
41.74.167.83,beta.rssb.rw
41.74.167.83,mail.rssb.rw
41.74.167.83,beta.rssb.rw
41.74.167.83,www.beta.rssb.rw
41.74.167.84,callcenter.rssb.rw
41.74.167.84,online.rssb.rw
41.74.167.84,callcenter.rssb.rw
41.74.167.85,rssb.rw
41.74.167.84,online.rssb.rw
41.74.167.85,www.rssb.rw
41.74.167.85,www.rssb.rw
41.74.167.85,rssb.rw
41.74.167.85,www.rssb.rw
41.74.167.92,svr-xch.mininfra.gov.rw
41.74.167.92,svr-xch.mininfra.gov.rw
41.74.167.131,mail.presidency.gov.rw
41.74.167.132,mail.gov.rw
41.74.167.133,mail.rg.gov.rw
41.74.167.196,imisrwanda.gov.rw
41.74.167.196,imisrwanda.gov.rw
41.74.167.196,www.imisrwanda.gov.rw
41.74.167.198,knownet.statistics.gov.rw
41.74.167.83,www.beta.rssb.rw
41.74.167.241,mail.primature.gov.rw
41.74.168.2,marks.rsb.gov.rw
41.74.168.2,www.marks.rsb.gov.rw
41.74.168.2,marks.rsb.gov.rw
41.74.168.2,www.marks.rsb.gov.rw
41.74.168.4,portal.rsb.gov.rw
41.74.168.4,rsb.gov.rw
41.74.168.4,www.portal.rsb.gov.rw
41.74.168.42,mail.traffic.police.gov.rw
41.74.170.34,nrl-prms.rbc.gov.rw
41.74.170.34,recency.rbc.gov.rw
41.74.170.34,spirtdashboard.rbc.gov.rw
41.74.170.34,www.recency.rbc.gov.rw
41.74.170.34,nrl-prms.rbc.gov.rw
41.74.170.34,recency.rbc.gov.rw
41.74.170.34,www.recency.rbc.gov.rw
41.74.170.34,recency.rbc.gov.rw
41.74.170.34,spirtdashboard.rbc.gov.rw
41.74.170.34,www.recency.rbc.gov.rw
41.74.170.35,ept.rbc.gov.rw
41.74.170.35,hts.rbc.gov.rw
41.74.170.35,ept.rbc.gov.rw
41.74.170.35,hts.rbc.gov.rw
41.74.170.35,hts.rbc.gov.rw
41.74.170.35,ept.rbc.gov.rw
41.74.170.35,vldashboard.rbc.gov.rw
41.74.170.35,vlsms.rbc.gov.rw
41.74.170.35,www.ept.rbc.gov.rw
41.74.170.35,www.vldashboard.rbc.gov.rw
41.74.170.35,www.vlsms.rbc.gov.rw
41.74.170.37,vldashboard.rbc.gov.rw
41.74.170.37,vlsms.rbc.gov.rw
41.74.170.37,lis-support.rbc.gov.rw
41.74.170.37,vldashboard.rbc.gov.rw
41.74.170.37,vldashboard.rbc.gov.rw
41.74.170.37,lis-support.rbc.gov.rw
41.74.170.37,vlsms.rbc.gov.rw
41.74.170.82,mail.nid.gov.rw
41.74.170.83,crvs.nida.gov.rw
41.74.170.83,crvs.nida.gov.rw
41.74.170.84,www.zammad.nida.gov.rw
41.74.170.84,zammad.nida.gov.rw
41.74.170.86,npr.nida.gov.rw
41.74.170.86,www.npr.nida.gov.rw
41.74.170.86,nida.gov.rw
41.74.170.86,npr.nida.gov.rw
41.74.170.86,nprapi.nida.gov.rw
41.74.170.86,www.npr.nida.gov.rw
41.74.170.86,www.nprapi.nida.gov.rw
41.74.170.130,maproom.meteorwanda.gov.rw
41.74.170.132,alerts.meteorwanda.gov.rw
41.74.172.11,ihris.moh.gov.rw
41.74.172.31,nlc.gov.rw
41.74.172.31,tsc.gov.rw
41.74.172.31,www.tsc.gov.rw
41.74.172.32,businesslicenses.gov.rw
41.74.172.32,www.businesslicenses.gov.rw
41.74.172.35,cdf.gov.rw
41.74.172.35,www.cdf.gov.rw
41.74.172.37,orinfor.gov.rw
41.74.172.37,www.orinfor.gov.rw
41.74.172.54,m.gov.rw
41.74.172.54,srvr.gov.rw
41.74.172.70,www.arpms.rab.gov.rw
41.74.172.70,arpms.rab.gov.rw
41.74.172.73,cancerregistry.rbc.gov.rw
41.74.172.73,cancerregistry.rbc.gov.rw
41.74.172.73,cancerregistry.rbc.gov.rw
41.74.172.75,rwandanationalarchives.gov.rw
41.74.172.91,emr.moh.gov.rw
41.74.172.92,cbhi.moh.gov.rw
41.74.172.92,pbf.moh.gov.rw
41.74.172.92,www.pbf.moh.gov.rw
41.74.172.100,crvs.nida.gov.rw
41.74.172.102,mail.odas.gov.rw
41.74.172.100,nci.crvs.nida.gov.rw
41.74.172.102,mail.odas.gov.rw
41.74.172.102,odas.gov.rw
41.74.172.173,api.gacaca.minubumwe.gov.rw
41.74.172.173,gacaca.minubumwe.gov.rw
41.74.172.190,odasi.ombudsman.gov.rw
41.74.172.190,www.odasi.ombudsman.gov.rw
41.74.172.190,edrms.ombudsman.gov.rw
41.74.172.190,ibyiza.ombudsman.gov.rw
41.74.172.190,ingagi1.ombudsman.gov.rw
41.74.172.190,odasi.ombudsman.gov.rw
41.74.172.190,uhy.ombudsman.gov.rw
41.74.172.190,www.edrms.ombudsman.gov.rw
41.74.172.190,www.ibyiza.ombudsman.gov.rw
41.74.172.190,www.odasi.ombudsman.gov.rw
41.74.172.190,www.uhy.ombudsman.gov.rw
41.74.173.75,mail.police.gov.rw
41.74.173.92,mail.moh.gov.rw
41.74.174.115,test.emr.moh.gov.rw
41.74.175.7,mail1.state.gov.rw
41.74.175.8,mail2.state.gov.rw
41.74.175.8,mail2.state.gov.rw
41.74.175.21,mail.state.gov.rw
41.186.0.238,mail.ndis.gov.rw
41.186.6.218,mail.wasac.rw
41.186.6.218,wasac.rw
41.186.6.219,dev.api.wasac.rw
41.186.6.219,wasac.rw
41.186.6.220,api.reg.rw
41.186.6.220,dev.api.reg.rw
41.186.6.220,epaymentadmin.wasac.rw
41.186.6.222,mmt.wasac.rw
41.186.6.221,connection.wasac.rw
41.186.6.220,epayment.wasac.rw
41.186.6.222,mmtadmin.wasac.rw
41.186.6.222,mmtapi.wasac.rw
41.186.6.222,mmt.wasac.rw
41.186.6.222,ebilling.wasac.rw
41.186.6.222,mmtapi.wasac.rw
41.186.6.222,ebillingapp.wasac.rw
41.186.6.222,mmtadmin.wasac.rw
41.186.6.222,mmt.wasac.rw
41.186.6.222,mmtadmin.wasac.rw
41.186.6.222,mmtapi.wasac.rw
41.186.6.222,ebillingadmin.wasac.rw
41.186.11.131,mubuzima.gov.rw
41.186.14.161,e-learning.rra.gov.rw
41.186.14.161,www.e-learning.rra.gov.rw
41.186.14.163,esd.rra.gov.rw
41.186.14.169,mail.rra.gov.rw
41.186.14.163,ebm1.rra.gov.rw
41.186.14.169,mail.rra.gov.rw
41.186.14.170,mail1.rra.gov.rw
41.186.14.170,mail1.rra.gov.rw
41.186.14.174,risk-analysis.rra.gov.rw
41.186.71.121,mobile-payments.wasac.rw
41.186.71.121,dashboard.wasac.rw
41.186.71.121,dashboard.wasac.rw
41.186.71.121,dashboard.wasac.rw
41.186.71.121,mobile-payments.wasac.rw
41.186.71.121,mobile-payments.wasac.rw
41.186.71.124,ebmapi.wasac.rw
