ip_address,domain
34.1.54.50,nca.gov.sa
34.1.54.50,aamn.nca.gov.sa
34.1.56.178,survey.mawani.gov.sa
34.1.56.178,survey.modon.gov.sa
34.1.56.178,survey.ncpd.gov.sa
34.1.56.178,survey.mawani.gov.sa
34.1.56.178,survey.ncpd.gov.sa
34.1.56.178,survey.ncpd.gov.sa
34.1.56.178,survey.redf.gov.sa
34.1.59.202,cms.ims.hrsd.gov.sa
34.1.57.154,store.talatschool.edu.sa
34.1.57.154,store.talatschool.edu.sa
34.1.57.234,nusukqiyas.haj.gov.sa
2a00:1560:1a::3,chi.gov.sa
2a00:f580:1001:5000::30,ipa.edu.sa
44.194.51.243,sns.edu.sa
44.194.51.243,www.sns.edu.sa
34.13.74.33,alakhutah.dofc.edu.sa
84.8.96.216,eservices.ncw.gov.sa
84.8.104.70,fatiha-dashboard.prh.gov.sa
84.8.104.70,fatiha.prh.gov.sa
84.8.104.70,fatiha-dashboard.prh.gov.sa
84.8.104.70,fatiha.prh.gov.sa
84.8.104.70,quran.prh.gov.sa
84.8.104.70,quran.prh.gov.sa
84.8.108.17,bpm.dsc.gov.sa
84.8.109.203,adi.edu.sa
84.8.109.203,adi.edu.sa
84.8.116.25,yuwd.gov.sa
84.8.116.148,legalforum.pif.gov.sa
84.8.116.148,proptech.pif.gov.sa
84.8.117.141,thameen.cma.gov.sa
84.8.119.32,sla.edu.sa
84.8.121.4,edugate.fayha.edu.sa
84.8.121.4,fayha.edu.sa
84.8.121.54,jobs.sla.edu.sa
84.8.122.67,fayha.edu.sa
34.18.25.123,n8n.ebs.edu.sa
34.18.101.23,blog.matc.edu.sa
34.18.101.23,deletion.matc.edu.sa
34.18.101.23,images.matc.edu.sa
34.18.101.23,matc.edu.sa
34.18.101.23,mta-sts.matc.edu.sa
34.18.101.23,www.blog.matc.edu.sa
34.18.101.23,www.deletion.matc.edu.sa
34.18.101.23,www.mta-sts.matc.edu.sa
34.18.101.23,www.images.matc.edu.sa
34.18.101.23,www.sitemap.matc.edu.sa
34.18.101.23,ar.me.edu.sa
34.18.101.23,sitemap.matc.edu.sa
34.18.101.23,deletion.me.edu.sa
34.18.101.23,en.me.edu.sa
34.18.101.23,images.me.edu.sa
34.18.101.23,me.edu.sa
34.18.101.23,mta-sts.me.edu.sa
34.18.101.23,sitemap.me.edu.sa
34.18.101.23,www.deletion.me.edu.sa
34.18.101.23,www.en.me.edu.sa
34.18.101.23,www.images.me.edu.sa
34.18.101.23,www.ar.me.edu.sa
34.18.101.23,www.mta-sts.me.edu.sa
34.18.101.23,www.sitemap.me.edu.sa
2a02:df1:14:1::50,Mewa.gov.sa
44.206.107.80,campusconnect.kaust.edu.sa
141.94.99.187,c1.classroom.riyadh.edu.sa
141.94.99.187,c1.classroom.riyadh.edu.sa
141.94.99.187,c1.classroom.riyadh.edu.sa
141.94.99.187,www.c1.classroom.riyadh.edu.sa
141.94.141.140,asas.edu.sa
141.94.141.140,jus.edu.sa
141.94.141.140,application-form.nasa.edu.sa
141.94.141.140,nasa.edu.sa
141.94.141.140,admissions.nasa.edu.sa
141.94.141.140,sub.nasa.edu.sa
141.94.141.140,www.application-form.nasa.edu.sa
141.94.141.140,www.sub.nasa.edu.sa
141.94.141.140,nischools.edu.sa
141.94.141.140,www.admissions.nasa.edu.sa
141.94.141.140,asas.edu.sa
141.94.141.140,jus.edu.sa
141.94.141.140,nasa.edu.sa
141.94.141.140,nischools.edu.sa
141.94.141.140,nischools.edu.sa
44.207.216.17,api.sns.edu.sa
141.94.218.62,eschool.alaws.edu.sa
141.94.218.62,lms.alaws.edu.sa
141.94.218.62,school.alaws.edu.sa
141.95.73.26,c5.classroom.riyadh.edu.sa
141.95.73.26,c5.classroom.riyadh.edu.sa
141.95.73.26,c5.classroom.riyadh.edu.sa
141.95.73.26,www.c5.classroom.riyadh.edu.sa
141.95.99.149,mena.edu.sa
84.16.230.229,vision.edu.sa
84.16.230.229,tanmeya.edu.sa
84.16.230.229,bates.vision.edu.sa
84.16.230.229,clinics.vision.edu.sa
84.16.230.229,demo2.vision.edu.sa
84.16.230.229,ils.vision.edu.sa
84.16.230.229,hr.vision.edu.sa
84.16.230.229,library.vision.edu.sa
84.16.230.229,mem.vision.edu.sa
84.16.230.229,selfservices.vision.edu.sa
84.16.230.229,support.vision.edu.sa
84.16.230.229,vit.edu.sa
84.16.230.242,elearning.vision.edu.sa
84.16.230.242,mail.vision.edu.sa
141.98.154.129,alhamidin.edu.sa
35.91.178.192,hrapp.alfarisschool.edu.sa
44.213.165.105,sns.edu.sa
44.213.165.105,www.sns.edu.sa
44.213.177.131,sns.edu.sa
44.213.177.131,www.sns.edu.sa
44.213.189.97,online.sns.edu.sa
44.213.245.70,online.sns.edu.sa
111.118.215.210,alsharqschool.edu.sa
111.118.215.210,cpcalendars.alsharqschool.edu.sa
111.118.215.210,cpanel.alsharqschool.edu.sa
111.118.215.210,cpcontacts.alsharqschool.edu.sa
111.118.215.210,ipsa.edu.sa
111.118.215.210,up.ipsa.edu.sa
111.118.215.210,test.ipsa.edu.sa
111.118.215.210,www.downloads.ipsa.edu.sa
111.118.215.210,www.test.ipsa.edu.sa
111.118.215.210,www.up.ipsa.edu.sa
111.118.215.210,alsharqschool.edu.sa
111.118.215.210,cpcalendars.alsharqschool.edu.sa
111.118.215.210,cpcontacts.alsharqschool.edu.sa
111.118.215.210,webdisk.alsharqschool.edu.sa
111.118.215.210,ipsa.edu.sa
111.118.215.210,test.ipsa.edu.sa
111.118.215.210,www.test.ipsa.edu.sa
111.118.215.210,cpcalendars.ipsa.edu.sa
111.118.215.210,cpanel.ipsa.edu.sa
111.118.215.210,ipsa.edu.sa
111.118.215.210,cpcontacts.ipsa.edu.sa
111.118.215.210,downloads.ipsa.edu.sa
111.118.215.210,test.ipsa.edu.sa
111.118.215.210,webmail.ipsa.edu.sa
111.118.215.210,up.ipsa.edu.sa
111.118.215.210,www.downloads.ipsa.edu.sa
111.118.215.210,www.test.ipsa.edu.sa
111.118.215.210,www.up.ipsa.edu.sa
111.118.215.210,webmail.alsharqschool.edu.sa
34.36.35.115,stage.nelp.gov.sa
34.36.35.115,myfuturex.nelc.gov.sa
44.217.161.11,dawhataljazeera.edu.sa
84.22.224.1,www.ageco.edu.sa
84.22.224.1,test.kfsc.edu.sa
84.22.224.1,swcc1.gov.sa
84.22.224.1,www.tic.gov.sa
84.22.224.162,mail.pacthm.gov.sa
84.22.224.163,smtp.ges.gov.sa
84.22.224.179,imap.ges.gov.sa
84.22.234.81,mx4.nca.gov.sa
84.22.234.99,ra2.nca.gov.sa
84.22.234.104,vidm.nca.gov.sa
84.22.234.80,mx3.nca.gov.sa
2a04:4e42:200::328,insight.kaust.edu.sa
2a04:4e42:400::328,insight.kaust.edu.sa
2a04:4e42:600::328,insight.kaust.edu.sa
34.36.186.166,looker.swa.gov.sa
43.205.5.2,nec.edu.sa
35.153.37.122,sns.edu.sa
35.154.191.99,lams.coejm.edu.sa
35.154.191.99,buraidahlams.coekhf.edu.sa
35.154.191.99,lams.coekhf.edu.sa
35.154.191.99,namaslams.coemf.edu.sa
35.154.191.99,lams.coemf.edu.sa
35.154.191.99,lams.lmc.edu.sa
35.154.191.99,lams.lwdc.edu.sa
143.42.1.115,acs.edu.sa
143.42.1.115,jokercardca.acs.edu.sa
143.42.1.115,sto.acs.edu.sa
143.42.1.115,www.jokercardca.acs.edu.sa
143.42.1.115,www.sto.acs.edu.sa
84.32.84.0,1stconcept.edu.sa
84.32.84.3,apply.shtinstitute.edu.sa
84.32.84.4,fei.edu.sa
41.77.142.235,fol.edu.sa
41.77.142.235,mail.fol.edu.sa
41.77.142.235,fol.edu.sa
41.77.142.235,mail.fol.edu.sa
84.32.84.8,alamairit.edu.sa
