ip_address,domain
34.8.13.165,meeting.cloudhubs.smsb.gov.sd
84.16.240.70,aoif.gov.sd
84.16.240.70,mail.aoif.gov.sd
84.16.240.70,ns1.aoif.gov.sd
84.16.240.70,ns2.aoif.gov.sd
41.67.16.2,ns1.sri.gov.sd
41.67.35.18,agricgezira.gov.sd
41.78.109.185,mta1.tax.gov.sd
41.78.109.185,mta1.tax.gov.sd
41.78.109.185,testportal.tax.gov.sd
143.198.94.71,mraa.gov.sd
143.198.156.175,dev.erp.cor.gov.sd
143.198.156.175,erp.cor.gov.sd
143.198.156.175,training.cor.gov.sd
143.198.156.175,dev.erp.cor.gov.sd
143.198.156.175,erp.cor.gov.sd
143.198.156.175,training.cor.gov.sd
143.198.156.175,dev.erp.cor.gov.sd
143.198.156.175,erp.cor.gov.sd
143.198.156.175,training.cor.gov.sd
41.202.161.10,mail.maadin.gov.sd
41.209.123.29,auth.admission.gov.sd
41.209.123.29,auth.admission.gov.sd
41.209.123.29,auth.admission.gov.sd
41.209.123.30,cert.admission.gov.sd
41.209.123.30,cert.admission.gov.sd
184.75.221.146,darfurcenter.gov.sd
184.75.221.146,cpanel.darfurcenter.gov.sd
184.75.221.146,webdisk.darfurcenter.gov.sd
184.75.221.146,cpanel.eastdarfur.gov.sd
184.75.221.146,cpcalendars.eastdarfur.gov.sd
184.75.221.146,cpcontacts.eastdarfur.gov.sd
184.75.221.146,eastdarfur.gov.sd
184.75.221.146,webdisk.eastdarfur.gov.sd
184.75.221.146,webmail.eastdarfur.gov.sd
135.181.9.38,nilegate.gov.sd
135.181.9.38,nileeducation.gov.sd
135.181.9.38,www.nileplatform.nilegate.gov.sd
135.181.9.38,nilehealth.gov.sd
135.181.9.38,nileyouth.gov.sd
135.181.9.38,saas.gov.sd
135.181.9.38,saas.gov.sd.saas.gov.sd
135.181.9.38,www.cloud.saas.gov.sd
135.181.9.38,www.doc.saas.gov.sd
135.181.9.38,www.saas.gov.sd.saas.gov.sd
135.181.9.38,sdac.gov.sd
135.181.9.38,www.phpmyadmin.smsb.gov.sd
135.181.9.38,smsb.gov.sd
135.181.9.38,www.reg.smsb.gov.sd
135.181.9.38,www.simc.smsb.gov.sd
135.181.9.38,vtckosti.gov.sd
135.181.9.38,wnfin.gov.sd
135.181.9.38,wrc.gov.sd
135.181.9.38,www.test.wrc.gov.sd
135.181.9.38,ychpalace.gov.sd
135.181.9.38,bnzakat.gov.sd
135.181.9.38,autodiscover.era.gov.sd
135.181.9.38,cpcalendars.era.gov.sd
135.181.9.38,cpanel.era.gov.sd
135.181.9.38,era.gov.sd
135.181.9.38,cpcontacts.era.gov.sd
135.181.9.38,webdisk.era.gov.sd
135.181.9.38,webmail.era.gov.sd
135.181.9.38,cpanel.fnc.gov.sd
135.181.9.38,cpcalendars.fnc.gov.sd
135.181.9.38,cpcontacts.fnc.gov.sd
135.181.9.38,fnc.gov.sd
135.181.9.38,webdisk.fnc.gov.sd
135.181.9.38,geoportal.fnc.gov.sd
135.181.9.38,webmail.fnc.gov.sd
135.181.9.38,www.geoportal.fnc.gov.sd
135.181.9.38,autodiscover.gafe.gov.sd
135.181.9.38,cpanel.gafe.gov.sd
135.181.9.38,gafe.com.gafe.gov.sd
135.181.9.38,gafe.gov.sd
135.181.9.38,webmail.gafe.gov.sd
135.181.9.38,www.gafe.com.gafe.gov.sd
135.181.9.38,autodiscover.genf-nd.gov.sd
135.181.9.38,cpanel.genf-nd.gov.sd
135.181.9.38,cpcalendars.genf-nd.gov.sd
135.181.9.38,cpcontacts.genf-nd.gov.sd
135.181.9.38,webdisk.genf-nd.gov.sd
135.181.9.38,genf-nd.gov.sd
135.181.9.38,webmail.genf-nd.gov.sd
135.181.9.38,invest-sinnar.gov.sd
135.181.9.38,moern.gov.sd
135.181.9.38,nileagriculture.gov.sd
135.181.9.38,nileanimal.gov.sd
135.181.9.38,nileabohamed.gov.sd
135.181.9.38,nileatbara.gov.sd
135.181.9.38,webmail.nileatbara.gov.sd
135.181.9.38,nilebohaira.gov.sd
135.181.9.38,nilebrbr.gov.sd
135.181.9.38,cpanel.nileculture.gov.sd
135.181.9.38,nilecouncial.gov.sd
135.181.9.38,nileculture.gov.sd
135.181.9.38,cpcalendars.nileculture.gov.sd
135.181.9.38,webdisk.nileculture.gov.sd
135.181.9.38,niledamer.gov.sd
135.181.9.38,nilegate.gov.sd
135.181.9.38,nileeducation.gov.sd
135.181.9.38,nileplatform.nilegate.gov.sd
135.181.9.38,www.nileplatform.nilegate.gov.sd
135.181.9.38,nilehealth.gov.sd
135.181.9.38,nilematama.gov.sd
135.181.9.38,nileinvest.gov.sd
135.181.9.38,nileplaning.gov.sd
135.181.9.38,nileselectcommity.gov.sd
135.181.9.38,nileshendi.gov.sd
135.181.9.38,webmail.nileselectcommity.gov.sd
135.181.9.38,nilestrategi.gov.sd
135.181.9.38,nileyouth.gov.sd
135.181.9.38,nileyouth.gov.sd
135.181.9.38,nilesocial.gov.sd
135.181.9.38,www.cloud.saas.gov.sd
135.181.9.38,www.doc.saas.gov.sd
135.181.9.38,doc.saas.gov.sd
135.181.9.38,cloud.saas.gov.sd
135.181.9.38,saas.gov.sd.saas.gov.sd
135.181.9.38,www.cloud.saas.gov.sd
135.181.9.38,saas.gov.sd
135.181.9.38,www.doc.saas.gov.sd
135.181.9.38,www.saas.gov.sd.saas.gov.sd
135.181.9.38,sdac.gov.sd
