ip_address,domain
34.8.133.240,aiaas.poc.api.gov.sg
35.71.133.60,dev.gather.gov.sg
35.71.134.0,mylegacy.gov.sg
35.71.134.0,www.mylegacy.gov.sg
35.71.138.16,entry.gov.sg
35.71.138.16,entry.gov.sg
35.71.138.16,entry.gov.sg
35.71.139.24,stg.gather.gov.sg
34.8.207.118,ajs-uat.agc.gov.sg
34.8.207.118,ajs-uat.agc.gov.sg
34.8.250.6,gcapdev.aip.gov.sg
34.8.250.6,gcapdev.aip.gov.sg
34.8.250.6,gcapdev.aip.gov.sg
35.71.144.95,search.gov.sg
35.71.144.95,search.gov.sg
35.71.144.95,search.gov.sg
35.71.147.104,notarize.gov.sg
35.71.147.104,www.notarize.gov.sg
35.71.166.46,sit.gather.gov.sg
35.71.170.210,www.stack.gov.sg
35.71.170.210,developer.gov.sg
35.71.170.210,www.developer.gov.sg
35.71.170.210,stack.gov.sg
35.71.170.210,stack.gov.sg
35.71.170.210,www.stack.gov.sg
35.71.170.210,developer.tech.gov.sg
35.71.170.210,developer.tech.gov.sg
35.71.170.210,www.developer.tech.gov.sg
35.71.170.210,developer.tech.gov.sg
35.71.170.210,stack.gov.sg
35.71.172.107,uatcjts.judiciary.gov.sg
35.71.172.107,uatcjts.judiciary.gov.sg
35.71.177.91,singpass-dev.gov.sg
35.71.181.13,courts.gov.sg
35.71.181.13,www.courts.gov.sg
35.71.181.13,familyjusticecourts.gov.sg
35.71.181.13,judiciary.gov.sg
35.71.181.13,www.judiciary.gov.sg
35.71.181.13,www.singaporecourts.gov.sg
35.71.181.13,statecourts.gov.sg
35.71.181.13,sicc.gov.sg
35.71.181.13,supremecourt.gov.sg
35.71.181.13,www.statecourts.gov.sg
35.71.181.27,life.gov.sg
35.71.181.27,mylegacy.gov.sg
35.71.181.27,www.mylegacy.gov.sg
35.71.181.27,life.gov.sg
35.71.181.27,life.gov.sg
35.71.181.27,mylegacy.gov.sg
35.71.181.27,www.mylegacy.gov.sg
35.71.181.27,www.life.gov.sg
35.71.181.97,iras.gov.sg
35.71.181.97,iras.gov.sg
35.71.181.97,iras.gov.sg
35.71.182.14,dev.search.gov.sg
35.71.187.130,www.code.gov.sg
35.71.187.130,code.gov.sg
35.71.187.130,code.gov.sg
35.71.187.130,www.code.gov.sg
175.41.135.120,publickey.gvt-aig-nprd.d.container.stack.gov.sg
175.41.135.120,argocd.gvt-aig-nprd.d.container.stack.gov.sg
175.41.138.37,uat-eexam2.seab.gov.sg
175.41.139.193,app-pressify.apps.oc.stg.app.pressify.gov.sg
175.41.139.193,minio-pressify.apps.oc.stg.app.pressify.gov.sg
175.41.139.193,triton-pressify.apps.oc.stg.app.pressify.gov.sg
175.41.146.8,sms-stack.internal.ndi.gov.sg
175.41.148.38,gdc.airquality.nea.gov.sg
175.41.156.199,api01.park.hdb.gov.sg
175.41.156.199,api01.park.hdb.gov.sg
