ip_address,domain
66.102.132.74,shg.gov.sh
66.102.132.74,itsection.gov.sh
66.102.132.74,sthelenagov.gov.sh
66.102.132.74,itsection.gov.sh
66.102.132.74,shg.gov.sh
66.102.132.74,sthelenagov.gov.sh
10.0.4.2,jupiter.sainthelena.gov.sh
10.0.9.2,phealth.publichealth.gov.sh
197.221.14.50,audit.gov.sh
197.221.14.50,mail.audit.gov.sh
197.221.14.50,www.audit.gov.sh
197.221.14.50,audit.gov.sh
197.221.14.50,www.audit.gov.sh
197.221.14.50,mail.audit.gov.sh
197.221.14.50,audit.gov.sh
197.221.14.50,www.audit.gov.sh
137.74.207.154,cr.gov.sh
137.74.207.154,webmail.cr.gov.sh
137.74.207.154,www.cr.gov.sh
194.6.0.222,mail.police.gov.sh
194.6.0.222,nspol.police.gov.sh
194.6.1.14,economicdevelopment.gov.sh
194.6.1.50,mail.shgservices.gov.sh
194.6.1.50,nsservices.shgservices.gov.sh
194.6.1.107,ftp.gis-sthelena.gov.sh
194.6.1.107,www.gis-sthelena.gov.sh
194.6.1.114,enrd.gov.sh
194.6.1.114,nsenrd.enrd.gov.sh
194.6.1.203,ftp.education.gov.sh
194.6.1.203,ftp.education.gov.sh
194.6.1.211,sslvpn.sainthelena.gov.sh
194.6.1.212,fornet.sainthelena.gov.sh
194.6.1.214,webcache2.sainthelena.gov.sh
194.6.1.216,webcache1.sainthelena.gov.sh
194.6.1.218,mail.sainthelena.gov.sh
194.6.1.228,mail.sthelenabank.gov.sh
139.162.217.130,www.sainthelena.gov.sh
139.162.217.130,www.sainthelena.gov.sh
139.162.217.130,www.sainthelena.gov.sh
76.74.242.150,www.education.gov.sh
194.150.210.24,pluto.sainthelena.gov.sh
91.208.95.102,mail.postoffice.gov.sh
91.208.95.102,postoffice.gov.sh
91.232.198.74,www.sthelenacurrency.gov.sh
91.232.198.119,jupiter.sainthelena.gov.sh
91.232.198.119,sainthelena.gov.sh
91.232.198.121,pluto.sainthelena.gov.sh
91.232.198.121,pluto.sainthelena.gov.sh
91.232.198.122,shgf800.sainthelena.gov.sh
91.232.198.122,shgf800.sainthelena.gov.sh
91.232.198.146,phealth.publichealth.gov.sh
91.232.198.146,publichealth.gov.sh
91.232.198.146,mail.publichealth.gov.sh
91.232.198.146,phealth.publichealth.gov.sh
69.90.162.200,shg.gov.sh
69.90.162.200,sthelenagov.gov.sh
69.90.162.200,shg.gov.sh
69.90.162.200,sthelenagov.gov.sh
50.3.41.177,sainthelena.gov.sh
50.3.41.177,sainthelena.gov.sh
51.255.93.100,webmail.audit.gov.sh
51.255.93.100,www.audit.gov.sh
51.255.93.100,audit.gov.sh
185.94.116.72,www.sainthelena.gov.sh
195.59.133.138,hmrc.gov.sh
195.59.133.138,hmrc.gov.sh
195.59.133.138,nscus.hmrc.gov.sh
195.59.133.218,nsedu.education.gov.sh
