ip_address,domain
2a00:d440:7777:7777::5427:dfee,urednik.typo3.lamp.gov.si
84.20.224.162,furs.gov.si
84.20.224.162,agromet.mkgp.gov.si
84.20.224.162,spletni2.furs.gov.si
84.20.224.162,agromet.mkgp.gov.si
84.20.224.165,furs.gov.si
84.20.224.162,agromet.mko.gov.si
84.20.224.170,cebele.mkgp.gov.si
84.20.224.170,mkgp-crc.mkgp.gov.si
84.20.224.172,furs.gov.si
84.20.224.172,gis3.furs.gov.si
84.39.208.1,external-1-208.gov.si
84.39.208.2,external-2-208.gov.si
84.39.208.3,external-3-208.gov.si
84.39.208.4,external-4-208.gov.si
84.39.208.0,external-0-208.gov.si
84.39.208.5,external-5-208.gov.si
84.39.208.7,external-7-208.gov.si
84.39.208.6,external-6-208.gov.si
84.39.208.8,external-8-208.gov.si
84.39.208.9,external-9-208.gov.si
84.39.208.13,external-13-208.gov.si
84.39.208.14,external-14-208.gov.si
84.39.208.15,external-15-208.gov.si
84.39.208.16,external-16-208.gov.si
84.39.208.17,external-17-208.gov.si
84.39.208.18,external-18-208.gov.si
84.39.208.19,external-19-208.gov.si
84.39.208.20,external-20-208.gov.si
84.39.208.10,external-10-208.gov.si
84.39.208.21,external-21-208.gov.si
84.39.208.22,external-22-208.gov.si
84.39.208.23,external-23-208.gov.si
84.39.208.27,external-27-208.gov.si
84.39.208.25,external-25-208.gov.si
84.39.208.29,external-29-208.gov.si
84.39.208.30,external-30-208.gov.si
84.39.208.28,external-28-208.gov.si
84.39.208.31,external-31-208.gov.si
84.39.208.32,external-32-208.gov.si
84.39.208.34,external-34-208.gov.si
84.39.208.33,external-33-208.gov.si
84.39.208.35,external-35-208.gov.si
84.39.208.36,external-36-208.gov.si
84.39.208.37,external-37-208.gov.si
84.39.208.38,external-38-208.gov.si
84.39.208.26,external-26-208.gov.si
84.39.208.39,external-39-208.gov.si
84.39.208.42,external-42-208.gov.si
84.39.208.40,external-40-208.gov.si
84.39.208.45,external-45-208.gov.si
84.39.208.43,external-43-208.gov.si
84.39.208.46,external-46-208.gov.si
84.39.208.47,external-47-208.gov.si
84.39.208.48,external-48-208.gov.si
84.39.208.49,external-49-208.gov.si
84.39.208.50,external-50-208.gov.si
84.39.208.51,external-51-208.gov.si
84.39.208.44,external-44-208.gov.si
84.39.208.52,external-52-208.gov.si
84.39.208.53,external-53-208.gov.si
84.39.208.54,external-54-208.gov.si
84.39.208.55,external-55-208.gov.si
84.39.208.56,external-56-208.gov.si
84.39.208.57,external-57-208.gov.si
84.39.208.58,external-58-208.gov.si
84.39.208.59,external-59-208.gov.si
84.39.208.60,external-60-208.gov.si
84.39.208.61,external-61-208.gov.si
84.39.208.62,external-62-208.gov.si
84.39.208.63,external-63-208.gov.si
84.39.208.64,external-64-208.gov.si
84.39.208.66,external-66-208.gov.si
84.39.208.65,external-65-208.gov.si
84.39.208.67,external-67-208.gov.si
84.39.208.68,external-68-208.gov.si
84.39.208.69,external-69-208.gov.si
84.39.208.71,external-71-208.gov.si
84.39.208.72,external-72-208.gov.si
84.39.208.73,external-73-208.gov.si
84.39.208.74,external-74-208.gov.si
84.39.208.75,external-75-208.gov.si
84.39.208.76,external-76-208.gov.si
84.39.208.77,external-77-208.gov.si
84.39.208.78,external-78-208.gov.si
84.39.208.79,external-79-208.gov.si
84.39.208.80,external-80-208.gov.si
84.39.208.82,external-82-208.gov.si
84.39.208.83,external-83-208.gov.si
84.39.208.84,external-84-208.gov.si
84.39.208.85,external-85-208.gov.si
84.39.208.86,external-86-208.gov.si
84.39.208.87,external-87-208.gov.si
84.39.208.88,external-88-208.gov.si
84.39.208.89,external-89-208.gov.si
84.39.208.90,external-90-208.gov.si
84.39.208.91,external-91-208.gov.si
84.39.208.93,external-93-208.gov.si
84.39.208.94,external-94-208.gov.si
84.39.208.92,external-92-208.gov.si
84.39.208.96,external-96-208.gov.si
84.39.208.95,external-95-208.gov.si
84.39.208.98,external-98-208.gov.si
84.39.208.97,external-97-208.gov.si
84.39.208.99,external-99-208.gov.si
84.39.208.101,external-101-208.gov.si
84.39.208.100,external-100-208.gov.si
84.39.208.102,external-102-208.gov.si
84.39.208.103,external-103-208.gov.si
84.39.208.104,external-104-208.gov.si
84.39.208.106,external-106-208.gov.si
84.39.208.105,external-105-208.gov.si
84.39.208.107,external-107-208.gov.si
84.39.208.108,external-108-208.gov.si
84.39.208.109,external-109-208.gov.si
84.39.208.110,external-110-208.gov.si
84.39.208.111,external-111-208.gov.si
84.39.208.113,external-113-208.gov.si
84.39.208.112,external-112-208.gov.si
84.39.208.114,external-114-208.gov.si
84.39.208.115,external-115-208.gov.si
84.39.208.116,external-116-208.gov.si
84.39.208.117,external-117-208.gov.si
