ip_address,domain
2a04:f480:1::10:194,slovensko.sk
2a04:f480:1::10:194,www.slovensko.sk
2a04:f480:1::10:195,helpdesk.slovensko.sk
2a04:f480:1::10:196,kp.gov.sk
2a04:f480:1::10:196,www.kp.gov.sk
2a04:f480:1::10:197,prihlasenie.slovensko.sk
2a04:f480:1::10:198,formulare.slovensko.sk
2a04:f480:1::10:199,eformulare.slovensko.sk
2a04:f480:1::10:199,www.eformulare.slovensko.sk
2a04:f480:1::10:200,schranka.slovensko.sk
2a04:f480:1::10:200,www.schranka.slovensko.sk
2a04:f480:1::10:202,cuet.slovensko.sk
2a04:f480:1::10:202,www.cuet.slovensko.sk
2a04:f480:1::10:203,www.mail.slovensko.sk
2a04:f480:1::10:203,mail.slovensko.sk
193.87.13.148,autodiscover.health.gov.sk
193.122.8.42,nkod-test.slovensko.sk
193.122.8.42,nkod-test.slovensko.sk
23.55.51.171,www.reserves.gov.sk
81.88.128.158,mx2.gov.sk
10.97.10.200,itms2014.gov.sk
10.224.144.10,beta.test.slovensko.sk
10.224.144.10,svm-kuko-es.test.slovensko.sk
10.224.144.23,cnm-int.test.slovensko.sk
192.168.1.1,www.itms2014.gov.sk
45.147.44.45,mail.gov.sk
20.234.71.190,admin-test.navody.slovensko.sk
20.234.71.190,api-test.navody.slovensko.sk
20.234.71.190,api.navody.slovensko.sk
20.234.71.190,admin.navody.slovensko.sk
20.234.71.190,kyberportal.slovensko.sk
20.234.71.190,navody.slovensko.sk
20.234.71.190,oots.slovensko.sk
20.234.71.190,test.navody.slovensko.sk
20.234.71.190,test.oots.slovensko.sk
20.234.71.190,admin-test.navody.slovensko.sk
20.234.71.190,admin.navody.slovensko.sk
20.234.71.190,api-test.navody.slovensko.sk
20.234.71.190,api.navody.slovensko.sk
20.234.71.190,navody.slovensko.sk
20.234.71.190,test.navody.slovensko.sk
20.234.71.190,admin-dev.navody.slovensko.sk
20.234.71.190,api-dev.navody.slovensko.sk
20.234.71.190,dev.kyberportal.slovensko.sk
20.234.71.190,dev.oots.slovensko.sk
20.234.71.190,oots.slovensko.sk
20.234.71.190,dev.navody.slovensko.sk
20.234.71.190,kyberportal.slovensko.sk
20.234.71.190,test.oots.slovensko.sk
20.234.71.190,test.kyberportal.slovensko.sk
137.135.133.30,vulmstest.slovensko.sk
137.135.133.30,vulmstest.slovensko.sk
137.135.133.30,vulmstest.slovensko.sk
208.91.112.55,autodiscover.vlada.gov.sk
147.213.53.10,gw.education.gov.sk
147.213.53.10,gw.education.gov.sk
213.81.150.76,statoff.gov.sk
213.81.150.197,teleoff.gov.sk
213.81.150.203,pdp.gov.sk
4.208.221.226,metais-dev.slovensko.sk
4.208.221.226,metais-test.slovensko.sk
4.208.221.226,metais.slovensko.sk
4.208.221.226,metais-dev.slovensko.sk
4.208.221.226,metais.slovensko.sk
4.208.221.226,metais-test.slovensko.sk
4.245.242.209,metais-test.slovensko.sk
4.245.242.209,metais.slovensko.sk
159.60.133.11,xc.gov.sk
0.0.0.0,www.eurofondy.praca.gov.sk
90.176.8.84,statoff.gov.sk
90.176.13.8,statoff.gov.sk
90.176.13.9,statoff.gov.sk
90.176.13.15,statoff.gov.sk
90.176.13.16,statoff.gov.sk
90.176.13.17,statoff.gov.sk
90.176.13.18,statoff.gov.sk
90.176.13.20,statoff.gov.sk
90.176.13.22,statoff.gov.sk
90.176.13.24,statoff.gov.sk
90.176.13.25,statoff.gov.sk
90.176.13.27,statoff.gov.sk
90.176.13.28,statoff.gov.sk
90.176.13.29,statoff.gov.sk
90.176.13.30,statoff.gov.sk
90.176.13.31,statoff.gov.sk
90.176.13.33,statoff.gov.sk
90.176.13.36,statoff.gov.sk
90.176.13.35,statoff.gov.sk
90.176.13.37,statoff.gov.sk
90.176.13.39,statoff.gov.sk
90.176.13.43,statoff.gov.sk
90.176.13.46,statoff.gov.sk
90.176.13.48,statoff.gov.sk
90.176.13.52,statoff.gov.sk
90.176.13.54,statoff.gov.sk
90.176.13.57,statoff.gov.sk
90.176.13.51,statoff.gov.sk
90.176.13.58,statoff.gov.sk
185.113.44.1,portal.camp.slovensko.sk
185.113.44.1,portal.camp.slovensko.sk
185.113.44.1,portal.camp.slovensko.sk
185.113.44.2,cms.camp.slovensko.sk
185.113.44.2,cms.camp.slovensko.sk
185.113.44.2,cms.camp.slovensko.sk
185.113.44.3,swaggerhub.camp.slovensko.sk
185.113.44.3,swaggerhub.camp.slovensko.sk
185.113.44.3,swaggerhub.camp.slovensko.sk
185.113.44.4,elk.camp.slovensko.sk
185.113.44.4,elk.camp.slovensko.sk
185.113.44.4,elk.camp.slovensko.sk
185.113.44.5,swagger.camp.slovensko.sk
185.113.44.5,swagger.camp.slovensko.sk
185.113.44.5,swagger.camp.slovensko.sk
185.113.44.7,api.camp.slovensko.sk
185.113.44.7,devportal.camp.slovensko.sk
185.113.44.7,api.camp.slovensko.sk
185.113.44.7,devportal.camp.slovensko.sk
185.113.44.7,api.camp.slovensko.sk
185.113.44.8,devportal.camp.slovensko.sk
185.113.44.8,devportal.camp.slovensko.sk
185.113.44.9,beta.slovensko.sk
185.113.44.9,beta.slovensko.sk
185.113.44.9,beta.slovensko.sk
185.113.44.10,svmext.gov.sk
185.113.44.10,svmext.gov.sk
185.113.44.10,svmext.gov.sk
185.113.44.14,autodiscover.nases.gov.sk
185.113.44.14,email.nases.gov.sk
185.113.44.48,pdftoolbox.dev.slovensko.sk
185.113.44.48,pdftoolbox.prod.slovensko.sk
185.113.44.48,pdftoolbox.uat2.slovensko.sk
