ip_address,domain
34.29.149.245,slmet.gov.sl
34.29.149.245,slmet.gov.sl
34.35.189.1,adl.slmet.gov.sl
34.35.189.1,npm-aws.slmet.gov.sl
34.35.189.1,wis2.slmet.gov.sl
41.78.86.26,mail.slcaa.gov.sl
41.78.86.26,webmail.slcaa.gov.sl
41.78.87.21,mots.mohs.gov.sl
41.78.87.21,mots.mohs.gov.sl
41.78.87.21,www.mots.mohs.gov.sl
41.78.87.21,www.mots.mohs.gov.sl
41.78.87.21,mots.mohs.gov.sl
41.78.87.21,www.mots.mohs.gov.sl
41.78.87.28,www.sl-kpi-cc.mohs.gov.sl
41.78.87.28,sl-kpi-cc.mohs.gov.sl
41.78.87.28,sl-kpi-cc.mohs.gov.sl
41.78.87.28,www.sl-kpi-cc.mohs.gov.sl
41.78.87.28,kc-cc.mohs.gov.sl
41.78.87.28,ee-cc.mohs.gov.sl
41.78.87.28,sl-kpi-cc.mohs.gov.sl
41.78.87.28,www.kc-cc.mohs.gov.sl
41.78.87.28,www.kpi-cc.mohs.gov.sl
41.78.87.28,www.ee-cc.mohs.gov.sl
41.78.87.28,www.sl-kpi-cc.mohs.gov.sl
41.78.87.66,dashboards.mohs.gov.sl
41.78.87.66,supervision.mohs.gov.sl
41.78.87.66,www.dashboards.mohs.gov.sl
41.78.87.66,www.supervision.mohs.gov.sl
41.78.87.66,dashboards.mohs.gov.sl
41.78.87.66,supervision.mohs.gov.sl
41.78.87.66,www.dashboards.mohs.gov.sl
41.78.87.66,dashboards.mohs.gov.sl
41.78.87.66,supervision.mohs.gov.sl
41.78.87.66,www.dashboards.mohs.gov.sl
41.78.87.66,www.supervision.mohs.gov.sl
41.78.87.28,kpi-cc.mohs.gov.sl
41.78.87.66,www.supervision.mohs.gov.sl
143.95.41.123,ecrvs.ncra.gov.sl
143.95.41.123,ncra.gov.sl
143.95.41.123,ncra.gov.sl
143.95.41.123,mail.ncra.gov.sl
143.95.41.123,ecrvs.ncra.gov.sl
143.95.41.123,webmail.ncra.gov.sl
143.95.41.123,ncra.gov.sl
44.229.96.79,otp-events.dsti.gov.sl
44.229.96.79,www.otp-events.dsti.gov.sl
143.198.65.113,api.attendance.datahub.gov.sl
143.198.65.113,attendance.datahub.gov.sl
143.198.65.113,api.attendance.datahub.gov.sl
143.198.65.113,api.attendance.datahub.gov.sl
143.198.65.113,attendance.datahub.gov.sl
143.198.65.113,www.attendance.datahub.gov.sl
143.198.164.59,sledat.mof.gov.sl
143.198.164.59,www.sledat.mof.gov.sl
141.154.111.149,slhubd.npha.gov.sl
41.205.234.68,nra.gov.sl
41.205.234.130,support.mof.gov.sl
41.205.234.130,support.mof.gov.sl
41.205.234.66,ims.nra.gov.sl
41.205.234.130,support.mof.gov.sl
41.205.234.131,stg-tsa.mof.gov.sl
41.205.234.132,autodiscover.mof.gov.sl
41.205.234.132,mail.mof.gov.sl
41.205.234.132,webmail.mof.gov.sl
41.205.234.132,mail.mof.gov.sl
41.205.234.132,autodiscover.mof.gov.sl
41.205.234.132,mail.mof.gov.sl
41.205.234.132,webmail.mof.gov.sl
41.205.234.132,webmail.mof.gov.sl
41.205.234.134,meridian.mof.gov.sl
41.205.234.134,meridianreports.mof.gov.sl
41.205.234.134,stg-meridian.mof.gov.sl
41.205.234.134,stgreports-meridian.mof.gov.sl
41.205.234.134,meridian.mof.gov.sl
41.205.234.134,meridianreports.mof.gov.sl
41.205.234.134,stgreports-meridian.mof.gov.sl
41.205.234.134,stg-meridian.mof.gov.sl
41.205.234.137,apidashboard.mof.gov.sl
41.205.234.137,dashboard.mof.gov.sl
41.205.234.137,apidashboard.mof.gov.sl
41.205.234.137,dashboard.mof.gov.sl
41.205.234.137,apidashboard.mof.gov.sl
41.205.234.137,dashboard.mof.gov.sl
41.205.234.138,meridian.mof.gov.sl
41.205.234.139,pfmsmart.mof.gov.sl
41.205.234.142,email.mof.gov.sl
41.205.234.142,webmail.mof.gov.sl
41.205.234.243,gslifmis.mof.gov.sl
41.205.234.243,gslifmis.mof.gov.sl
41.205.234.243,gslifmis.mof.gov.sl
41.205.234.245,agdrcpay.mof.gov.sl
41.205.234.245,rcpay.mof.gov.sl
41.205.234.245,rcpayapi.mof.gov.sl
41.205.234.245,rcpayi.mof.gov.sl
41.205.234.245,modrcpay.mof.gov.sl
41.205.234.245,slcsrcpay.mof.gov.sl
41.205.234.245,agdrcpay.mof.gov.sl
41.205.234.245,eftlog.mof.gov.sl
41.205.234.245,modrcpay.mof.gov.sl
41.205.234.245,rcpay.mof.gov.sl
41.205.234.245,rcpayapi.mof.gov.sl
41.205.234.245,rcpayi.mof.gov.sl
41.205.234.245,slcsrcpay.mof.gov.sl
41.205.234.245,slprcpay.mof.gov.sl
41.205.234.245,agdrcpay.mof.gov.sl
41.205.234.245,modrcpay.mof.gov.sl
41.205.234.245,rcpayapi.mof.gov.sl
41.205.234.245,rcpay.mof.gov.sl
41.205.234.245,rcpayi.mof.gov.sl
41.205.234.245,slcsrcpay.mof.gov.sl
41.205.234.246,mda1.mof.gov.sl
41.205.234.246,eftlog.mof.gov.sl
41.205.234.246,mda2.mof.gov.sl
41.205.234.246,stg-rcpayapi.mof.gov.sl
41.205.234.246,mda1.mof.gov.sl
41.205.234.246,stg-rcpayi.mof.gov.sl
41.205.234.246,mda2.mof.gov.sl
41.205.234.246,stg-rcpay.mof.gov.sl
41.205.234.246,stg-rcpayapi.mof.gov.sl
41.205.234.246,stg-rcpayi.mof.gov.sl
41.205.234.246,eftlog.mof.gov.sl
