ip_address,domain
41.208.146.11,www.dmc.finances.gouv.sn
41.208.146.11,www.drh.finances.gouv.sn
41.208.146.11,www.dna.finances.gouv.sn
41.208.146.11,www.dtai.finances.gouv.sn
41.208.146.15,autodiscover.economie.gouv.sn
41.208.146.15,covid19.economie.gouv.sn
41.208.146.15,economie.gouv.sn
41.208.146.15,mail.economie.gouv.sn
41.208.146.15,www.economie.gouv.sn
41.208.146.61,autodiscover.economie.gouv.sn
41.208.146.61,mail.economie.gouv.sn
41.208.146.61,economie.gouv.sn
41.208.155.17,api-numerique.gouv.sn
41.208.155.17,bo-numerique.gouv.sn
41.208.155.17,numerique.gouv.sn
41.208.155.17,www.numerique.gouv.sn
41.208.155.17,numerique.gouv.sn
41.208.155.17,www.numerique.gouv.sn
41.208.155.18,preprod-back-mcten.sec.gouv.sn
41.208.155.18,preprod-front-mcten.sec.gouv.sn
41.208.155.18,preprod-jubbanti-front.sec.gouv.sn
41.208.155.18,preprod-back-mcten.sec.gouv.sn
41.208.155.18,preprod-jubbanti-front.sec.gouv.sn
41.208.155.18,preprod-front-mcten.sec.gouv.sn
41.208.155.57,jubbanti.sec.gouv.sn
41.208.155.57,jubbanti.sec.gouv.sn
41.208.155.78,declarationmedias.sec.gouv.sn
41.214.25.186,geossb.gouv.sn
41.214.74.210,clearance.diplomatie.gouv.sn
41.214.74.210,diplomatie.gouv.sn
41.214.74.210,survolescale.diplomatie.gouv.sn
41.214.74.214,clearance.diplomatie.gouv.sn
41.214.74.214,clearance.diplomatie.gouv.sn
41.214.74.214,mobileclearance.diplomatie.gouv.sn
41.214.74.214,diplomatie.gouv.sn
41.214.74.214,survolescale.diplomatie.gouv.sn
41.214.118.237,diplosen.gouv.sn
41.214.118.239,survolescale.diplomatie.gouv.sn
41.214.118.239,diplomatie.gouv.sn
41.214.118.239,clearance.diplomatie.gouv.sn
41.214.118.239,survolescale.diplomatie.gouv.sn
85.187.142.77,dcef.gouv.sn
85.187.142.77,dcef.gouv.sn
160.0.140.201,www.arm.gouv.sn
160.0.176.15,mirador.education.gouv.sn
160.0.176.15,mirador.education.gouv.sn
160.0.176.15,www.mirador.education.gouv.sn
160.0.176.16,cadastrepetrolier.sec.gouv.sn
160.0.176.16,sec.gouv.sn
160.0.176.19,georisques.sec.gouv.sn
160.0.176.19,georisques.gouv.sn
160.0.176.19,georisques.sec.gouv.sn
160.0.176.19,sec.gouv.sn
160.0.176.21,concoursena.sec.gouv.sn
160.0.176.21,concoursena.gouv.sn
160.0.176.23,sigrnu.sec.gouv.sn
160.0.176.24,sec.gouv.sn
160.0.176.23,sec.gouv.sn
160.0.176.21,www.concoursena.gouv.sn
160.0.176.26,sec.gouv.sn
160.0.176.30,smtp-appli1.sec.gouv.sn
160.0.176.33,sec.gouv.sn
160.0.176.36,e-jang.mefpa.gouv.sn
160.0.176.30,smtp-appli1.sec.gouv.sn
160.0.176.36,sec.gouv.sn
160.0.176.36,e-jang.sec.gouv.sn
160.0.176.38,portailconfpol.sec.gouv.sn
160.0.176.41,padess.sec.gouv.sn
160.0.176.42,mintcovid19.sec.gouv.sn
160.0.176.41,sec.gouv.sn
160.0.176.42,sec.gouv.sn
160.0.176.44,progres.sec.gouv.sn
160.0.176.44,sec.gouv.sn
160.0.176.48,sec.gouv.sn
160.0.176.47,sec.gouv.sn
160.0.176.47,mdcest-aidealimentaire.sec.gouv.sn
160.0.176.49,sec.gouv.sn
160.0.176.51,pudc.sec.gouv.sn
160.0.176.32,forcecovid19diaspora.gouv.sn
160.0.176.51,sec.gouv.sn
160.0.176.53,sapeurspompiers.sec.gouv.sn
160.0.176.53,sec.gouv.sn
160.0.176.54,dakarplateau.sec.gouv.sn
160.0.176.54,sec.gouv.sn
160.0.176.54,forcecovid19.gouv.sn
