ip_address,domain
84.8.121.171,events.centralbank.gov.so
84.8.121.171,events.centralbank.gov.so
43.205.82.26,nems.gov.so
35.154.15.93,nems.gov.so
35.154.184.18,nems.gov.so
84.32.84.0,agad.gov.so
84.32.84.4,agad.gov.so
41.78.72.71,vehcs.molfr.gov.so
41.78.72.71,www.vehcs.molfr.gov.so
41.78.72.71,hrim.moh.gov.so
41.78.72.71,www.vehcs.molfr.gov.so
41.78.72.71,vehcs.molfr.gov.so
41.78.72.71,www.vehcs.molfr.gov.so
41.78.72.71,vehcs.molfr.gov.so
41.78.73.11,scrp.mof.gov.so
41.78.73.11,www.scrp.mof.gov.so
41.78.73.11,scrp.mof.gov.so
41.78.73.11,www.scrp.mof.gov.so
41.78.73.116,centralbank.gov.so
41.78.75.43,chs.mfhrd.gov.so
41.78.75.46,www.vpn.frc.gov.so
41.78.75.43,chs.mfhrd.gov.so
41.78.75.46,goaml.frc.gov.so
41.78.75.46,vpn.frc.gov.so
41.78.75.46,www.goaml.frc.gov.so
41.78.75.46,www.vpn.frc.gov.so
41.78.75.107,mx3.mfa.gov.so
41.78.75.107,sipmog.mfa.gov.so
41.78.75.108,webconfmog.mfa.gov.so
41.78.75.109,avmog.mfa.gov.so
41.78.75.110,mx4.mfa.gov.so
41.78.75.110,sipmog.mfa.gov.so
41.78.75.111,webconfmog.mfa.gov.so
41.78.75.112,avmog.mfa.gov.so
41.78.75.113,ns2.mfa.gov.so
190.92.141.42,cpanel.stip.gov.so
190.92.141.42,cpcalendars.stip.gov.so
190.92.141.42,cpcontacts.stip.gov.so
190.92.141.42,mail.stip.gov.so
190.92.141.42,stip.gov.so
190.92.141.42,somaliatradsomaliatradeportal.comeportal.stip.gov.so
190.92.141.42,webdisk.stip.gov.so
190.92.141.42,www.somaliatradsomaliatradeportal.comeportal.stip.gov.so
190.92.141.42,webmail.stip.gov.so
35.157.26.135,ncrds.gov.so
143.244.139.120,ciad.moa.gov.so
143.244.139.120,ciad.moa.gov.so
35.177.73.157,vpn1.baxnaano.gov.so
35.177.248.139,updates.presidency.gov.so
35.177.248.139,www.updates.presidency.gov.so
35.177.248.139,updates.presidency.gov.so
35.177.248.139,www.updates.presidency.gov.so
35.177.248.139,updates.presidency.gov.so
