ip_address,domain
41.79.126.254,gestaosms.gov.st
41.79.126.254,gov.st
84.32.84.24,rctribunal.gov.st
85.24.195.201,ns1-se.ns.gov.st
35.207.69.195,dgsprs.gov.st
35.207.69.195,cir.gov.st
35.207.69.195,gpm.gov.st
35.207.69.195,dsgc.gov.st
35.207.69.195,ham.gov.st
35.207.69.195,mdm.gov.st
35.207.69.195,mecc.gov.st
35.207.69.195,mirnma.gov.st
35.207.69.195,mjapdh.gov.st
35.207.69.195,mjd.gov.st
35.207.69.195,mail.mne.gov.st
35.207.69.195,mne.gov.st
35.207.69.195,mpcmap.gov.st
35.207.69.195,mpfea.gov.st
35.207.69.195,mstas.gov.st
35.207.69.195,pm.gov.st
35.207.69.195,mail.pm.gov.st
35.207.69.195,cir.gov.st
35.207.69.195,cir.gov.st
35.207.69.195,dgaac.gov.st
35.207.69.195,dgsprs.gov.st
35.207.69.195,dsgc.gov.st
35.207.69.195,gpm.gov.st
35.207.69.195,ham.gov.st
35.207.69.195,ham.gov.st
35.207.69.195,mdm.gov.st
35.207.69.195,mecc.gov.st
35.207.69.195,mirnma.gov.st
35.207.69.195,www.mecc.gov.st
35.207.69.195,mjapdh.gov.st
35.207.69.195,mjd.gov.st
35.207.69.195,mjd.gov.st
35.207.69.195,mne.gov.st
35.207.69.195,www.mne.gov.st
35.207.69.195,mpcmap.gov.st
35.207.69.195,mpcmap.gov.st
35.207.69.195,mpfea.gov.st
35.207.69.195,mpfea.gov.st
35.207.69.195,mstas.gov.st
35.207.69.195,mail.pm.gov.st
35.207.69.195,pm.gov.st
151.106.100.76,anp-stp.gov.st
151.106.100.76,anp-stp.gov.st
193.136.80.10,leginon.dgrn.gov.st
193.136.80.10,siga.dgrn.gov.st
193.136.80.10,sirp.dgrn.gov.st
193.136.80.10,leginon.dgrn.gov.st
193.136.80.10,sirp.dgrn.gov.st
193.136.173.31,leginon.dgrn.gov.st
193.136.173.30,siga.dgrn.gov.st
193.136.173.51,sirp.dgrn.gov.st
193.136.173.58,sirp.dgrn.gov.st
35.214.137.72,impostos.financas.gov.st
35.214.137.72,financas.gov.st
35.214.137.72,taxid.financas.gov.st
35.214.137.72,mf.gov.st
35.214.137.72,financas.gov.st
35.214.137.72,e-factura.financas.gov.st
35.214.137.72,impostos.financas.gov.st
35.214.137.72,efatura.financas.gov.st
35.214.137.72,financas.gov.st
35.214.137.72,efactura.financas.gov.st
35.214.137.72,impostos.financas.gov.st
35.214.137.72,www.efactura.financas.gov.st
35.214.137.72,www.e-factura.financas.gov.st
35.214.137.72,mf.gov.st
85.187.142.69,desc.gov.st
85.187.142.69,mail.desc.gov.st
85.187.142.69,desc.gov.st
85.187.142.69,mail.desc.gov.st
145.223.124.28,rctribunal.gov.st
216.137.179.55,dre.gov.st
216.137.179.55,dre.gov.st
216.137.179.55,justicastp.gov.st
216.137.179.55,justicastp.gov.st
192.99.46.86,sisa.uca.gov.st
192.99.46.86,uca.gov.st
192.99.46.121,mail.sisa.uca.gov.st
192.99.46.121,mail.uca.gov.st
10.97.10.200,efactura.financas.gov.st
192.168.111.1,api-development.sis2apd.gov.st
62.28.34.100,snmf.gov.st
148.135.128.108,rctribunal.gov.st
148.135.128.140,rctribunal.gov.st
197.159.166.85,badap.parlamento.st
197.159.166.193,repositoriodigital.me.gov.st
197.159.166.193,repositoriodigital.me.gov.st
197.159.191.34,dialin.gov.st
197.159.191.34,lyncdiscover.gov.st
197.159.191.34,meet.gov.st
197.159.191.34,sipexternal.gov.st
197.159.191.34,sipinternal.gov.st
197.159.191.35,Lyncdiscover.gov.st
197.159.191.35,LyncdiscoverInternal.gov.st
197.159.191.35,dialin.gov.st
197.159.191.35,meet.gov.st
197.159.191.35,sfbadmin.gov.st
197.159.191.35,sip.gov.st
197.159.191.35,sfbpool.gov.st
197.159.191.35,tms-gv-sfb-01.gov.st
197.159.191.35,tms-gv-sfb-03.gov.st
197.159.191.35,tms-gv-sfb-02.gov.st
197.159.191.36,mail.gov.st
197.159.191.36,gov.st
197.159.191.36,correio.gov.st
197.159.191.36,mail.gov.st
197.159.191.37,e.gov.st
197.159.191.38,gov.st
197.159.191.38,ns1.gov.st
197.159.191.38,gov.st
197.159.191.38,ns1.gov.st
197.159.191.38,gov.st
197.159.191.39,gov.st
197.159.191.39,gov.st
197.159.191.39,gov.st
197.159.191.39,ns2.gov.st
197.159.191.40,vpn.gov.st
197.159.191.43,webconf.gov.st
197.159.191.42,sip.gov.st
197.159.191.44,mail.gov.st
197.159.191.44,av.gov.st
197.159.191.53,api-dmr-inss.gov.st
197.159.191.53,app-nguenon.gov.st
197.159.191.53,auth-dmr-inss.gov.st
197.159.191.53,consan.gov.st
197.159.191.53,dhis2.gov.st
197.159.191.53,dpssf.gov.st
197.159.191.53,opportunities.empreendedorismo.gov.st
197.159.191.53,inic.gov.st
197.159.191.53,inpg.gov.st
197.159.191.53,injap.gov.st
197.159.191.53,nguenon.gov.st
197.159.191.53,nositeste.gov.st
197.159.191.53,senha.gov.st
197.159.191.53,stp.gov.st
197.159.191.53,api-dmr-inss.gov.st
197.159.191.53,app-kilalanucha.gov.st
197.159.191.53,app-nguenon.gov.st
197.159.191.53,myustp.siie.app.gov.st
197.159.191.53,siie.app.gov.st
197.159.191.53,snmf.app.gov.st
197.159.191.53,auth-dmr-inss.gov.st
197.159.191.53,consan.gov.st
197.159.191.53,dev-protecaosocial.gov.st
197.159.191.53,dgrn.gov.st
197.159.191.53,dhis2.gov.st
197.159.191.53,s2cl.dtt.gov.st
197.159.191.53,gov.st
197.159.191.53,inic.gov.st
197.159.191.53,gov.st
197.159.191.53,inpg.gov.st
197.159.191.53,inss.gov.st
197.159.191.53,gip.justica.gov.st
197.159.191.53,kilalanucha-dev.gov.st
197.159.191.53,kilalanucha.gov.st
197.159.191.53,mapdr.gov.st
197.159.191.53,ms.gov.st
197.159.191.53,nguenon.gov.st
197.159.191.53,olastp.gov.st
197.159.191.53,pnot.gov.st
197.159.191.53,protecaosocial.gov.st
197.159.191.53,stp.gov.st
192.248.166.169,principe.gov.st
192.248.166.169,principe.gov.st
91.99.62.4,dre.gov.st
91.99.62.4,desc.gov.st
91.99.62.4,justicastp.gov.st
91.99.62.4,desc.gov.st
91.99.62.4,dre.gov.st
212.93.97.108,mecc.gov.st
77.37.76.39,rctribunal.gov.st
147.79.105.200,rctribunal.gov.st
77.37.76.165,rctribunal.gov.st
147.79.120.230,rctribunal.gov.st
213.136.36.222,gov.st
82.163.176.80,embaixadastpcv.gov.st
139.162.213.165,dhis2.ms.gov.st
194.39.124.63,cnmc.gov.st
194.39.124.63,cnmc.gov.st
194.39.124.220,cnmc.gov.st
194.39.124.220,cpanel.cnmc.gov.st
194.39.124.220,cpcalendars.cnmc.gov.st
194.39.124.220,cpcontacts.cnmc.gov.st
194.39.124.220,webmail.cnmc.gov.st
194.39.124.220,webdisk.cnmc.gov.st
5.150.254.174,minsaude.gov.st
5.150.254.174,tcontas.gov.st
5.150.254.174,minfinancas.gov.st
5.150.254.174,mail.mnecc.gov.st
5.150.254.174,mnecc.gov.st
5.150.254.174,www.mnecc.gov.st
5.150.254.174,mx.parlamento.st
5.150.254.174,parlamento.st
5.150.254.174,rhdap.gov.st
5.150.254.174,mx.tcontas.gov.st
5.150.254.174,tcontas.gov.st
31.193.136.186,bibliotecanacional.gov.st
31.193.136.186,bibliotecanacional.gov.st
217.76.55.123,efactura.financas.gov.st
