ip_address,domain
34.8.7.221,stl.vivienda.gob.sv
34.8.17.79,zacate-lapazeste-uat.goes.gob.sv
34.8.21.87,api-cs-test.telesalud.gob.sv
34.8.23.231,contrataciones-dev.edu.gob.sv
34.8.26.63,portal-marn-uat.goes.gob.sv
44.193.237.0,elsalvadorpei.migracion.gob.sv
34.8.38.47,contrataciones-qa.edu.gob.sv
34.8.43.116,mop.gob.sv
34.8.44.36,atencion.edu.gob.sv
34.8.44.36,atencion.edu.gob.sv
34.8.50.194,915.gob.sv
34.8.50.194,ww2.915.gob.sv
34.8.50.194,www.915.gob.sv
34.8.55.66,api-qa.business.goes.gob.sv
34.8.55.66,api-qa.dicom.goes.gob.sv
34.8.55.66,api-qa.business.goes.gob.sv
34.8.55.66,api-qa.fhir.goes.gob.sv
34.8.55.66,api-qa.fhir.goes.gob.sv
34.8.55.66,api-qa.dicom.goes.gob.sv
34.8.61.38,vmt.gob.sv
34.8.61.162,factura.gob.sv
34.8.61.162,portalgcp.factura.gob.sv
34.8.61.162,www.factura.gob.sv
34.8.61.162,www.factura.gob.sv
34.8.61.162,factura.gob.sv
34.8.65.181,acercade-dev.goes.gob.sv
34.8.65.181,consentimiento-dev.goes.gob.sv
34.8.65.181,consentimiento-familiar-dev.goes.gob.sv
34.8.65.181,politicas-dev.goes.gob.sv
34.8.65.181,soporte-dev.goes.gob.sv
34.8.65.181,terminos-dev.goes.gob.sv
34.8.66.215,qa-tramites-lapazeste.goes.gob.sv
34.8.70.56,rdp.vivienda.gob.sv
34.8.70.56,rdp.vivienda.gob.sv
34.8.80.198,geoportal.mag.gob.sv
34.8.80.198,geoportal.mag.gob.sv
34.8.93.137,contenido-qa.edu.gob.sv
34.8.93.137,contenido-qa.edu.gob.sv
34.8.110.139,marn-ia-uat.goes.gob.sv
34.8.145.17,qa-atencion.telesalud.gob.sv
34.8.145.17,qa-atencion.telesalud.gob.sv
34.8.152.89,api-dev.business.goes.gob.sv
34.8.152.89,api-dev.dicom.goes.gob.sv
34.8.152.89,api-dev.fhir.goes.gob.sv
34.8.152.89,api-dev.business.goes.gob.sv
34.8.152.89,api-dev.fhir.goes.gob.sv
34.8.152.89,api-dev.dicom.goes.gob.sv
34.8.168.199,dev.api.dot.gob.sv
34.8.168.199,dev.api.dot.gob.sv
34.8.169.9,portal-marn-qa.goes.gob.sv
44.195.184.78,tse.gob.sv
34.8.187.250,devportal.factura.gob.sv
34.8.187.250,devportal.factura.gob.sv
34.8.236.155,secom.goes.gob.sv
34.8.240.181,docentesv.edu.gob.sv
34.8.255.94,dashboard-qa.goes.gob.sv
34.8.255.94,dashboard-qa.goes.gob.sv
34.13.77.162,tickets.goes.gob.sv
34.13.77.162,tickets.goes.gob.sv
34.16.10.98,qac.video.telemed.goes.gob.sv
44.195.237.14,gitdeveloperusa.bcr.gob.sv
44.195.237.14,www.gitdeveloperusa.bcr.gob.sv
44.196.109.109,inclusionfinanciera.gob.sv
44.196.168.100,wallet365.bcr.gob.sv
44.196.218.5,backend-planilla.bcr.gob.sv
44.196.254.255,aab.gob.sv
190.5.128.242,mail.cel.gob.sv
190.5.128.242,mail.cel.gob.sv
190.5.129.18,bfa.gob.sv
190.5.129.19,bfa.gob.sv
190.5.129.19,www.bfa.gob.sv
190.5.129.22,web.bfa.gob.sv
190.5.129.23,bmovil.bfa.gob.sv
190.5.129.23,bfa.gob.sv
190.5.129.29,bfa.gob.sv
190.5.129.66,notes.cel.gob.sv
190.5.129.66,notes.cel.gob.sv
190.5.129.100,mail.bfa.gob.sv
190.5.130.18,ns.rnpn.gob.sv
190.5.130.18,ns.rnpn.gob.sv
190.5.130.161,bcrweb13.bcr.gob.sv
190.5.130.163,bcr.gob.sv
190.5.130.163,europa.bcr.gob.sv
190.5.130.163,encuestas.bcr.gob.sv
190.5.130.163,ho1.bcr.gob.sv
190.5.130.163,museobiblioteca.bcr.gob.sv
190.5.130.163,intranet.bcr.gob.sv
190.5.130.163,pcide.bcr.gob.sv
190.5.130.163,redibacen.bcr.gob.sv
190.5.130.163,ho2.bcr.gob.sv
190.5.130.163,ruckusco.bcr.gob.sv
190.5.130.163,secims.bcr.gob.sv
190.5.130.163,sibex.bcr.gob.sv
190.5.130.163,siti.bcr.gob.sv
190.5.130.163,www.bcr.gob.sv
190.5.130.163,usura.bcr.gob.sv
190.5.130.164,bcr.gob.sv
190.5.130.164,encuestas.bcr.gob.sv
