ip_address,domain
93.127.205.206,seife.gov.sy
93.127.205.206,www.seife.gov.sy
93.127.205.206,seife.gov.sy
93.127.205.206,www.seife.gov.sy
135.181.131.223,cpanel.moj.gov.sy
135.181.131.223,moj.gov.sy
184.107.35.137,syronics.gov.sy
184.107.35.137,cpanel.syronics.gov.sy
184.107.35.137,cpcalendars.syronics.gov.sy
184.107.35.137,cpcontacts.syronics.gov.sy
184.107.35.137,syronics.gov.sy
184.107.35.137,webdisk.syronics.gov.sy
184.107.35.137,webmail.syronics.gov.sy
184.107.35.137,syronics.gov.sy
205.144.171.169,inquiry.sekl.gov.sy
205.144.171.169,sekl.gov.sy
145.79.24.111,seb.gov.sy
145.79.24.245,seife.seife.gov.sy
145.79.29.41,seife.seife.gov.sy
145.79.29.101,seb.gov.sy
174.142.186.164,mof.gov.sy
192.46.236.211,flight.permits.gaca.gov.sy
192.46.236.211,fpermits.gaca.gov.sy
192.46.236.211,gaca.gov.sy
192.46.236.211,gevaluation.gaca.gov.sy
192.46.236.211,licenses.gaca.gov.sy
192.46.236.211,permits.gaca.gov.sy
192.46.236.211,www.fpermits.gaca.gov.sy
192.46.236.211,www.flight.permits.gaca.gov.sy
192.46.236.211,www.licenses.gaca.gov.sy
192.46.236.211,www.permits.gaca.gov.sy
192.46.236.211,app.gaca.gov.sy
192.46.236.211,eaip.gaca.gov.sy
192.46.236.211,gaca.gov.sy
192.46.236.211,permits.gaca.gov.sy
192.46.236.211,vehicles.gaca.gov.sy
192.46.236.211,www.app.gaca.gov.sy
192.46.236.211,www.eaip.gaca.gov.sy
192.46.236.211,www.vehicles.gaca.gov.sy
192.46.236.211,www.permits.gaca.gov.sy
45.77.66.39,api.moenergy.gov.sy
45.77.66.39,new.moenergy.gov.sy
45.77.66.39,moenergy.gov.sy
45.77.66.39,test.moenergy.gov.sy
192.168.2.9,damascus.gov.sy
192.185.166.79,gdp.gov.sy
192.185.166.79,www.verify.gdp.gov.sy
192.185.166.79,mail.gdp.gov.sy
192.185.166.79,gdp.gov.sy
148.251.89.27,dashboard.syrfund.gov.sy
13.33.67.26,syrfund.gov.sy
13.33.67.52,syrfund.gov.sy
13.33.67.123,syrfund.gov.sy
13.33.67.125,syrfund.gov.sy
91.144.9.149,xmpp.gov.sy
91.144.16.244,go.indb.gov.sy
91.144.16.244,indb.gov.sy
91.144.16.244,qqq.indb.gov.sy
91.144.20.65,service1.nans.gov.sy
91.144.20.66,service2.nans.gov.sy
91.144.20.69,ra.nans.gov.sy
91.144.20.70,sharedlinux.nans.gov.sy
91.144.20.70,sharedlinux.nans.gov.sy
91.144.20.71,mailhosting.nans.gov.sy
91.144.20.75,mail.nans.gov.sy
91.144.20.77,77.nans.gov.sy
91.144.20.78,service4.nans.gov.sy
91.144.20.187,sana.gov.sy
91.144.21.1,moad.gov.sy
91.144.21.3,bitwarden.moad.gov.sy
91.144.21.4,monitor.bunat.moad.gov.sy
91.144.21.3,vault.moad.gov.sy
91.144.21.5,biometrics.moad.gov.sy
91.144.21.5,api.biometrics.moad.gov.sy
91.144.21.6,moad.gov.sy
91.144.21.6,mail0.moad.gov.sy
91.144.20.76,76.nans.gov.sy
91.144.22.227,mail.ortas.gov.sy
91.144.22.227,mail.rtv.gov.sy
91.144.22.227,mail.rtv.gov.sy
91.144.22.238,info.ortas.gov.sy
91.144.22.229,webmail.ortas.gov.sy
91.144.30.101,hmis.moh.gov.sy
91.144.30.101,hmis.moh.gov.sy
91.144.32.72,livekit.moed.gov.sy
91.144.32.72,turn.moed.gov.sy
91.144.32.86,casi-mail.casi.gov.sy
91.144.32.86,erp.casi.gov.sy
91.144.32.86,mail.casi.gov.sy
91.144.32.86,meet.casi.gov.sy
91.144.32.106,docsign.casi.gov.sy
91.144.32.116,app.civilaffair-moi.gov.sy
91.144.32.86,meet.casi.gov.sy
91.144.32.155,api-dev.casi.gov.sy
91.144.32.155,api.casi.gov.sy
91.144.32.155,gitlab.casi.gov.sy
91.144.32.155,api-stg.casi.gov.sy
91.144.32.155,idp.casi.gov.sy
91.144.32.155,raqaba-dev.casi.gov.sy
91.144.32.155,raqaba-stg.casi.gov.sy
91.144.32.155,raqaba.casi.gov.sy
91.144.32.155,sso-dev.casi.gov.sy
91.144.32.155,sso-stg.casi.gov.sy
91.144.32.155,sso.casi.gov.sy
91.144.33.36,jitsi.ssf.gov.sy
91.144.33.38,ssf.gov.sy
91.144.33.42,complaints.ssf.gov.sy
91.144.33.50,calender.ssf.gov.sy
91.144.33.60,vpn-bac.moia.gov.sy
91.144.45.221,admin-home.mycompany.gov.sy
91.144.45.221,bpa.mycompany.gov.sy
91.144.45.221,gdb.mycompany.gov.sy
91.144.45.221,graylog.mycompany.gov.sy
91.144.45.221,login.mycompany.gov.sy
91.144.45.221,mycompany.gov.sy
