ip_address,domain
102.23.132.8,evisa.gov.sz
102.23.132.19,gov.sz
102.23.132.19,www.gov.sz
102.23.132.19,gov.sz
102.23.132.19,gov.sz
102.23.132.19,www.gov.sz
102.23.132.19,www.gov.sz
102.23.132.20,ena.gov.sz
102.23.132.20,www.ena.gov.sz
102.23.132.33,dsw.gov.sz
102.23.132.33,dsw.gov.sz
102.23.132.33,dsw.gov.sz
102.23.132.34,parliament.gov.sz
102.23.132.34,parliament.gov.sz
102.23.132.34,parliament.gov.sz
102.23.132.34,www.parliament.gov.sz
102.23.132.38,business.gov.sz
102.23.132.38,eps.gov.sz
102.23.132.38,mail.eps.gov.sz
102.23.132.50,incabinet.gov.sz
102.23.132.50,www.gov.sz
102.23.132.59,parlicloud.gov.sz
102.23.132.62,gov.sz
102.23.132.61,ecabinet.gov.sz
102.23.132.62,www.gov.sz
102.23.132.71,gov.sz
102.23.132.71,www.gov.sz
102.23.132.97,notsa.gov.sz
102.23.132.97,notsa.gov.sz
65.254.231.109,itdswaziland.gov.sz
164.160.91.27,expo.gov.sz
164.160.91.27,expo.gov.sz
69.63.64.13,swazimet.gov.sz
69.63.64.13,swazimet.gov.sz
69.63.64.15,simpa.gov.sz
69.63.64.21,swazimet.gov.sz
69.63.67.51,police.gov.sz
69.63.67.130,mailfilter.gov.sz
69.63.67.130,mailfilter.gov.sz
69.63.67.138,ns1.gov.sz
69.63.67.139,www.gov.sz
69.63.67.140,smtp.gov.sz
69.63.67.141,csfm.gov.sz
69.63.76.162,ns1.gov.sz
69.63.76.163,lmis.gov.sz
69.63.76.163,childline.gov.sz
69.63.76.163,gov.sz
69.63.76.163,lmis.gov.sz
69.63.76.163,naphis.gov.sz
69.63.76.163,www.gov.sz
69.63.76.163,slas.gov.sz
69.63.76.165,gov.sz
69.63.76.165,smtp.gov.sz
69.63.76.165,www.gov.sz
69.63.76.167,www.gov.sz
69.63.76.167,gov.sz
69.63.76.167,online.gov.sz
69.63.76.168,www.gov.sz
69.63.76.168,gov.sz
196.28.7.21,acc.gov.sz
196.28.7.117,www.mintour.gov.sz
75.98.171.186,eswatinitradeportal.gov.sz
