ip_address,domain
192.124.249.2,gov.tc
192.124.249.2,gov.tc
192.124.249.2,gov.tc
20.96.22.96,nphllims.gov.tc
20.96.22.96,www.nphllims.gov.tc
20.97.216.58,ntj.gov.tc
20.97.216.58,ntj.gov.tc
20.122.18.238,bms-test.gov.tc
65.255.60.116,customsprem.gov.tc
65.255.60.116,www.customsprem.gov.tc
65.255.60.116,www.customsprem.gov.tc
65.255.60.116,customsprem.gov.tc
13.82.124.76,tcigjury.gov.tc
13.82.124.76,www.tcigjury.gov.tc
52.138.115.136,bms.gov.tc
52.138.115.136,borderforceapps.gov.tc
52.138.115.136,www.customs.gov.tc
52.138.115.136,customs.gov.tc
52.138.115.136,customsapps.gov.tc
52.138.115.136,covidvaccineregistration.gov.tc
52.138.115.136,dataportal.gov.tc
52.138.115.136,eir.gov.tc
52.138.115.136,eoi.gov.tc
52.138.115.136,godata.gov.tc
52.138.115.136,www.eoi.gov.tc
52.138.115.136,nphllims.gov.tc
52.138.115.136,ntj-test.gov.tc
52.138.115.136,seniorcitizensfap.gov.tc
52.138.115.136,stampduty.gov.tc
52.138.115.136,stimulus.gov.tc
52.138.115.136,stimulustci.gov.tc
52.138.115.136,tciassistance.gov.tc
52.138.115.136,vaccineadmindesk.gov.tc
52.138.115.136,statsurvey.gov.tc
52.138.115.136,bms.gov.tc
52.138.115.136,borderforceapps.gov.tc
52.138.115.136,webgis.gov.tc
52.138.115.136,covidvaccineregistration.gov.tc
52.138.115.136,customs.gov.tc
52.138.115.136,www.customs.gov.tc
52.138.115.136,customsapps.gov.tc
52.138.115.136,dataportal.gov.tc
52.138.115.136,eoi-test.gov.tc
52.138.115.136,eir.gov.tc
52.138.115.136,eoi.gov.tc
52.138.115.136,exemptions.gov.tc
52.138.115.136,www.eoi.gov.tc
52.138.115.136,godata.gov.tc
52.138.115.136,healthcertificate-acc.gov.tc
52.138.115.136,healthcertificate-mgmt-acc.gov.tc
52.138.115.136,healthcertificate-mgmt.gov.tc
52.138.115.136,healthcertificate.gov.tc
52.138.115.136,nphllims.gov.tc
