ip_address,domain
57.128.41.29,onlyoffice.taaf.fr
57.128.41.29,onlyofficetemp.taaf.fr
57.128.41.29,onlyoffice.taaf.fr
57.128.41.29,onlyofficetemp.taaf.fr
135.125.14.167,onlyoffice.taaf.fr
135.125.14.167,www.medical.taaf.fr
135.125.14.167,medical.taaf.fr
135.125.14.167,medical.taaf.fr
135.125.14.167,onlyoffice.taaf.fr
135.125.14.167,www.medical.taaf.fr
193.70.119.116,dev-s1.taaf.fr
178.33.139.236,archives.taaf.fr
164.132.216.96,dpqmdata.taaf.fr
164.132.216.96,dpqmdata.taaf.fr
164.132.216.97,num.taaf.fr
164.132.216.97,num.taaf.fr
164.132.216.97,num.taaf.fr
164.132.216.98,gst.taaf.fr
164.132.216.98,gst.taaf.fr
164.132.216.99,redash.taaf.fr
164.132.216.99,redash.taaf.fr
164.132.216.99,lizmap.taaf.fr
164.132.216.99,redash.taaf.fr
164.132.216.100,intranet.taaf.fr
164.132.216.100,intranet.taaf.fr
164.132.216.103,fi.taaf.fr
164.132.216.103,fi.taaf.fr
164.132.216.105,ee.kobo.taaf.fr
164.132.216.105,kc.kobo.taaf.fr
164.132.216.105,kf.kobo.taaf.fr
164.132.216.105,ee.kobo.taaf.fr
164.132.216.105,kc.kobo.taaf.fr
164.132.216.105,kf.kobo.taaf.fr
164.132.216.105,ee.kobo.taaf.fr
164.132.216.105,kc.kobo.taaf.fr
164.132.216.105,kf.kobo.taaf.fr
164.132.216.107,lizmap.taaf.fr
164.132.216.107,lizmap.taaf.fr
164.132.216.107,lizmap.taaf.fr
164.132.216.109,preliq.taaf.fr
164.132.216.109,preliq.taaf.fr
185.31.40.229,reserve-australes.taaf.fr
185.31.40.229,taaf.fr
185.31.40.229,www.taaf.fr
185.31.40.229,reserve-australes.taaf.fr
185.31.40.229,taaf.fr
185.31.40.229,www.taaf.fr
185.31.40.229,reserve-australes.taaf.fr
51.91.150.191,phototheque.taaf.fr
51.91.150.191,piwigo-test.taaf.fr
51.91.150.191,phototheque.taaf.fr
51.91.150.191,piwigo-test.taaf.fr
51.91.150.191,phototheque.taaf.fr
51.91.150.191,piwigo-test.taaf.fr
152.228.231.70,nextcloudtemp.taaf.fr
152.228.231.70,medical.taaf.fr
152.228.231.70,medical.taaf.fr
152.228.231.70,nextcloudtemp.taaf.fr
152.228.231.252,elastic.taaf.fr
152.228.231.252,elastic.taaf.fr
152.228.231.252,elastic.taaf.fr
